feature_set_name,window,model,timing_label,claim_status,roc_auc_repurchase,average_precision_repurchase,average_precision_churn_risk,accuracy,balanced_accuracy,precision_churn_at_0_5,recall_churn_at_0_5,f1_churn_at_0_5,brier_score_repurchase,n_train,n_test,train_repurchase_rate,test_repurchase_rate,raw_feature_count,post_transform_feature_count,top_10pct_n,top_10pct_churn_rate,overall_churn_rate,top_decile_lift,captured_churners,total_churners,churner_capture_rate,train_test_USER_KEY_overlap,includes_product_code,includes_watch_presence_flag,includes_first_last_timing
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3,LogisticRegression,full_w1_3_official_candidate,official_candidate,0.8080500451213866,0.9090393551260332,0.6169796881857483,0.7701486288465564,0.6583946979908026,0.6678966789667896,0.39606126914660833,0.49725274725274726,0.1544968453978072,19156,4777,0.7214449780747546,0.7129997906635964,29,50,478,0.7322175732217573,0.2870002093364036,2.551278882042549,350,1371,0.2552881108679796,0,N,N,N
pruned_w1_3_all_weeks_interpretable_without_product_code_without_watch_presence,w1_3,HistGradientBoostingClassifier,full_w1_3_official_candidate,official_candidate,0.862148381904675,0.9380495702258855,0.7003846913872687,0.8109692275486707,0.7369191879606632,0.7174721189591078,0.563092633114515,0.6309767061708215,0.13314623742929887,19156,4777,0.7214449780747546,0.7129997906635964,29,50,478,0.7907949790794979,0.2870002093364036,2.7553811926059533,378,1371,0.27571115973741794,0,N,N,N
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,w1_3,LogisticRegression,full_w1_3_usage_only_fallback,official_fallback_candidate,0.7587711521222471,0.8829938576657832,0.5098321713163378,0.7347707766380573,0.6024261900203571,0.5747126436781609,0.29175784099197666,0.3870343492985002,0.1711155447168267,19156,4777,0.7214449780747546,0.7129997906635964,17,38,478,0.5753138075313807,0.2870002093364036,2.004576264462003,275,1371,0.20058351568198396,0,N,N,N
pruned_w1_3_membership_usage_only_without_product_code_without_watch_presence,w1_3,HistGradientBoostingClassifier,full_w1_3_usage_only_fallback,official_fallback_candidate,0.8166197892507879,0.909909468068627,0.6244233834028106,0.7831274858697927,0.6936439877626175,0.669021190716448,0.48358862144420134,0.5613886536833192,0.15040934231429628,19156,4777,0.7214449780747546,0.7129997906635964,17,38,478,0.7594142259414226,0.2870002093364036,2.646040669089844,363,1371,0.2647702407002188,0,N,N,N
pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,w1_3,LogisticRegression,full_w1_3_genre_added_test,genre_increment_test,0.8079832303486404,0.909001339805514,0.6166529863560243,0.7701486288465564,0.6583946979908026,0.6678966789667896,0.39606126914660833,0.49725274725274726,0.1545036174987476,19156,4777,0.7214449780747546,0.7129997906635964,28,49,478,0.7280334728033473,0.2870002093364036,2.5367001455737346,348,1371,0.2538293216630197,0,N,N,N
pruned_w1_3_genre_ratio_added_without_product_code_without_watch_presence,w1_3,HistGradientBoostingClassifier,full_w1_3_genre_added_test,genre_increment_test,0.8614408305932852,0.9379445259680079,0.6957481381096349,0.8086665271090643,0.7350864930082195,0.7105990783410139,0.562363238512035,0.6278501628664495,0.13352450812406602,19156,4777,0.7214449780747546,0.7129997906635964,28,49,478,0.7782426778242678,0.2870002093364036,2.7116449831995095,372,1371,0.2713347921225383,0,N,N,N
pruned_w1_3_timing_sensitive_all_weeks_reference,w1_3,LogisticRegression,timing_sensitive_reference_only,reference_only_not_official,0.8080500451213866,0.9090393551260332,0.6169796881857483,0.7701486288465564,0.6583946979908026,0.6678966789667896,0.39606126914660833,0.49725274725274726,0.1544968453978072,19156,4777,0.7214449780747546,0.7129997906635964,29,50,478,0.7322175732217573,0.2870002093364036,2.551278882042549,350,1371,0.2552881108679796,0,N,N,N
pruned_w1_3_timing_sensitive_all_weeks_reference,w1_3,HistGradientBoostingClassifier,timing_sensitive_reference_only,reference_only_not_official,0.862148381904675,0.9380495702258855,0.7003846913872687,0.8109692275486707,0.7369191879606632,0.7174721189591078,0.563092633114515,0.6309767061708215,0.13314623742929887,19156,4777,0.7214449780747546,0.7129997906635964,29,50,478,0.7907949790794979,0.2870002093364036,2.7553811926059533,378,1371,0.27571115973741794,0,N,N,N
pruned_w1_3_early_safer_week1_2_reference,w1_3,LogisticRegression,early_safer_week1_2_reference,mentor_safe_reference,0.7325356463237098,0.8708402225802238,0.46319236957441695,0.7169771823320076,0.5651078908674914,0.5171790235081374,0.20860685630926332,0.2972972972972973,0.17891643691401465,19156,4777,0.7214449780747546,0.7129997906635964,15,36,478,0.5125523012552301,0.2870002093364036,1.7858952174297844,245,1371,0.1787016776075857,0,N,N,N
pruned_w1_3_early_safer_week1_2_reference,w1_3,HistGradientBoostingClassifier,early_safer_week1_2_reference,mentor_safe_reference,0.7945854764385841,0.9019277814081215,0.595672259666162,0.7649152187565418,0.6481877777792054,0.6593830334190232,0.3741794310722101,0.47743136342484876,0.1585934674666092,19156,4777,0.7214449780747546,0.7129997906635964,15,36,478,0.7447698744769874,0.2870002093364036,2.595015091448993,356,1371,0.25966447848285923,0,N,N,N
pruned_w1_4_late_period_comparison,w1_4,LogisticRegression,late_period_only,late_period_comparison_only,0.8447464529279218,0.9262769414538872,0.6797844556248056,0.7967343521038308,0.7086334108984318,0.7049180327868853,0.5018234865061999,0.5862803579037068,0.13999415318000333,19156,4777,0.7214449780747546,0.7129997906635964,31,52,478,0.7677824267782427,0.2870002093364036,2.6751981420274733,367,1371,0.26768781911013856,0,N,N,N
pruned_w1_4_late_period_comparison,w1_4,HistGradientBoostingClassifier,late_period_only,late_period_comparison_only,0.8970326531503808,0.9527751063798372,0.7610989595347706,0.8362989323843416,0.7823549466274173,0.7435897435897436,0.6557257476294676,0.6968992248062016,0.11481266869506641,19156,4777,0.7214449780747546,0.7129997906635964,31,52,478,0.8347280334728033,0.2870002093364036,2.908457925528506,399,1371,0.2910284463894967,0,N,N,N
