feature_name,feature_family,repurchase_1_mean,repurchase_0_mean,difference,abs_difference,smd_if_possible,direction,interpretation,possible_explainable_signal,can_be_used_for_future_rule_candidate,caution
watch_time_min_w2,behavior,117.71327406960977,33.48689436060366,84.22637970900611,84.22637970900611,0.5821005595257469,repurchase_1_higher,큰 차이. general_observation 내부의 사전 행동 신호 후보로 볼 수 있으나 target 기준 재분할에는 쓰지 않는다. 방향: repurchase=1 higher.,yes_behavior_or_content_difference_visible,possible_after_validation_not_final_now,is_repurchase is target; this comparison is diagnostic only and is not a new segment rule.
diff_between_w2_w1,behavior,44.52222389633871,-31.36219221604448,75.88441611238319,75.88441611238319,0.4699820734540887,repurchase_1_higher,중간 차이. general_observation 내부의 사전 행동 신호 후보로 볼 수 있으나 target 기준 재분할에는 쓰지 않는다. 방향: repurchase=1 higher.,yes_behavior_or_content_difference_visible,possible_after_validation_not_final_now,is_repurchase is target; this comparison is diagnostic only and is not a new segment rule.
watch_time_min_w3,behavior,97.21214404098237,43.72835583796664,53.48378820301573,53.48378820301573,0.45861455618534736,repurchase_1_higher,중간 차이. general_observation 내부의 사전 행동 신호 후보로 볼 수 있으나 target 기준 재분할에는 쓰지 않는다. 방향: repurchase=1 higher.,yes_behavior_or_content_difference_visible,possible_after_validation_not_final_now,is_repurchase is target; this comparison is diagnostic only and is not a new segment rule.
diff_between_w3_w1,behavior,24.021093867711315,-21.120730738681495,45.14182460639281,45.14182460639281,0.2764391887550355,repurchase_1_higher,중간 차이. general_observation 내부의 사전 행동 신호 후보로 볼 수 있으나 target 기준 재분할에는 쓰지 않는다. 방향: repurchase=1 higher.,yes_behavior_or_content_difference_visible,possible_after_validation_not_final_now,is_repurchase is target; this comparison is diagnostic only and is not a new segment rule.
retention_w2_ratio,behavior,44.05103406102155,7.481378321683876,36.56965573933767,36.56965573933767,0.43275418164201734,repurchase_1_higher,중간 차이. general_observation 내부의 사전 행동 신호 후보로 볼 수 있으나 target 기준 재분할에는 쓰지 않는다. 방향: repurchase=1 higher.,yes_behavior_or_content_difference_visible,possible_after_validation_not_final_now,is_repurchase is target; this comparison is diagnostic only and is not a new segment rule.
diff_between_w3_w2,behavior,-20.501130028627394,10.241461477362986,-30.74259150599038,30.74259150599038,-0.21052807878328864,repurchase_0_higher,중간 차이. general_observation 내부의 사전 행동 신호 후보로 볼 수 있으나 target 기준 재분할에는 쓰지 않는다. 방향: repurchase=0 higher.,yes_behavior_or_content_difference_visible,possible_after_validation_not_final_now,is_repurchase is target; this comparison is diagnostic only and is not a new segment rule.
risk_percentile_desc,score_source,61.394393142556,38.32893138637909,23.06546175617691,23.06546175617691,1.3355018909807699,repurchase_1_higher,큰 차이. score 자체는 target과 모델 출력에 가까우므로 행동 rule 후보가 아니라 우선순위 해석 근거다. 방향: repurchase=1 higher.,limited_or_not_rule_signal,no_score_layer_only,is_repurchase is target; this comparison is diagnostic only and is not a new segment rule. score output must not be re-described as causal behavior.
watch_time_min_w1,behavior,73.19105017327105,64.84908657664813,8.341963596622918,8.341963596622918,0.05824045709206424,repurchase_1_higher,차이 작음. general_observation 내부의 사전 행동 신호 후보로 볼 수 있으나 target 기준 재분할에는 쓰지 않는다. 방향: repurchase=1 higher.,limited_or_not_rule_signal,weak_not_recommended_now,is_repurchase is target; this comparison is diagnostic only and is not a new segment rule.
recency,behavior,6.466626487871026,10.976171564733916,-4.5095450768628895,4.5095450768628895,-0.5614162578758326,repurchase_0_higher,큰 차이. general_observation 내부의 사전 행동 신호 후보로 볼 수 있으나 target 기준 재분할에는 쓰지 않는다. 방향: repurchase=0 higher.,yes_behavior_or_content_difference_visible,possible_after_validation_not_final_now,is_repurchase is target; this comparison is diagnostic only and is not a new segment rule.
retention_w3_ratio,behavior,21.49213614012355,19.09150291421763,2.400633225905917,2.400633225905917,0.04512818342439502,repurchase_1_higher,차이 작음. general_observation 내부의 사전 행동 신호 후보로 볼 수 있으나 target 기준 재분할에는 쓰지 않는다. 방향: repurchase=1 higher.,limited_or_not_rule_signal,weak_not_recommended_now,is_repurchase is target; this comparison is diagnostic only and is not a new segment rule.
