archive_path,source_path,exists_before_zip,size_bytes_before_zip,note
segment_interpretation_patch_260521/01_17x_notebook_rule_source_audit.csv,FINAL\segment_interpretation_patch_260521\01_17x_notebook_rule_source_audit.csv,True,3554.0,
segment_interpretation_patch_260521/02_general_observation_profile_by_target.csv,FINAL\segment_interpretation_patch_260521\02_general_observation_profile_by_target.csv,True,23580.0,
segment_interpretation_patch_260521/03_general_observation_promo_demo_audit.csv,FINAL\segment_interpretation_patch_260521\03_general_observation_promo_demo_audit.csv,True,12016.0,
segment_interpretation_patch_260521/04_general_observation_decision_memo.md,FINAL\segment_interpretation_patch_260521\04_general_observation_decision_memo.md,True,3551.0,
segment_interpretation_patch_260521/05_content_preference_target_candidate_rule_and_validity.csv,FINAL\segment_interpretation_patch_260521\05_content_preference_target_candidate_rule_and_validity.csv,True,4109.0,
segment_interpretation_patch_260521/06_content_preference_decision_memo.md,FINAL\segment_interpretation_patch_260521\06_content_preference_decision_memo.md,True,2510.0,
segment_interpretation_patch_260521/07_promo_aware_segment_label_mapping.csv,FINAL\segment_interpretation_patch_260521\07_promo_aware_segment_label_mapping.csv,True,4809.0,
segment_interpretation_patch_260521/08_segment_business_action_matrix.csv,FINAL\segment_interpretation_patch_260521\08_segment_business_action_matrix.csv,True,9327.0,
segment_interpretation_patch_260521/09_safe_unsafe_wording_final.csv,FINAL\segment_interpretation_patch_260521\09_safe_unsafe_wording_final.csv,True,2728.0,
segment_interpretation_patch_260521/10_PUBLIC_reference_branch_policy.md,FINAL\segment_interpretation_patch_260521\10_PUBLIC_reference_branch_policy.md,True,1558.0,
segment_interpretation_patch_260521/11_final_checks.csv,FINAL\segment_interpretation_patch_260521\11_final_checks.csv,True,1159.0,
segment_interpretation_patch_260521/12_source_fingerprint_before_after.csv,FINAL\segment_interpretation_patch_260521\12_source_fingerprint_before_after.csv,True,10389.0,
segment_interpretation_patch_260521/13_review_zip_inventory.csv,FINAL\segment_interpretation_patch_260521\13_review_zip_inventory.csv,False,,"self-reference limitation: this inventory records planned package contents, not the archive CRC of itself"
segment_interpretation_patch_260521/README.md,FINAL\segment_interpretation_patch_260521\README.md,True,5945.0,
final_note.md,FINAL\final_note.md,True,12040.0,final decision note at FINAL root
