flag_name,required_columns,formula,threshold_type,threshold_value,scope_applied,created,reason_if_not_created,interpretation,caveat
gb_high_risk_top10,gb_high_risk_top10,gb_high_risk_top10 from 15 OOF score,percentile_rank,gbtop10,"promo0,promo1",True,,OOF risk percentile flag,OOF score is not a final campaign threshold.
gb_high_risk_top20,gb_high_risk_top20,gb_high_risk_top20 from 15 OOF score,percentile_rank,gbtop20,"promo0,promo1",True,,OOF risk percentile flag,OOF score is not a final campaign threshold.
gb_high_risk_top30,gb_high_risk_top30,gb_high_risk_top30 from 15 OOF score,percentile_rank,gbtop30,"promo0,promo1",True,,OOF risk percentile flag,OOF score is not a final campaign threshold.
lr_high_risk_top10,lr_high_risk_top10,lr_high_risk_top10 from 15 OOF score,percentile_rank,lrtop10,"promo0,promo1",True,,OOF risk percentile flag,OOF score is not a final campaign threshold.
lr_high_risk_top20,lr_high_risk_top20,lr_high_risk_top20 from 15 OOF score,percentile_rank,lrtop20,"promo0,promo1",True,,OOF risk percentile flag,OOF score is not a final campaign threshold.
lr_high_risk_top30,lr_high_risk_top30,lr_high_risk_top30 from 15 OOF score,percentile_rank,lrtop30,"promo0,promo1",True,,OOF risk percentile flag,OOF score is not a final campaign threshold.
gb_lr_both_high_risk_top20,gb_lr_both_high_risk_top20,gb_lr_both_high_risk_top20 from GB/LR top20 overlap,derived_overlap,top20,"promo0,promo1",True,,GB/LR high-risk agreement flag,"Overlap is stability evidence, not final targeting approval."
gb_only_high_risk_top20,gb_only_high_risk_top20,gb_only_high_risk_top20 from GB/LR top20 overlap,derived_overlap,top20,"promo0,promo1",True,,GB/LR high-risk agreement flag,"Overlap is stability evidence, not final targeting approval."
lr_only_high_risk_top20,lr_only_high_risk_top20,lr_only_high_risk_top20 from GB/LR top20 overlap,derived_overlap,top20,"promo0,promo1",True,,GB/LR high-risk agreement flag,"Overlap is stability evidence, not final targeting approval."
neither_high_risk_top20,neither_high_risk_top20,neither_high_risk_top20 from GB/LR top20 overlap,derived_overlap,top20,"promo0,promo1",True,,GB/LR high-risk agreement flag,"Overlap is stability evidence, not final targeting approval."
low_watch_count,total_watch_count,total_watch_count <= scope q25,scope_quantile_q25,"{""promo0"": 2.0, ""promo1"": 2.0}","promo0,promo1",True,,Low total_watch_count behavior component,Component of broad low_activity flag.
low_watch_time,total_watch_time_min,total_watch_time_min <= scope q25,scope_quantile_q25,"{""promo0"": 73.0, ""promo1"": 75.0}","promo0,promo1",True,,Low total_watch_time_min behavior component,Component of broad low_activity flag.
low_watch_days,watch_days,watch_days <= scope q25,scope_quantile_q25,"{""promo0"": 2.0, ""promo1"": 2.0}","promo0,promo1",True,,Low watch_days behavior component,Component of broad low_activity flag.
low_activity,"low_watch_count,low_watch_time,low_watch_days",low_watch_count OR low_watch_time OR low_watch_days,broad_composite,any component true,"promo0,promo1",True,,Broad low activity screening flag,"Broad flag: low count, low time, or low active days can trigger it."
cold_start_weak,is_cold_start_7d_fixed,is_cold_start_7d_fixed == 0,binary_inverse,0 means weak,"promo0,promo1",True,,Weak or missing early activation within 7 days,"is_cold_start_7d_fixed=1 means early activation success, not weak activation."
early_activation_success,is_cold_start_7d_fixed,is_cold_start_7d_fixed == 1,binary,1 means success,"promo0,promo1",True,,Early activation success,Helper flag to avoid confusing cold-start success with weak activation.
week2_drop,"log_retention_w2_ratio,diff_between_w2_w1",log_retention_w2_ratio <= scope q0.25 OR diff_between_w2_w1 <= scope q0.25,scope_quantile,"{""log_retention_w2_ratio_<=_q0.25"": {""promo0"": -1.5854977048880925, ""promo1"": -1.4826701888911678}, ""diff_between_w2_w1_<=_q0.25"": {""promo0"": -75.0, ""promo1"": -76.0}}","promo0,promo1",True,,Week 2 drop signal,"Behavior flag, not model feature creation."
week3_drop,"log_retention_w3_ratio,diff_between_w3_w2",log_retention_w3_ratio <= scope q0.25 OR diff_between_w3_w2 <= scope q0.25,scope_quantile,"{""log_retention_w3_ratio_<=_q0.25"": {""promo0"": -1.4490952623589213, ""promo1"": -1.3047218036479724}, ""diff_between_w3_w2_<=_q0.25"": {""promo0"": -75.0, ""promo1"": -70.0}}","promo0,promo1",True,,Week 3 drop signal,"Behavior flag, not model feature creation."
week3_inactive,"watch_time_min_w3,watch_session_w3",watch_time_min_w3 == 0 OR watch_session_w3 == 0,explicit_zero,0,"promo0,promo1",True,,No week 3 viewing/session activity,Timing flag within prepared observation window.
only_w1,is_only_w1,is_only_w1 == 1,binary,1,"promo0,promo1",True,,only_w1 week-specific usage pattern,Provisional behavior flag.
only_w2,is_only_w2,is_only_w2 == 1,binary,1,"promo0,promo1",True,,only_w2 week-specific usage pattern,Provisional behavior flag.
only_w3,is_only_w3,is_only_w3 == 1,binary,1,"promo0,promo1",True,,only_w3 week-specific usage pattern,Provisional behavior flag.
retention_decay,"log_retention_w2_ratio,log_retention_w3_ratio",log_retention_w2_ratio <= scope q0.25 OR log_retention_w3_ratio <= scope q0.25,scope_quantile,"{""log_retention_w2_ratio_<=_q0.25"": {""promo0"": -1.5854977048880925, ""promo1"": -1.4826701888911678}, ""log_retention_w3_ratio_<=_q0.25"": {""promo0"": -1.4490952623589213, ""promo1"": -1.3047218036479724}}","promo0,promo1",True,,Log-retention decay signal,"Model explanation and behavior flag, not causality."
inactivity_recency_risk,"recency,max_inactive_gap_days",recency >= scope q0.75 OR max_inactive_gap_days >= scope q0.75,scope_quantile,"{""recency_>=_q0.75"": {""promo0"": 10.0, ""promo1"": 10.0}, ""max_inactive_gap_days_>=_q0.75"": {""promo0"": 8.0, ""promo1"": 8.0}}","promo0,promo1",True,,Recent inactivity or long inactive gap,Timing window must remain day0~20.
usage_concentrated,"max_day_share,active_ratio",max_day_share >= scope q0.75 OR active_ratio <= scope q0.25,scope_quantile,"{""max_day_share_>=_q0.75"": {""promo0"": 0.8947368421052632, ""promo1"": 0.8977272727272727}, ""active_ratio_<=_q0.25"": {""promo0"": 0.0952380952380952, ""promo1"": 0.0952380952380952}}","promo0,promo1",True,,Activity concentrated in few days,May interact with watch volume.
stable_usage,"active_ratio,max_day_share,watch_days,gb_high_risk_top20,week3_inactive,retention_decay",active_ratio>=q75 AND max_day_share<=q75 AND watch_days>=median AND gb_high_risk_top20=0 AND week3_inactive=0 AND retention_decay=0 when available,scope_quantile_composite,"{""active_ratio_q75"": {""promo0"": 0.238095238095238, ""promo1"": 0.238095238095238}, ""max_day_share_q75"": {""promo0"": 0.8947368421052632, ""promo1"": 0.8977272727272727}, ""watch_days_median"": {""promo0"": 3.0, ""promo1"": 3.0}}","promo0,promo1",True,,Provisional lower-risk behavior pattern,Not final loyal segment. 
genre_preference_clear,"genre_diversity_count,action_adventure_ratio,family_animation_ratio,drama_ratio,thriller_crime_ratio,sf_fantasy_ratio,comedy_ratio,romance_ratio,horror_ratio,documentary_ratio,historical_war_ratio,other_ratio",genre_diversity_count<=q25 OR row-wise max genre ratio>=q75,scope_quantile,"{""genre_diversity_count_q25"": {""promo0"": 1.0, ""promo1"": 1.0}, ""genre_max_ratio_q75"": {""promo0"": 0.9747899159663864, ""promo1"": 0.9696969696969696}}","promo0,promo1",True,,Clear or narrow genre preference signal,"Genre preference is profile/action evidence, not causal effect."
content_preference_signal,"new_movie_in_90d_ratio,new_movie_in_180d_ratio,new_movie_in_365d_ratio,old_movie_ratio_5y,avg_ott_release_year",content/release columns outside q25/q75,scope_quantile,"{""new_movie_in_90d_ratio_q25"": {""promo0"": 0.0, ""promo1"": 0.0}, ""new_movie_in_90d_ratio_q75"": {""promo0"": 0.25, ""promo1"": 0.25}, ""new_movie_in_180d_ratio_q25"": {""promo0"": 0.0, ""promo1"": 0.0}, ""new_movie_in_180d_ratio_q75"": {""promo0"": 0.3333333333333333, ""promo1"": 0.3333333333333333}, ""new_movie_in_365d_ratio_q25"": {""promo0"": 0.0, ""promo1"": 0.0}, ""new_movie_in_365d_ratio_q75"": {""promo0"": 0.5, ""promo1"": 0.5}, ""old_movie_ratio_5y_q25"": {""promo0"": 0.0, ""promo1"": 0.0}, ""old_movie_ratio_5y_q75"": {""promo0"": 0.25, ""promo1"": 0.2727272727272727}, ""avg_ott_release_year_q25"": {""promo0"": 2016.387445887446, ""promo1"": 2016.3413248337029}, ""avg_ott_release_year_q75"": {""promo0"": 2019.0, ""promo1"": 2019.0}}","promo0,promo1",True,,Content/release preference signal,Use only when content/release columns and rule are clear.
