promo_scope,representative_segment_id,provisional_label,demographic_modifier,observed_demographic_pattern,observed_behavior_difference,recommended_message_direction,recommended_channel_or_touchpoint,recommended_content_strategy,evidence_file,evidence_strength,risk_of_overinterpretation,final_status
promo0,promo0_s01,promo0_high_risk_week3_inactive,none_by_default,demographic profile available; no direct demographic rule,week3_inactive:1.00; retention_decay:0.80; only_w1:0.57; low_activity:0.79; usage_concentrated:0.77; genre_preference_clear:0.55,renewal-adjacent save reminder focused on unfinished value,week3 or renewal-proximity push/kakao/email candidate,behavior-matched content prompt,17_segment_demographic_profile.csv;17_segment_age_gender_behavior_profile.csv,weak,high if age/gender is treated as cause or direct segment name,not_recommended_yet
promo0,promo0_s02,promo0_high_risk_retention_decay,none_by_default,demographic profile available; no direct demographic rule,retention_decay:1.00; low_activity:0.31; usage_concentrated:0.27; content_preference_signal:0.97,interest decay recovery message with next-watch prompt,week2-week3 retention nudge,behavior-matched content prompt,17_segment_demographic_profile.csv;17_segment_age_gender_behavior_profile.csv,weak,high if age/gender is treated as cause or direct segment name,not_recommended_yet
promo0,promo0_s03,promo0_high_risk_only_w1_or_cold_start_weak,none_by_default,demographic profile available; no direct demographic rule,cold_start_weak:1.00; low_activity:0.99; usage_concentrated:0.96; genre_preference_clear:0.82; content_preference_signal:1.00,onboarding reactivation and first meaningful watch prompt,early onboarding touchpoint,behavior-matched content prompt,17_segment_demographic_profile.csv;17_segment_age_gender_behavior_profile.csv,weak,high if age/gender is treated as cause or direct segment name,not_recommended_yet
promo0,promo0_s04,promo0_high_risk_low_activity,none_by_default,demographic profile available; no direct demographic rule,low_activity:1.00; usage_concentrated:0.58; content_preference_signal:1.00,lightweight activation nudge with low-friction content,channel requires campaign design review,behavior-matched content prompt,17_segment_demographic_profile.csv;17_segment_age_gender_behavior_profile.csv,weak,high if age/gender is treated as cause or direct segment name,not_recommended_yet
promo0,promo0_s05,promo0_stable_usage_lower_risk,none_by_default,demographic profile available; no direct demographic rule,content_preference_signal:0.93; stable_usage:1.00,benefit reminder or conversion/upsell candidate message,channel requires campaign design review,continued value and membership conversion content,17_segment_demographic_profile.csv;17_segment_age_gender_behavior_profile.csv,weak,high if age/gender is treated as cause or direct segment name,not_recommended_yet
promo0,promo0_s99,promo0_other_needs_review,none_by_default,demographic profile available; no direct demographic rule,week3_inactive:0.34; retention_decay:0.56; cold_start_weak:0.46; low_activity:0.48; usage_concentrated:0.47; genre_preference_clear:0.31,needs review,channel requires campaign design review,behavior-matched content prompt,17_segment_demographic_profile.csv;17_segment_age_gender_behavior_profile.csv,weak,high if age/gender is treated as cause or direct segment name,not_recommended_yet
promo1,promo1_s01,promo1_high_risk_week3_inactive,none_by_default,demographic profile available; no direct demographic rule,week3_inactive:1.00; retention_decay:0.81; only_w1:0.55; low_activity:0.79; usage_concentrated:0.77; genre_preference_clear:0.56,renewal-adjacent save reminder focused on unfinished value,week3 or renewal-proximity push/kakao/email candidate,behavior-matched content prompt,17_segment_demographic_profile.csv;17_segment_age_gender_behavior_profile.csv,weak,high if age/gender is treated as cause or direct segment name,not_recommended_yet
promo1,promo1_s02,promo1_high_risk_retention_decay,none_by_default,demographic profile available; no direct demographic rule,retention_decay:1.00; low_activity:0.32; content_preference_signal:0.97,interest decay recovery message with next-watch prompt,week2-week3 retention nudge,behavior-matched content prompt,17_segment_demographic_profile.csv;17_segment_age_gender_behavior_profile.csv,weak,high if age/gender is treated as cause or direct segment name,not_recommended_yet
promo1,promo1_s03,promo1_high_risk_only_w1_or_cold_start_weak,none_by_default,demographic profile available; no direct demographic rule,cold_start_weak:1.00; low_activity:0.92; usage_concentrated:0.89; genre_preference_clear:0.75; content_preference_signal:1.00,onboarding reactivation and first meaningful watch prompt,early onboarding touchpoint,behavior-matched content prompt,17_segment_demographic_profile.csv;17_segment_age_gender_behavior_profile.csv,weak,high if age/gender is treated as cause or direct segment name,not_recommended_yet
promo1,promo1_s04,promo1_high_risk_low_activity,none_by_default,demographic profile available; no direct demographic rule,low_activity:1.00; usage_concentrated:0.34; content_preference_signal:1.00,lightweight activation nudge with low-friction content,channel requires campaign design review,behavior-matched content prompt,17_segment_demographic_profile.csv;17_segment_age_gender_behavior_profile.csv,weak,high if age/gender is treated as cause or direct segment name,not_recommended_yet
promo1,promo1_s05,promo1_high_risk_genre_or_content_narrow,none_by_default,demographic profile available; no direct demographic rule,content_preference_signal:0.99,personalized recommendation based on observed preference,channel requires campaign design review,genre/content recommendation experiment,17_segment_demographic_profile.csv;17_segment_age_gender_behavior_profile.csv,weak,high if age/gender is treated as cause or direct segment name,not_recommended_yet
promo1,promo1_s06,promo1_stable_usage_lower_risk,none_by_default,demographic profile available; no direct demographic rule,content_preference_signal:0.91; stable_usage:1.00,benefit reminder or conversion/upsell candidate message,channel requires campaign design review,continued value and membership conversion content,17_segment_demographic_profile.csv;17_segment_age_gender_behavior_profile.csv,weak,high if age/gender is treated as cause or direct segment name,not_recommended_yet
promo1,promo1_s99,promo1_other_needs_review,none_by_default,demographic profile available; no direct demographic rule,week3_inactive:0.34; retention_decay:0.56; cold_start_weak:0.46; low_activity:0.47; usage_concentrated:0.46; genre_preference_clear:0.32,needs review,channel requires campaign design review,behavior-matched content prompt,17_segment_demographic_profile.csv;17_segment_age_gender_behavior_profile.csv,weak,high if age/gender is treated as cause or direct segment name,not_recommended_yet
