promo_scope,representative_segment_id,provisional_label,row_count,row_share_within_scope,actual_repurchase_rate,actual_churn_rate,mean_gb_churn_risk,median_gb_churn_risk,mean_lr_churn_risk,median_lr_churn_risk,gb_top20_share,lr_top20_share,gb_lr_both_top20_share,dominant_flags,primary_behavior_interpretation,user_approval_required,caveat
promo0,promo0_s01,promo0_high_risk_week3_inactive,1736,0.15509693558474047,0.3127880184331797,0.6872119815668203,0.6623917890006712,0.6592477110727855,0.8439935144270347,0.8756895588434748,1.0,0.8421658986175116,0.8421658986175116,week3_inactive:1.00; retention_decay:0.80; only_w1:0.57; low_activity:0.79; usage_concentrated:0.77; genre_preference_clear:0.55,week3 inactivity / near-renewal disengagement,yes,"Provisional segment. Actual repurchase/churn rates are descriptive, not causal effects. low_activity is broad if present."
promo0,promo0_s02,promo0_high_risk_retention_decay,154,0.013758599124452783,0.3961038961038961,0.6038961038961039,0.5552055752052045,0.5307109226676083,0.7600324511756517,0.7858286993500823,1.0,0.7012987012987013,0.7012987012987013,retention_decay:1.00; low_activity:0.31; usage_concentrated:0.27; content_preference_signal:0.97,log-retention decay / continued viewing decline,yes,"Provisional segment. Actual repurchase/churn rates are descriptive, not causal effects. low_activity is broad if present."
promo0,promo0_s03,promo0_high_risk_only_w1_or_cold_start_weak,230,0.02054855713392299,0.21304347826086956,0.7869565217391304,0.6343099306579036,0.6056935064763348,0.8415961530595893,0.8683028278868319,1.0,0.8434782608695652,0.8434782608695652,cold_start_weak:1.00; low_activity:0.99; usage_concentrated:0.96; genre_preference_clear:0.82; content_preference_signal:1.00,weak early activation or only week1 use,yes,"Provisional segment. Actual repurchase/churn rates are descriptive, not causal effects. low_activity is broad if present."
promo0,promo0_s04,promo0_high_risk_low_activity,43,0.003841686768516037,0.4418604651162791,0.5581395348837209,0.5997995016124588,0.5761505087281121,0.7397959981826019,0.7482688297542552,1.0,0.5581395348837209,0.5581395348837209,low_activity:1.00; usage_concentrated:0.58; content_preference_signal:1.00,broad low activity screening pattern,yes,"Provisional segment. Actual repurchase/churn rates are descriptive, not causal effects. low_activity is broad if present."
promo0,promo0_s05,promo0_stable_usage_lower_risk,2031,0.1814526936478156,0.9182668636139832,0.08173313638601676,0.08001897369265862,0.0508245370483301,0.1565218257814831,0.100875854378009,0.0,0.006893156080748399,0.0,content_preference_signal:0.93; stable_usage:1.00,provisional lower-risk behavior pattern,yes,"Provisional segment. Actual repurchase/churn rates are descriptive, not causal effects. low_activity is broad if present."
promo0,promo0_s99,promo0_other_needs_review,6999,0.6253015277405521,0.8572653236176596,0.1427346763823404,0.15440726943892763,0.1107536004906407,0.32212918667637147,0.283450730107346,0.010858694099157023,0.06243749107015288,0.007001000142877554,week3_inactive:0.34; retention_decay:0.56; cold_start_weak:0.46; low_activity:0.48; usage_concentrated:0.47; genre_preference_clear:0.31,needs review,yes,"Provisional segment. Actual repurchase/churn rates are descriptive, not causal effects. low_activity is broad if present."
promo1,promo1_s01,promo1_high_risk_week3_inactive,1700,0.14280913978494625,0.25058823529411767,0.7494117647058823,0.7455318405606054,0.7445067230423814,0.8518196368213521,0.8782006278214246,1.0,0.8458823529411764,0.8458823529411764,week3_inactive:1.00; retention_decay:0.81; only_w1:0.55; low_activity:0.79; usage_concentrated:0.77; genre_preference_clear:0.56,week3 inactivity / near-renewal disengagement,yes,"Provisional segment. Actual repurchase/churn rates are descriptive, not causal effects. low_activity is broad if present."
promo1,promo1_s02,promo1_high_risk_retention_decay,193,0.0162130376344086,0.3160621761658031,0.6839378238341969,0.6899049518433928,0.6829947439034436,0.7812812009613718,0.7978582296523129,1.0,0.694300518134715,0.694300518134715,retention_decay:1.00; low_activity:0.32; content_preference_signal:0.97,log-retention decay / continued viewing decline,yes,"Provisional segment. Actual repurchase/churn rates are descriptive, not causal effects. low_activity is broad if present."
promo1,promo1_s03,promo1_high_risk_only_w1_or_cold_start_weak,329,0.0276377688172043,0.19756838905775076,0.8024316109422492,0.7325794384034274,0.7246920048818808,0.8407369575479215,0.8605929388560427,1.0,0.8358662613981763,0.8358662613981763,cold_start_weak:1.00; low_activity:0.92; usage_concentrated:0.89; genre_preference_clear:0.75; content_preference_signal:1.00,weak early activation or only week1 use,yes,"Provisional segment. Actual repurchase/churn rates are descriptive, not causal effects. low_activity is broad if present."
promo1,promo1_s04,promo1_high_risk_low_activity,41,0.003444220430107527,0.36585365853658536,0.6341463414634146,0.7244826208969499,0.7137487599468336,0.7890902270932008,0.7876411716483743,1.0,0.7073170731707317,0.7073170731707317,low_activity:1.00; usage_concentrated:0.34; content_preference_signal:1.00,broad low activity screening pattern,yes,"Provisional segment. Actual repurchase/churn rates are descriptive, not causal effects. low_activity is broad if present."
promo1,promo1_s05,promo1_high_risk_genre_or_content_narrow,117,0.009828629032258064,0.18803418803418803,0.811965811965812,0.6696754613931326,0.6519095529247342,0.7473199407503416,0.7636872548090947,1.0,0.5982905982905983,0.5982905982905983,content_preference_signal:0.99,narrow genre or content preference evidence,yes,"Provisional segment. Actual repurchase/churn rates are descriptive, not causal effects. low_activity is broad if present."
promo1,promo1_s06,promo1_stable_usage_lower_risk,2086,0.17523521505376344,0.8552253116011506,0.14477468839884944,0.1497336324006249,0.10619604561871385,0.2168768300096044,0.1653409047363112,0.0,0.01102588686481304,0.0,content_preference_signal:0.91; stable_usage:1.00,provisional lower-risk behavior pattern,yes,"Provisional segment. Actual repurchase/churn rates are descriptive, not causal effects. low_activity is broad if present."
promo1,promo1_s99,promo1_other_needs_review,7438,0.6248319892473119,0.7614950255445012,0.23850497445549879,0.24159798203770835,0.20988767670338043,0.3729697148123638,0.3658459907338199,0.00013444474321054048,0.055391234202742674,0.00013444474321054048,week3_inactive:0.34; retention_decay:0.56; cold_start_weak:0.46; low_activity:0.47; usage_concentrated:0.46; genre_preference_clear:0.32,needs review,yes,"Provisional segment. Actual repurchase/churn rates are descriptive, not causal effects. low_activity is broad if present."
