promo_scope,representative_segment_id,demographic_group,feature_name,feature_family,mean,median,q25,q75,actual_repurchase_rate,mean_gb_churn_risk,difference_vs_segment_overall,interpretation,caveat
promo0,promo0_s01,age_group=10,total_watch_count,weekly_usage,4.64,4.0,2.0,6.0,0.4,0.6887816347669063,1.2805529953917048,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=10,watch_days,weekly_usage,2.52,2.0,2.0,3.0,0.4,0.6887816347669063,0.6000691244239631,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=10,total_watch_time_min,weekly_usage,203.04,117.0,37.0,233.0,0.4,0.6887816347669063,88.89599078341013,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=10,active_ratio,usage_concentration,0.11999999999999994,0.0952380952380952,0.0952380952380952,0.1428571428571428,0.4,0.6887816347669063,0.028574720210664872,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=10,log_retention_w2_ratio,retention_decay,-2.6040526204315375,-2.9444389791664407,-4.543294782270007,-1.0198314108149955,0.4,0.6887816347669063,-0.39163152557570236,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=10,log_retention_w3_ratio,retention_decay,-1.6725559251116169,-0.6931471805599453,-3.912023005428146,0.0,0.4,0.6887816347669063,-0.5049859496735338,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=10,recency,inactivity_recency,13.16,13.0,9.0,16.0,0.4,0.6887816347669063,-0.6804377880184322,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=10,max_inactive_gap_days,inactivity_recency,3.32,3.0,1.0,6.0,0.4,0.6887816347669063,1.0826728110599078,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=20,total_watch_count,weekly_usage,3.4123989218328843,3.0,1.0,4.0,0.33962264150943394,0.6746336176315642,0.05295191722458936,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=20,watch_days,weekly_usage,1.9433962264150944,2.0,1.0,3.0,0.33962264150943394,0.6746336176315642,0.02346535083905743,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=20,total_watch_time_min,weekly_usage,120.82749326145553,85.0,8.0,174.5,0.33962264150943394,0.6746336176315642,6.683484044865665,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=20,active_ratio,usage_concentration,0.09254267744833777,0.0952380952380952,0.0476190476190476,0.1428571428571428,0.33962264150943394,0.6746336176315642,0.0011173976590027057,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=20,log_retention_w2_ratio,retention_decay,-2.2816908644656446,-2.3978952727983707,-4.595068832329334,-0.5006868911216792,0.33962264150943394,0.6746336176315642,-0.06926976960980946,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=20,log_retention_w3_ratio,retention_decay,-1.1761539411696813,0.0,-1.9459101490553137,0.0,0.33962264150943394,0.6746336176315642,-0.008583965731598253,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=20,recency,inactivity_recency,13.908355795148248,14.0,11.0,17.0,0.33962264150943394,0.6746336176315642,0.06791800712981555,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=20,max_inactive_gap_days,inactivity_recency,2.091644204851752,1.0,0.0,4.0,0.33962264150943394,0.6746336176315642,-0.14568298408834002,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=30,total_watch_count,weekly_usage,3.3860103626943006,3.0,1.0,4.0,0.3005181347150259,0.6550378203477649,0.02656335808600563,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=30,watch_days,weekly_usage,1.9145077720207253,2.0,1.0,2.0,0.3005181347150259,0.6550378203477649,-0.005423103555311615,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=30,total_watch_time_min,weekly_usage,118.26424870466322,78.5,10.25,164.25,0.3005181347150259,0.6550378203477649,4.120239488073352,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=30,active_ratio,usage_concentration,0.09116703676289165,0.0952380952380952,0.0476190476190476,0.0952380952380952,0.3005181347150259,0.6550378203477649,-0.0002582430264434221,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=30,log_retention_w2_ratio,retention_decay,-2.070657374459733,-2.138333059508028,-4.439692642078569,-0.3113200552123058,0.3005181347150259,0.6550378203477649,0.14176372039610197,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=30,log_retention_w3_ratio,retention_decay,-1.275326985230011,0.0,-2.620530336576828,0.0,0.3005181347150259,0.6550378203477649,-0.10775700979192804,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=30,recency,inactivity_recency,13.756476683937823,14.0,10.0,17.0,0.3005181347150259,0.6550378203477649,-0.08396110408060942,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
promo0,promo0_s01,age_group=30,max_inactive_gap_days,inactivity_recency,2.3678756476683938,1.0,0.0,4.75,0.3005181347150259,0.6550378203477649,0.13054845872830168,Demographic modifier with behavior profile evidence.,Do not use demographic group as primary segment name.
