evidence_item,related_segment_id,source_file,metric_or_field,value,interpretation,caveat
promo0_s01_row_count,promo0_s01,17_segment_summary.csv,row_count,1736,row_count for promo0_high_risk_week3_inactive,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s01_row_share_within_scope,promo0_s01,17_segment_summary.csv,row_share_within_scope,0.1550969355847404,row_share_within_scope for promo0_high_risk_week3_inactive,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s01_actual_repurchase_rate,promo0_s01,17_segment_summary.csv,actual_repurchase_rate,0.3127880184331797,actual_repurchase_rate for promo0_high_risk_week3_inactive,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s01_actual_churn_rate,promo0_s01,17_segment_summary.csv,actual_churn_rate,0.6872119815668203,actual_churn_rate for promo0_high_risk_week3_inactive,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s01_mean_gb_churn_risk,promo0_s01,17_segment_summary.csv,mean_gb_churn_risk,0.6623917890006712,mean_gb_churn_risk for promo0_high_risk_week3_inactive,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s01_gb_lr_both_top20_share,promo0_s01,17_segment_summary.csv,gb_lr_both_top20_share,0.8421658986175116,gb_lr_both_top20_share for promo0_high_risk_week3_inactive,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s01_dominant_flags,promo0_s01,17_segment_summary.csv,dominant_flags,week3_inactive:1.00; retention_decay:0.80; only_w1:0.57; low_activity:0.79; usage_concentrated:0.77; genre_preference_clear:0.55,dominant_flags for promo0_high_risk_week3_inactive,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s02_row_count,promo0_s02,17_segment_summary.csv,row_count,154,row_count for promo0_high_risk_retention_decay,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s02_row_share_within_scope,promo0_s02,17_segment_summary.csv,row_share_within_scope,0.0137585991244527,row_share_within_scope for promo0_high_risk_retention_decay,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s02_actual_repurchase_rate,promo0_s02,17_segment_summary.csv,actual_repurchase_rate,0.3961038961038961,actual_repurchase_rate for promo0_high_risk_retention_decay,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s02_actual_churn_rate,promo0_s02,17_segment_summary.csv,actual_churn_rate,0.6038961038961039,actual_churn_rate for promo0_high_risk_retention_decay,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s02_mean_gb_churn_risk,promo0_s02,17_segment_summary.csv,mean_gb_churn_risk,0.5552055752052045,mean_gb_churn_risk for promo0_high_risk_retention_decay,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s02_gb_lr_both_top20_share,promo0_s02,17_segment_summary.csv,gb_lr_both_top20_share,0.7012987012987013,gb_lr_both_top20_share for promo0_high_risk_retention_decay,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s02_dominant_flags,promo0_s02,17_segment_summary.csv,dominant_flags,retention_decay:1.00; low_activity:0.31; usage_concentrated:0.27; content_preference_signal:0.97,dominant_flags for promo0_high_risk_retention_decay,"Descriptive segmentation evidence, not causal proof or final targeting."
promo0_s03_row_count,promo0_s03,17_segment_summary.csv,row_count,230,row_count for promo0_high_risk_only_w1_or_cold_start_weak,"Descriptive segmentation evidence, not causal proof or final targeting."
