promo_scope,representative_segment_id,provisional_label,primary_behavior_problem,recommended_action_type,recommended_message_direction,recommended_content_strategy,recommended_timing,demographic_personalization_needed,evidence_summary,caveat,final_status
promo0,promo0_s01,promo0_high_risk_week3_inactive,week3 inactivity,week3_save_campaign,renewal-adjacent save reminder focused on unfinished value,behavior-matched content prompt,week3 or renewal-proximity push/kakao/email candidate,yes_after_EDA_evidence,"n=1736, mean_gb_churn=0.6624, flags=week3_inactive:1.00; retention_decay:0.80; only_w1:0.57; low_activity:0.79; usage_concentrated:0.77; genre_preference_clear:0.55",Action candidate is not proven campaign effect. A/B test or operation experiment required.,provisional_candidate
promo0,promo0_s02,promo0_high_risk_retention_decay,retention decay,week2_retention_nudge,interest decay recovery message with next-watch prompt,behavior-matched content prompt,week2-week3 retention nudge,yes_after_EDA_evidence,"n=154, mean_gb_churn=0.5552, flags=retention_decay:1.00; low_activity:0.31; usage_concentrated:0.27; content_preference_signal:0.97",Action candidate is not proven campaign effect. A/B test or operation experiment required.,provisional_candidate
promo0,promo0_s03,promo0_high_risk_only_w1_or_cold_start_weak,weak early activation or only week1 usage,onboarding_reactivation,onboarding reactivation and first meaningful watch prompt,behavior-matched content prompt,early onboarding touchpoint,yes_after_EDA_evidence,"n=230, mean_gb_churn=0.6343, flags=cold_start_weak:1.00; low_activity:0.99; usage_concentrated:0.96; genre_preference_clear:0.82; content_preference_signal:1.00",Action candidate is not proven campaign effect. A/B test or operation experiment required.,provisional_candidate
promo0,promo0_s04,promo0_high_risk_low_activity,broad low activity,onboarding_reactivation,lightweight activation nudge with low-friction content,behavior-matched content prompt,channel requires campaign design review,yes_after_EDA_evidence,"n=43, mean_gb_churn=0.5998, flags=low_activity:1.00; usage_concentrated:0.58; content_preference_signal:1.00",Action candidate is not proven campaign effect. A/B test or operation experiment required.,provisional_candidate
promo0,promo0_s05,promo0_stable_usage_lower_risk,lower-risk stable usage pattern,stable_user_upsell_or_conversion,benefit reminder or conversion/upsell candidate message,continued value and membership conversion content,channel requires campaign design review,yes_after_EDA_evidence,"n=2031, mean_gb_churn=0.0800, flags=content_preference_signal:0.93; stable_usage:1.00",Action candidate is not proven campaign effect. A/B test or operation experiment required.,provisional_candidate
promo0,promo0_s99,promo0_other_needs_review,unclassified behavior pattern,needs_review,needs review,behavior-matched content prompt,channel requires campaign design review,yes_after_EDA_evidence,"n=6999, mean_gb_churn=0.1544, flags=week3_inactive:0.34; retention_decay:0.56; cold_start_weak:0.46; low_activity:0.48; usage_concentrated:0.47; genre_preference_clear:0.31",Action candidate is not proven campaign effect. A/B test or operation experiment required.,provisional_candidate
promo1,promo1_s01,promo1_high_risk_week3_inactive,week3 inactivity,week3_save_campaign,renewal-adjacent save reminder focused on unfinished value,behavior-matched content prompt,week3 or renewal-proximity push/kakao/email candidate,yes_after_EDA_evidence,"n=1700, mean_gb_churn=0.7455, flags=week3_inactive:1.00; retention_decay:0.81; only_w1:0.55; low_activity:0.79; usage_concentrated:0.77; genre_preference_clear:0.56",Action candidate is not proven campaign effect. A/B test or operation experiment required.,provisional_candidate
promo1,promo1_s02,promo1_high_risk_retention_decay,retention decay,week2_retention_nudge,interest decay recovery message with next-watch prompt,behavior-matched content prompt,week2-week3 retention nudge,yes_after_EDA_evidence,"n=193, mean_gb_churn=0.6899, flags=retention_decay:1.00; low_activity:0.32; content_preference_signal:0.97",Action candidate is not proven campaign effect. A/B test or operation experiment required.,provisional_candidate
promo1,promo1_s03,promo1_high_risk_only_w1_or_cold_start_weak,weak early activation or only week1 usage,onboarding_reactivation,onboarding reactivation and first meaningful watch prompt,behavior-matched content prompt,early onboarding touchpoint,yes_after_EDA_evidence,"n=329, mean_gb_churn=0.7326, flags=cold_start_weak:1.00; low_activity:0.92; usage_concentrated:0.89; genre_preference_clear:0.75; content_preference_signal:1.00",Action candidate is not proven campaign effect. A/B test or operation experiment required.,provisional_candidate
promo1,promo1_s04,promo1_high_risk_low_activity,broad low activity,onboarding_reactivation,lightweight activation nudge with low-friction content,behavior-matched content prompt,channel requires campaign design review,yes_after_EDA_evidence,"n=41, mean_gb_churn=0.7245, flags=low_activity:1.00; usage_concentrated:0.34; content_preference_signal:1.00",Action candidate is not proven campaign effect. A/B test or operation experiment required.,provisional_candidate
promo1,promo1_s05,promo1_high_risk_genre_or_content_narrow,narrow genre/content evidence,genre_based_recommendation,personalized recommendation based on observed preference,genre/content recommendation experiment,channel requires campaign design review,yes_after_EDA_evidence,"n=117, mean_gb_churn=0.6697, flags=content_preference_signal:0.99",Action candidate is not proven campaign effect. A/B test or operation experiment required.,provisional_candidate
promo1,promo1_s06,promo1_stable_usage_lower_risk,lower-risk stable usage pattern,stable_user_upsell_or_conversion,benefit reminder or conversion/upsell candidate message,continued value and membership conversion content,channel requires campaign design review,yes_after_EDA_evidence,"n=2086, mean_gb_churn=0.1497, flags=content_preference_signal:0.91; stable_usage:1.00",Action candidate is not proven campaign effect. A/B test or operation experiment required.,provisional_candidate
promo1,promo1_s99,promo1_other_needs_review,unclassified behavior pattern,needs_review,needs review,behavior-matched content prompt,channel requires campaign design review,yes_after_EDA_evidence,"n=7438, mean_gb_churn=0.2416, flags=week3_inactive:0.34; retention_decay:0.56; cold_start_weak:0.46; low_activity:0.47; usage_concentrated:0.46; genre_preference_clear:0.32",Action candidate is not proven campaign effect. A/B test or operation experiment required.,provisional_candidate
