promo_scope,representative_segment_id,provisional_label,related_feature_family,related_features,segment_behavior_evidence,shap_family_rank_in_promo_scope,shap_family_importance,promo1_vs_promo0_family_difference_if_available,interpretation,caveat
promo0,promo0_s01,promo0_high_risk_week3_inactive,weekly_usage,see 16b feature family mapping,week3_inactive:1.00; retention_decay:0.80; only_w1:0.57; low_activity:0.79; usage_concentrated:0.77; genre_preference_clear:0.55,1,1.3809966019692443,-0.1516487369128842,weekly_usage supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo0,promo0_s01,promo0_high_risk_week3_inactive,week_specific_usage_pattern,see 16b feature family mapping,week3_inactive:1.00; retention_decay:0.80; only_w1:0.57; low_activity:0.79; usage_concentrated:0.77; genre_preference_clear:0.55,5,0.1023168296453725,-0.0613145131134365,week_specific_usage_pattern supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo0,promo0_s02,promo0_high_risk_retention_decay,retention_decay,see 16b feature family mapping,retention_decay:1.00; low_activity:0.31; usage_concentrated:0.27; content_preference_signal:0.97,3,0.4568113300419129,0.1095775107736858,retention_decay supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo0,promo0_s02,promo0_high_risk_retention_decay,inactivity_recency,see 16b feature family mapping,retention_decay:1.00; low_activity:0.31; usage_concentrated:0.27; content_preference_signal:0.97,11,0.0149448877108247,0.0406251304858924,inactivity_recency supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo0,promo0_s03,promo0_high_risk_only_w1_or_cold_start_weak,onboarding_activation,see 16b feature family mapping,cold_start_weak:1.00; low_activity:0.99; usage_concentrated:0.96; genre_preference_clear:0.82; content_preference_signal:1.00,7,0.0500236933924705,0.1255454387904608,onboarding_activation supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo0,promo0_s03,promo0_high_risk_only_w1_or_cold_start_weak,week_specific_usage_pattern,see 16b feature family mapping,cold_start_weak:1.00; low_activity:0.99; usage_concentrated:0.96; genre_preference_clear:0.82; content_preference_signal:1.00,5,0.1023168296453725,-0.0613145131134365,week_specific_usage_pattern supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo0,promo0_s04,promo0_high_risk_low_activity,weekly_usage,see 16b feature family mapping,low_activity:1.00; usage_concentrated:0.58; content_preference_signal:1.00,1,1.3809966019692443,-0.1516487369128842,weekly_usage supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo0,promo0_s04,promo0_high_risk_low_activity,usage_concentration,see 16b feature family mapping,low_activity:1.00; usage_concentrated:0.58; content_preference_signal:1.00,4,0.1117107748217988,-0.0302356075512337,usage_concentration supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo0,promo0_s05,promo0_stable_usage_lower_risk,weekly_usage,see 16b feature family mapping,content_preference_signal:0.93; stable_usage:1.00,1,1.3809966019692443,-0.1516487369128842,weekly_usage supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
promo0,promo0_s05,promo0_stable_usage_lower_risk,retention_decay,see 16b feature family mapping,content_preference_signal:0.93; stable_usage:1.00,3,0.4568113300419129,0.1095775107736858,retention_decay supports the behavior evidence as model explanation.,"SHAP is model explanation, not causality. Segment rule is not built from SHAP alone."
