segment_id,promo_scope,priority_order,rule_expression,required_flags,risk_condition,behavior_condition,provisional_label,business_hypothesis,caveat,user_approval_required
promo1_s01,promo1,1,promo_scope=='promo1' AND gb_high_risk_top20==1 AND week3_inactive==1,"gb_high_risk_top20,week3_inactive",GB top20 high risk,week3 inactive,promo1_high_risk_week3_inactive,100won high-risk customers with no week3 activity may need near-renewal save or reactivation messaging.,"Provisional rule label. Not final segment name, not final campaign targeting.",yes
promo1_s02,promo1,2,promo_scope=='promo1' AND gb_high_risk_top20==1 AND retention_decay==1,"gb_high_risk_top20,retention_decay",GB top20 high risk,retention decay,promo1_high_risk_retention_decay,100won high-risk customers with declining log-retention may need week2/week3 retention nudges.,"Provisional rule label. Not final segment name, not final campaign targeting.",yes
promo1_s03,promo1,3,promo_scope=='promo1' AND gb_high_risk_top20==1 AND (only_w1==1 OR cold_start_weak==1),"gb_high_risk_top20,only_w1,cold_start_weak",GB top20 high risk,only week1 or weak early activation,promo1_high_risk_only_w1_or_cold_start_weak,"100won high-risk customers with weak early activation need onboarding/reactivation, not cold-start success treatment.","Provisional rule label. Not final segment name, not final campaign targeting.",yes
promo1_s04,promo1,4,promo_scope=='promo1' AND gb_high_risk_top20==1 AND low_activity==1,"gb_high_risk_top20,low_activity",GB top20 high risk,broad low activity,promo1_high_risk_low_activity,100won high-risk customers with broad low activity may need lightweight activation prompts.,"Provisional rule label. Not final segment name, not final campaign targeting.",yes
promo1_s05,promo1,5,promo_scope=='promo1' AND gb_high_risk_top20==1 AND (genre_preference_clear==1 OR content_preference_signal==1),"gb_high_risk_top20,genre_preference_clear,content_preference_signal",GB top20 high risk,genre or content narrow signal,promo1_high_risk_genre_or_content_narrow,100won high-risk customers with narrow content/genre evidence may need recommendation strategy.,"Provisional rule label. Not final segment name, not final campaign targeting.",yes
promo1_s06,promo1,6,promo_scope=='promo1' AND gb_high_risk_top20==0 AND stable_usage==1,"gb_high_risk_top20,stable_usage",not GB top20 high risk,stable usage,promo1_stable_usage_lower_risk,"100won lower-risk behavior pattern, not final loyal segment.","Provisional rule label. Not final segment name, not final campaign targeting.",yes
promo1_s99,promo1,99,promo_scope=='promo1' AND no prior rule matched,,fallback,needs review,promo1_other_needs_review,Unassigned 100won rows need further review.,"Provisional rule label. Not final segment name, not final campaign targeting.",yes
promo0_s01,promo0,1,promo_scope=='promo0' AND gb_high_risk_top20==1 AND week3_inactive==1,"gb_high_risk_top20,week3_inactive",GB top20 high risk,week3 inactive,promo0_high_risk_week3_inactive,General-customer comparison high-risk week3 inactive pattern.,"Provisional rule label. Not final segment name, not final campaign targeting.",yes
promo0_s02,promo0,2,promo_scope=='promo0' AND gb_high_risk_top20==1 AND retention_decay==1,"gb_high_risk_top20,retention_decay",GB top20 high risk,retention decay,promo0_high_risk_retention_decay,General-customer comparison high-risk retention decay pattern.,"Provisional rule label. Not final segment name, not final campaign targeting.",yes
promo0_s03,promo0,3,promo_scope=='promo0' AND gb_high_risk_top20==1 AND (only_w1==1 OR cold_start_weak==1),"gb_high_risk_top20,only_w1,cold_start_weak",GB top20 high risk,only week1 or weak early activation,promo0_high_risk_only_w1_or_cold_start_weak,General-customer comparison weak early activation pattern.,"Provisional rule label. Not final segment name, not final campaign targeting.",yes
promo0_s04,promo0,4,promo_scope=='promo0' AND gb_high_risk_top20==1 AND low_activity==1,"gb_high_risk_top20,low_activity",GB top20 high risk,broad low activity,promo0_high_risk_low_activity,General-customer comparison broad low activity pattern.,"Provisional rule label. Not final segment name, not final campaign targeting.",yes
promo0_s05,promo0,5,promo_scope=='promo0' AND gb_high_risk_top20==0 AND stable_usage==1,"gb_high_risk_top20,stable_usage",not GB top20 high risk,stable usage,promo0_stable_usage_lower_risk,"General-customer lower-risk behavior pattern, not final loyal segment.","Provisional rule label. Not final segment name, not final campaign targeting.",yes
promo0_s99,promo0,99,promo_scope=='promo0' AND no prior rule matched,,fallback,needs review,promo0_other_needs_review,Unassigned comparison rows need further review.,"Provisional rule label. Not final segment name, not final campaign targeting.",yes
