check_name,status,expected,actual,notes
public_root_exists,PASS,PUBLIC root exists,True,
output_folder_exists,PASS,output folder exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation,
handoff_folder_exists,PASS,handoff folder exists,PUBLIC\handoff\PUBLIC_16_four_model_SHAP_candidate_interpretation_260520,
notebook_created,PASS,notebook exists,PUBLIC\notebooks\16_SHAP_candidate_interpretation_260520\16_four_model_SHAP_candidate_interpretation_260520.ipynb,
notebook_executed,PASS,executed notebook exists,PUBLIC\notebooks\16_SHAP_candidate_interpretation_260520\16_four_model_SHAP_candidate_interpretation_260520_executed.ipynb,
executed_notebook_saved,PASS,non-empty executed notebook,3871,
input_validation_created,PASS,input validation CSV,PUBLIC\handoff\PUBLIC_16_four_model_SHAP_candidate_interpretation_260520\16_shap_input_validation.csv,
shap_environment_check_created,PASS,environment check CSV,PUBLIC\handoff\PUBLIC_16_four_model_SHAP_candidate_interpretation_260520\16_shap_environment_check.csv,
model_config_and_feature_manifest_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_model_config_and_feature_manifest.csv,
feature_policy_check_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_shap_feature_policy_check.csv,
shap_execution_plan_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_shap_execution_plan.csv,
shap_global_importance_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_shap_global_importance.csv,
lr_coefficient_summary_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_lr_coefficient_summary.csv,
shap_direction_summary_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_shap_direction_summary.csv,
feature_family_mapping_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_feature_family_mapping_for_shap.csv,
shap_family_importance_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_shap_family_importance.csv,
promo1_vs_promo0_comparison_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_promo1_vs_promo0_shap_comparison.csv,
demographic_context_audit_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_demographic_context_audit_for_shap.csv,
is_churn_prevented_interpretation_audit_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_is_churn_prevented_interpretation_audit.csv,
readiness_for_segmentation_created,PASS,file exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_readiness_for_segmentation.csv,
shap_plots_created_or_warned,PASS,figures created or warning recorded,6,Plot failure is not full task failure.
readme_created,PASS,README exists,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\README.md,
note_md_append_completed,PASS,note heading appended,found,
review_zip_includes_executed_notebook,PASS,executed notebook in zip,PUBLIC/notebooks/16_SHAP_candidate_interpretation_260520/16_four_model_SHAP_candidate_interpretation_260520_executed.ipynb,
review_zip_includes_core_csvs,PASS,core CSV files in zip,missing none,
review_zip_includes_note_md,PASS,note.md in zip,PUBLIC/note.md,
review_zip_includes_zip_inventory,PASS,zip inventory in zip,PUBLIC/handoff/PUBLIC_16_four_model_SHAP_candidate_interpretation_260520/PUBLIC_16_four_model_SHAP_candidate_interpretation_zip_inventory.csv,
helper_file_included_if_used,PASS,helper script in zip,PUBLIC/handoff/PUBLIC_16_four_model_SHAP_candidate_interpretation_260520/public_16_shap_candidate_interpretation_runner.py,
no_optuna_performed,PASS,no Optuna or hyperparameter search,No Optuna import or command in helper,
no_oof_regeneration_performed,PASS,no 15 OOF outputs modified,16 reads 15 OOF outputs only,
no_segmentation_performed,PASS,no segmentation outputs,Segmentation readiness only,
no_raw_source_modified,PASS,input/reference files unchanged,changed rows=0,
no_park_ingyeom_modified,PASS,no park.ingyeom writes,helper writes under PUBLIC only,
review_zip_created,PASS,review zip exists,PUBLIC\zip\PUBLIC_16_four_model_SHAP_candidate_interpretation_260520_review_package.zip,
zip_inventory_created,PASS,zip inventory exists,PUBLIC\handoff\PUBLIC_16_four_model_SHAP_candidate_interpretation_260520\PUBLIC_16_four_model_SHAP_candidate_interpretation_zip_inventory.csv,
shap_values_generated_for_available_models,PASS,SHAP values for available models,4,
feature_policy_all_pass,PASS,all feature policy PASS,PASS,
