relative_path,item_type,size_bytes,modified_time,top_level_area,inferred_role,notes
data,directory,,2026-05-20T16:34:45,data,data_directory,
data\06_model_input_promo_0.csv,file,5993802,2026-05-20T14:39:46,data,csv_artifact,
data\06_model_input_promo_1.csv,file,6397348,2026-05-20T14:39:47,data,csv_artifact,
data\_archive,directory,,2026-05-20T16:34:13,data,data_directory,
data\_archive\260520_input_lineage,directory,,2026-05-20T16:34:45,data,data_directory,
data\_archive\260520_input_lineage\06_expanded_dataset_log_retention.csv,file,12958570,2026-05-20T13:42:33,data,csv_artifact,
data\_archive\260520_input_lineage\06_expanded_dataset_promo_0_log_retention.csv,file,6269242,2026-05-20T13:42:33,data,csv_artifact,
data\_archive\260520_input_lineage\06_expanded_dataset_promo_1_log_retention.csv,file,6690807,2026-05-20T13:42:34,data,csv_artifact,
data\_archive\260520_input_lineage\06_log_retention_validation.csv,file,1092,2026-05-20T15:52:43,data,csv_artifact,
data\_archive\260520_input_lineage\260520_input_lineage_reason.md,file,455,2026-05-20T16:34:26,data,file,
data\_archive\260520_raw_reference,directory,,2026-05-20T16:34:45,data,data_directory,
data\_archive\260520_raw_reference\260520_raw_Membership_v2_with_derived_features.csv,file,13815967,2026-05-20T12:40:23,data,csv_artifact,
data\_archive\260520_raw_reference\260520_raw_reference_reason.md,file,428,2026-05-20T16:34:27,data,file,
handoff,directory,,2026-05-20T16:59:36,handoff,handoff_directory,
handoff\PUBLIC_11_12_emergency_model_restructure_260520,directory,,2026-05-20T17:02:23,handoff,handoff_directory,
handoff\PUBLIC_11_12_emergency_model_restructure_260520\run_public_11_12_restructure.py,file,35530,2026-05-20T17:02:23,handoff,file,
handoff\PUBLIC_lineage_snapshot_20260520_155450,directory,,2026-05-20T15:54:50,handoff,handoff_directory,
handoff\PUBLIC_lineage_snapshot_20260520_155450\PUBLIC_folder_summary_depth3.csv,file,4261,2026-05-20T15:54:50,handoff,csv_artifact,
handoff\PUBLIC_lineage_snapshot_20260520_155450\PUBLIC_inventory_full.csv,file,25357,2026-05-20T15:54:50,handoff,csv_artifact,
handoff\PUBLIC_lineage_snapshot_20260520_155450\PUBLIC_key_artifact_inventory.csv,file,12518,2026-05-20T15:54:50,handoff,csv_artifact,
handoff\PUBLIC_lineage_snapshot_20260520_155450\PUBLIC_note_copy.md,file,63374,2026-05-20T15:53:55,handoff,file,
handoff\PUBLIC_lineage_snapshot_20260520_155450\PUBLIC_notebook_inventory.csv,file,1972,2026-05-20T15:54:50,handoff,csv_artifact,
handoff\PUBLIC_lineage_snapshot_20260520_155450\PUBLIC_tree_full.txt,file,20244,2026-05-20T15:54:50,handoff,file,
handoff\PUBLIC_lineage_snapshot_20260520_155450\README.md,file,444,2026-05-20T15:54:50,handoff,readme,
handoff\PUBLIC_pipeline_realignment_260520,directory,,2026-05-20T15:53:04,handoff,handoff_directory,
handoff\PUBLIC_pipeline_realignment_260520\misnumbered_06_model_artifacts_audit.csv,file,5455,2026-05-20T15:53:56,handoff,csv_artifact,
handoff\PUBLIC_pipeline_realignment_260520\PUBLIC_06xy_notebook_relocation_260520.csv,file,433,2026-05-20T15:53:04,handoff,csv_artifact,
handoff\PUBLIC_pipeline_realignment_260520\PUBLIC_existing_inventory_before_realignment.csv,file,52404,2026-05-20T15:53:56,handoff,csv_artifact,
handoff\PUBLIC_pipeline_realignment_260520\PUBLIC_pipeline_realignment_final_checks.csv,file,2299,2026-05-20T15:53:04,handoff,csv_artifact,
handoff\PUBLIC_pipeline_realignment_260520\PUBLIC_pipeline_realignment_zip_inventory.csv,file,1510,2026-05-20T15:53:58,handoff,csv_artifact,
handoff\PUBLIC_pipeline_realignment_260520\PUBLIC_pipeline_stage_map_260520.csv,file,8841,2026-05-20T15:53:56,handoff,csv_artifact,
handoff\PUBLIC_pipeline_realignment_260520\README.md,file,2652,2026-05-20T15:53:56,handoff,readme,
handoff\PUBLIC_pipeline_realignment_260520\run_realignment_260520.py,file,32866,2026-05-20T15:53:56,handoff,file,
handoff\PUBLIC_structure_correction_2_260520,directory,,2026-05-20T16:08:10,handoff,handoff_directory,
handoff\PUBLIC_structure_correction_2_260520\PUBLIC_99_model_selections_manifest.csv,file,6582,2026-05-20T16:08:10,handoff,csv_artifact,
handoff\PUBLIC_structure_correction_2_260520\PUBLIC_inventory_before_correction2.csv,file,56072,2026-05-20T16:08:10,handoff,csv_artifact,
handoff\PUBLIC_structure_correction_2_260520\PUBLIC_results_model_reference_manifest.csv,file,3152,2026-05-20T16:08:10,handoff,csv_artifact,
handoff\PUBLIC_structure_correction_2_260520\PUBLIC_structure_correction_2_final_checks.csv,file,4056,2026-05-20T16:10:14,handoff,csv_artifact,
handoff\PUBLIC_structure_correction_2_260520\PUBLIC_structure_correction_2_zip_inventory.csv,file,1624,2026-05-20T16:10:14,handoff,csv_artifact,
handoff\PUBLIC_structure_correction_2_260520\README.md,file,6503,2026-05-20T16:10:14,handoff,readme,
note.md,file,80017,2026-05-20T16:17:16,note.md,project_note,
notebooks,directory,,2026-05-20T16:41:38,notebooks,notebook_directory,
notebooks\06_dataset_260520,directory,,2026-05-20T15:52:37,notebooks,notebook_directory,
notebooks\06_dataset_260520\06x_dataset_generation_260515.ipynb,file,49286,2026-05-20T13:33:51,notebooks,notebook,
notebooks\06_dataset_260520\06y_promo_split_260520.ipynb,file,18001,2026-05-20T13:34:11,notebooks,notebook,
notebooks\06_dataset_260520\README.md,file,2289,2026-05-20T16:08:10,notebooks,readme,
notebooks\07_feature_mapping_AARRR_260520,directory,,2026-05-20T15:26:44,notebooks,notebook_directory,
notebooks\07_feature_mapping_AARRR_260520\README.md,file,1351,2026-05-20T16:08:10,notebooks,readme,
notebooks\08_promotion_nonpromotion_EDA_260520,directory,,2026-05-20T15:26:44,notebooks,notebook_directory,
notebooks\08_promotion_nonpromotion_EDA_260520\README.md,file,1422,2026-05-20T16:08:10,notebooks,readme,
notebooks\09_promotion_repurchase_2x2_EDA_260520,directory,,2026-05-20T15:26:44,notebooks,notebook_directory,
notebooks\09_promotion_repurchase_2x2_EDA_260520\README.md,file,1422,2026-05-20T16:08:10,notebooks,readme,
notebooks\10_feature_distribution_redundancy_pre_audit_260520,directory,,2026-05-20T15:26:44,notebooks,notebook_directory,
notebooks\10_feature_distribution_redundancy_pre_audit_260520\README.md,file,1445,2026-05-20T16:08:10,notebooks,readme,
notebooks\11_baseline_growth_comparison_260520,directory,,2026-05-20T16:40:48,notebooks,notebook_directory,
notebooks\11_baseline_growth_comparison_260520\11_lr_baseline_promo0.ipynb,file,36581,2026-05-20T16:39:06,notebooks,notebook,
notebooks\11_baseline_growth_comparison_260520\11_lr_baseline_promo1.ipynb,file,36670,2026-05-20T16:39:06,notebooks,notebook,
notebooks\11_baseline_growth_comparison_260520\README.md,file,9865,2026-05-20T16:40:48,notebooks,readme,
notebooks\12_model_family_comparison_260520,directory,,2026-05-20T16:40:48,notebooks,notebook_directory,
notebooks\12_model_family_comparison_260520\12_gradientboosting_promo0.ipynb,file,49572,2026-05-20T16:39:06,notebooks,notebook,
notebooks\12_model_family_comparison_260520\12_gradientboosting_promo1.ipynb,file,49695,2026-05-20T16:39:06,notebooks,notebook,
notebooks\12_model_family_comparison_260520\README.md,file,9439,2026-05-20T16:40:48,notebooks,readme,
notebooks\14_candidate_tuning_260520,directory,,2026-05-20T15:26:44,notebooks,notebook_directory,
notebooks\14_candidate_tuning_260520\README.md,file,1390,2026-05-20T16:08:10,notebooks,readme,
notebooks\15_oof_score_or_sensitivity_260520,directory,,2026-05-20T15:26:44,notebooks,notebook_directory,
notebooks\15_oof_score_or_sensitivity_260520\README.md,file,1393,2026-05-20T16:08:10,notebooks,readme,
notebooks\16_SHAP_candidate_interpretation_260520,directory,,2026-05-20T15:26:44,notebooks,notebook_directory,
notebooks\16_SHAP_candidate_interpretation_260520\README.md,file,1355,2026-05-20T16:08:10,notebooks,readme,
notebooks\17_segmentation_design_260520,directory,,2026-05-20T15:26:44,notebooks,notebook_directory,
notebooks\17_segmentation_design_260520\README.md,file,1407,2026-05-20T16:08:10,notebooks,readme,
notebooks\18_business_recommendation_storyline_260520,directory,,2026-05-20T15:26:44,notebooks,notebook_directory,
notebooks\18_business_recommendation_storyline_260520\README.md,file,1475,2026-05-20T16:08:10,notebooks,readme,
notebooks\_archive,directory,,2026-05-20T15:52:37,notebooks,notebook_directory,
notebooks\_archive\misnumbered_06_model_notebooks_260520,directory,,2026-05-20T15:47:58,notebooks,notebook_directory,
README.md,file,807,2026-05-20T15:52:37,README.md,readme,
reports,directory,,2026-05-20T15:26:44,reports,directory,
reports\audits,directory,,2026-05-20T15:52:37,reports,directory,
reports\audits\06_dataset_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\audits\07_feature_mapping_AARRR_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\audits\10_feature_distribution_redundancy_pre_audit_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\business,directory,,2026-05-20T15:52:37,reports,directory,
reports\business\18_business_recommendation_storyline_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\eda,directory,,2026-05-20T15:52:37,reports,directory,
reports\eda\08_promotion_nonpromotion_EDA_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\eda\09_promotion_repurchase_2x2_EDA_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\figures,directory,,2026-05-20T15:52:37,reports,directory,
reports\figures\08_promotion_nonpromotion_EDA_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\figures\09_promotion_repurchase_2x2_EDA_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\figures\10_feature_distribution_redundancy_pre_audit_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\figures\11_baseline_growth_comparison_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\figures\12_model_family_comparison_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\figures\14_candidate_tuning_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\figures\16_SHAP_candidate_interpretation_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\figures\17_segmentation_design_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\figures\18_business_recommendation_storyline_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\interpretation,directory,,2026-05-20T15:52:37,reports,directory,
reports\interpretation\16_SHAP_candidate_interpretation_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\models,directory,,2026-05-20T15:52:37,reports,directory,
reports\models\11_baseline_growth_comparison_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\models\12_model_family_comparison_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\models\14_candidate_tuning_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\models\15_oof_score_or_sensitivity_260520,directory,,2026-05-20T15:26:44,reports,directory,
reports\segmentation,directory,,2026-05-20T15:52:37,reports,directory,
