feature_name,AARRR_stage_primary,feature_family,repurchase_mean,nonrepurchase_mean,mean_difference_repurchase_minus_nonrepurchase,repurchase_median,nonrepurchase_median,median_difference,repurchase_zero_rate,nonrepurchase_zero_rate,zero_rate_difference,simple_standardized_mean_difference,absolute_standardized_mean_difference,descriptive_effect_size_bucket,direction_interpretation,safe_claim,unsafe_claim,next_check_needed
watch_session_w3,retention,usage_observation,2.6286384976525823,0.7777777777777778,1.8508607198748046,2.0,0.0,2.0,0.2869718309859155,0.6312617702448211,-0.3442899392589056,0.7500986291124194,0.7500986291124194,large,repurchase rows have higher watch_session_w3 mean than nonrepurchase rows,"Within nonpromotion rows, watch_session_w3 has a descriptive target-separation bucket of large.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
watch_time(min)_w3,retention,usage_observation,121.92887323943663,23.42674199623352,98.50213124320311,70.0,0.0,70.0,0.2869718309859155,0.6312617702448211,-0.3442899392589056,0.7434059086896082,0.7434059086896082,large,repurchase rows have higher watch_time(min)_w3 mean than nonrepurchase rows,"Within nonpromotion rows, watch_time(min)_w3 has a descriptive target-separation bucket of large.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
is_only_w1,activation,usage_observation,0.04565727699530516,0.27984934086629004,-0.23419206387098487,0.0,0.0,0.0,0.9543427230046948,0.72015065913371,0.2341920638709848,-0.6688643867741991,0.6688643867741991,large,repurchase rows have lower is_only_w1 mean than nonrepurchase rows,"Within nonpromotion rows, is_only_w1 has a descriptive target-separation bucket of large.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
is_w1_over_50pct,activation,usage_observation,0.22136150234741783,0.5212806026365349,-0.29991910028911706,0.0,1.0,-1.0,0.7786384976525822,0.47871939736346514,0.29991910028911706,-0.6529073920253156,0.6529073920253156,large,repurchase rows have lower is_w1_over_50pct mean than nonrepurchase rows,"Within nonpromotion rows, is_w1_over_50pct has a descriptive target-separation bucket of large.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
avg_gap_w3_watch_days,retention,usage_observation,0.8001310647887324,0.21729441318267417,0.5828366516060582,0.0,0.0,0.0,0.6084507042253521,0.9020715630885122,-0.29362085886316014,0.5432113520993123,0.5432113520993123,large,repurchase rows have higher avg_gap_w3_watch_days mean than nonrepurchase rows,"Within nonpromotion rows, avg_gap_w3_watch_days has a descriptive target-separation bucket of large.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
watch_time(min)_w2,retention,usage_observation,113.58274647887323,46.387947269303204,67.19479920957002,50.0,1.0,49.0,0.33650234741784035,0.47909604519774013,-0.14259369777989978,0.5042875788643602,0.5042875788643602,large,repurchase rows have higher watch_time(min)_w2 mean than nonrepurchase rows,"Within nonpromotion rows, watch_time(min)_w2 has a descriptive target-separation bucket of large.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
diff_between_w3_w1,retention,retention_change,18.826173708920187,-66.1261770244821,84.95235073340228,0.0,-20.0,20.0,0.14342723004694835,0.16459510357815443,-0.021167873531206083,0.4443914059565071,0.4443914059565071,moderate,repurchase rows have higher diff_between_w3_w1 mean than nonrepurchase rows,"Within nonpromotion rows, diff_between_w3_w1 has a descriptive target-separation bucket of moderate.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
watch_session_w2,retention,usage_observation,2.481455399061033,1.3175141242937853,1.1639412747672477,2.0,1.0,1.0,0.33650234741784035,0.47909604519774013,-0.14259369777989978,0.4264872592382039,0.4264872592382039,moderate,repurchase rows have higher watch_session_w2 mean than nonrepurchase rows,"Within nonpromotion rows, watch_session_w2 has a descriptive target-separation bucket of moderate.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
is_w3_over_50pct,retention,usage_observation,0.3248826291079812,0.14990583804143126,0.17497679106654995,0.0,0.0,0.0,0.6751173708920187,0.8500941619585687,-0.17497679106654995,0.4201745690384266,0.4201745690384266,moderate,repurchase rows have higher is_w3_over_50pct mean than nonrepurchase rows,"Within nonpromotion rows, is_w3_over_50pct has a descriptive target-separation bucket of moderate.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
retention_w3_ratio,retention,retention_ratio,39.091485759859154,6.434166180414313,32.65731957944484,1.0,1.0,0.0,0.0,0.0,0.0,0.39270660636216587,0.39270660636216587,moderate,repurchase rows have higher retention_w3_ratio mean than nonrepurchase rows,"Within nonpromotion rows, retention_w3_ratio has a descriptive target-separation bucket of moderate.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
retention_w2_ratio,retention,retention_ratio,35.95114066420188,8.450284304331449,27.500856359870433,1.0,0.6375,0.36250000000000004,0.0,0.0,0.0,0.3660803567023025,0.3660803567023025,moderate,repurchase rows have higher retention_w2_ratio mean than nonrepurchase rows,"Within nonpromotion rows, retention_w2_ratio has a descriptive target-separation bucket of moderate.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
diff_between_w2_w1,retention,retention_change,10.480046948356808,-43.16497175141243,53.64501869976924,0.0,-3.0,3.0,0.15997652582159624,0.1694915254237288,-0.009514999602132562,0.3171132669501669,0.3171132669501669,moderate,repurchase rows have higher diff_between_w2_w1 mean than nonrepurchase rows,"Within nonpromotion rows, diff_between_w2_w1 has a descriptive target-separation bucket of moderate.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
avg_gap_w2_watch_days,retention,usage_observation,0.7123337241784037,0.39950408097928436,0.3128296431991193,0.0,0.0,0.0,0.6346244131455399,0.8033898305084746,-0.1687654173629347,0.28547342294532324,0.28547342294532324,moderate,repurchase rows have higher avg_gap_w2_watch_days mean than nonrepurchase rows,"Within nonpromotion rows, avg_gap_w2_watch_days has a descriptive target-separation bucket of moderate.",This feature caused repurchase or nonrepurchase.,Inspect distribution shape and stability in step 10 before any modeling use.
