no,column_name,presentation_label_ko,presentation_label_en,window,feature_family,interpretation_group,value_type,modeling_role,source_stage,source_table,used_in_any_feature_set,used_in_primary_model,used_in_stage07r_true_shap,shap_rank,mean_abs_shap,example_values_or_range,missing_rate,unique_count,calculation_logic,plain_interpretation,caution,target_adjacent_or_redundancy_flag,final_use_recommendation,do_not_claim
4,price,가격,price,common,membership,membership_context,numeric,feature,Stage 05,both modeling datasets,Y,Y,Y,4,0.1917705478724465,"min=7.69, median=100.0, max=16400.0",0.0,38,전처리된 Membership 구독 이벤트 테이블에서 온 가입/결제/상품 맥락 변수입니다.,"가입 상품, 가격, 인증, 결제 맥락을 나타냅니다.",가격/프로모션/상품 정책과 고객군 차이가 섞일 수 있습니다.,N,use,"Do not claim causality, independent effect, or guaranteed retention impact."
5,product_code,상품 코드,product code,common,membership,membership_context,categorical,feature,Stage 05,both modeling datasets,Y,Y,Y,32,0.0263251135982198,pk_1487:17566; pk_1488:6578; pk_2025:6066; pk_1489:5738; pk_1508:5698,0.0,60,전처리된 Membership 구독 이벤트 테이블에서 온 가입/결제/상품 맥락 변수입니다.,"가입 상품, 가격, 인증, 결제 맥락을 나타냅니다.",가격/프로모션/상품 정책과 고객군 차이가 섞일 수 있습니다.,N,use,"Do not claim causality, independent effect, or guaranteed retention impact."
6,max_screen,최대 동시 화면 수,max screen,common,membership,membership_context,numeric,feature,Stage 05,both modeling datasets,Y,Y,Y,22,0.065080936548259,"min=1.0, median=1.0, max=4.0",0.003091965069151381,4,전처리된 Membership 구독 이벤트 테이블에서 온 가입/결제/상품 맥락 변수입니다.,"가입 상품, 가격, 인증, 결제 맥락을 나타냅니다.","예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",N,use,"Do not claim causality, independent effect, or guaranteed retention impact."
7,is_promotion,프로모션 여부,is promotion,common,membership,membership_context,categorical,feature,Stage 05,both modeling datasets,Y,Y,Y,91,0.0,O:24330,0.4917060126185602,1,전처리된 Membership 구독 이벤트 테이블에서 온 가입/결제/상품 맥락 변수입니다.,"가입 상품, 가격, 인증, 결제 맥락을 나타냅니다.",가격/프로모션/상품 정책과 고객군 차이가 섞일 수 있습니다.,N,use,"Do not claim causality, independent effect, or guaranteed retention impact."
8,is_user_verified,사용자 인증 여부,is user verified,common,membership,membership_context,categorical,feature,Stage 05,both modeling datasets,Y,Y,Y,34,0.0253574520503835,Y:35500; N:10830,0.0320895834203819,2,전처리된 Membership 구독 이벤트 테이블에서 온 가입/결제/상품 맥락 변수입니다.,"가입 상품, 가격, 인증, 결제 맥락을 나타냅니다.","예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",N,use,"Do not claim causality, independent effect, or guaranteed retention impact."
9,gender,성별,gender,common,membership,membership_context,categorical,feature,Stage 05,both modeling datasets,Y,Y,Y,65,0.0039770598753019,F:25140; M:14768; N:7552,0.008482012284293653,3,전처리된 Membership 구독 이벤트 테이블에서 온 가입/결제/상품 맥락 변수입니다.,"가입 상품, 가격, 인증, 결제 맥락을 나타냅니다.","예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",N,use,"Do not claim causality, independent effect, or guaranteed retention impact."
10,age,나이,age,common,membership,membership_context,numeric,feature,Stage 05,both modeling datasets,Y,Y,Y,50,0.0077498121325049,"min=0.0, median=35.0, max=950.0",0.008482012284293653,21,전처리된 Membership 구독 이벤트 테이블에서 온 가입/결제/상품 맥락 변수입니다.,"가입 상품, 가격, 인증, 결제 맥락을 나타냅니다.","예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",N,use,"Do not claim causality, independent effect, or guaranteed retention impact."
11,payment_device,결제 기기,payment device,common,membership,membership_context,categorical,feature,Stage 05,both modeling datasets,Y,Y,Y,53,0.0071394568770738,android:22274; pc:9280; ios:8140; mobile:7362; lgtv:364,0.0,10,전처리된 Membership 구독 이벤트 테이블에서 온 가입/결제/상품 맥락 변수입니다.,"가입 상품, 가격, 인증, 결제 맥락을 나타냅니다.","예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",N,use,"Do not claim causality, independent effect, or guaranteed retention impact."
12,billing_method,결제 방식,billing method,common,membership,membership_context,numeric,feature,Stage 05,both modeling datasets,Y,Y,Y,73,0.0012436690402955,"min=121, median=140.0, max=190",0.0,10,전처리된 Membership 구독 이벤트 테이블에서 온 가입/결제/상품 맥락 변수입니다.,"가입 상품, 가격, 인증, 결제 맥락을 나타냅니다.","예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",N,use,"Do not claim causality, independent effect, or guaranteed retention impact."
13,is_churn_prevented,이탈 방지 여부 후보,is churn prevented,common,membership,membership_context,categorical,feature,Stage 05,both modeling datasets,Y,N,N,,,O:8598,0.8203735428070029,1,전처리된 Membership 구독 이벤트 테이블에서 온 가입/결제/상품 맥락 변수입니다.,"가입 상품, 가격, 인증, 결제 맥락을 나타냅니다.",정책/결과 인접 가능성이 있어 with/without feature set을 분리했습니다.,Y,use_with_caution,"Do not claim causality, independent effect, or guaranteed retention impact."
