interpretation_group,feature_count,features,recommended_presentation_style,why_group,example_claim,do_not_claim
coverage_missing_proxy,8,w1_3_genre_covered_watch_time|w1_3_genre_missing_watch_time|w1_3_genre_covered_watch_ratio|w1_3_genre_missing_watch_ratio|w1_4_genre_covered_watch_time|w1_4_genre_missing_watch_time|w1_4_genre_covered_watch_ratio|w1_4_genre_missing_watch_ratio,묶어서 설명,상관 또는 구조적 중복 가능성이 있어 개별 변수 효과처럼 해석하면 위험합니다.,coverage_missing_proxy 변수군은 모델이 활용한 설명 신호입니다.,개별 변수가 독립적으로 이탈 원인이라고 말하지 않습니다.
genre_preference_ratio,28,w1_3_top_genre|w1_3_top_genre_watch_time|w1_3_top_genre_watch_ratio|w1_3_genre_entropy|w1_3_genre_ratio_drama|w1_3_genre_ratio_thriller_crime|w1_3_genre_ratio_sf_fantasy|w1_3_genre_ratio_action_adventure|w1_3_genre_ratio_animation_family|w1_3_genre_ratio_romance|w1_3_genre_ratio_comedy|w1_3_genre_ratio_historical_war|w1_3_genre_ratio_horror|w1_3_genre_ratio_other|w1_4_top_genre|w1_4_top_genre_watch_time|w1_4_top_genre_watch_ratio|w1_4_genre_entropy|w1_4_genre_ratio_drama|w1_4_genre_ratio_thriller_crime|w1_4_genre_ratio_sf_fantasy|w1_4_genre_ratio_action_adventure|w1_4_genre_ratio_animation_family|w1_4_genre_ratio_romance|w1_4_genre_ratio_comedy|w1_4_genre_ratio_historical_war|w1_4_genre_ratio_horror|w1_4_genre_ratio_other,묶어서 설명,상관 또는 구조적 중복 가능성이 있어 개별 변수 효과처럼 해석하면 위험합니다.,genre_preference_ratio 변수군은 모델이 활용한 설명 신호입니다.,개별 변수가 독립적으로 이탈 원인이라고 말하지 않습니다.
genre_volume_proxy,40,w1_3_genre_watch_time_drama|w1_3_genre_session_count_drama|w1_3_genre_watch_time_thriller_crime|w1_3_genre_session_count_thriller_crime|w1_3_genre_watch_time_sf_fantasy|w1_3_genre_session_count_sf_fantasy|w1_3_genre_watch_time_action_adventure|w1_3_genre_session_count_action_adventure|w1_3_genre_watch_time_animation_family|w1_3_genre_session_count_animation_family|w1_3_genre_watch_time_romance|w1_3_genre_session_count_romance|w1_3_genre_watch_time_comedy|w1_3_genre_session_count_comedy|w1_3_genre_watch_time_historical_war|w1_3_genre_session_count_historical_war|w1_3_genre_watch_time_horror|w1_3_genre_session_count_horror|w1_3_genre_watch_time_other|w1_3_genre_session_count_other|w1_4_genre_watch_time_drama|w1_4_genre_session_count_drama|w1_4_genre_watch_time_thriller_crime|w1_4_genre_session_count_thriller_crime|w1_4_genre_watch_time_sf_fantasy|w1_4_genre_session_count_sf_fantasy|w1_4_genre_watch_time_action_adventure|w1_4_genre_session_count_action_adventure|w1_4_genre_watch_time_animation_family|w1_4_genre_session_count_animation_family|w1_4_genre_watch_time_romance|w1_4_genre_session_count_romance|w1_4_genre_watch_time_comedy|w1_4_genre_session_count_comedy|w1_4_genre_watch_time_historical_war|w1_4_genre_session_count_historical_war|w1_4_genre_watch_time_horror|w1_4_genre_session_count_horror|w1_4_genre_watch_time_other|w1_4_genre_session_count_other,묶어서 설명,상관 또는 구조적 중복 가능성이 있어 개별 변수 효과처럼 해석하면 위험합니다.,genre_volume_proxy 변수군은 모델이 활용한 설명 신호입니다.,개별 변수가 독립적으로 이탈 원인이라고 말하지 않습니다.
membership_context,10,price|product_code|max_screen|is_promotion|is_user_verified|gender|age|payment_device|billing_method|is_churn_prevented,묶어서 설명,멤버십 맥락 변수군으로 함께 설명합니다.,membership_context 변수군은 모델이 활용한 설명 신호입니다.,개별 변수가 독립적으로 이탈 원인이라고 말하지 않습니다.
other,4,w1_3_active_span_days|w1_3_genre_unique_count|w1_4_active_span_days|w1_4_genre_unique_count,묶어서 설명,상관 또는 구조적 중복 가능성이 있어 개별 변수 효과처럼 해석하면 위험합니다.,other 변수군은 모델이 활용한 설명 신호입니다.,개별 변수가 독립적으로 이탈 원인이라고 말하지 않습니다.
release_month_proxy,6,w1_3_avg_ott_release_month_weighted|w1_3_recent_content_watch_ratio|w1_3_old_content_watch_ratio|w1_4_avg_ott_release_month_weighted|w1_4_recent_content_watch_ratio|w1_4_old_content_watch_ratio,묶어서 설명,상관 또는 구조적 중복 가능성이 있어 개별 변수 효과처럼 해석하면 위험합니다.,release_month_proxy 변수군은 모델이 활용한 설명 신호입니다.,개별 변수가 독립적으로 이탈 원인이라고 말하지 않습니다.
session_intensity,8,w1_3_avg_watch_time_per_session|w1_3_sessions_per_active_day|w1_3_max_daily_watch_time|w1_3_max_day_share|w1_4_avg_watch_time_per_session|w1_4_sessions_per_active_day|w1_4_max_daily_watch_time|w1_4_max_day_share,묶어서 설명,상관 또는 구조적 중복 가능성이 있어 개별 변수 효과처럼 해석하면 위험합니다.,session_intensity 변수군은 모델이 활용한 설명 신호입니다.,개별 변수가 독립적으로 이탈 원인이라고 말하지 않습니다.
short_watch_behavior,6,w1_3_one_minute_watch_count|w1_3_short_watch_count_le5|w1_3_short_watch_time_le5|w1_4_one_minute_watch_count|w1_4_short_watch_count_le5|w1_4_short_watch_time_le5,묶어서 설명,상관 또는 구조적 중복 가능성이 있어 개별 변수 효과처럼 해석하면 위험합니다.,short_watch_behavior 변수군은 모델이 활용한 설명 신호입니다.,개별 변수가 독립적으로 이탈 원인이라고 말하지 않습니다.
usage_volume,8,w1_3_total_watch_time|w1_3_total_sessions|w1_3_unique_contents|w1_3_unique_watch_days|w1_4_total_watch_time|w1_4_total_sessions|w1_4_unique_contents|w1_4_unique_watch_days,묶어서 설명,상관 또는 구조적 중복 가능성이 있어 개별 변수 효과처럼 해석하면 위험합니다.,usage_volume 변수군은 모델이 활용한 설명 신호입니다.,개별 변수가 독립적으로 이탈 원인이라고 말하지 않습니다.
watch_presence,6,w1_3_has_watch_obs|w1_3_no_watch_obs_flag|w1_3_content_has_watch_obs|w1_4_has_watch_obs|w1_4_no_watch_obs_flag|w1_4_content_has_watch_obs,묶어서 설명,상관 또는 구조적 중복 가능성이 있어 개별 변수 효과처럼 해석하면 위험합니다.,watch_presence 변수군은 모델이 활용한 설명 신호입니다.,개별 변수가 독립적으로 이탈 원인이라고 말하지 않습니다.
watch_timing_rel_day,4,w1_3_first_watch_rel_day|w1_3_last_watch_rel_day|w1_4_first_watch_rel_day|w1_4_last_watch_rel_day,묶어서 설명,상관 또는 구조적 중복 가능성이 있어 개별 변수 효과처럼 해석하면 위험합니다.,watch_timing_rel_day 변수군은 모델이 활용한 설명 신호입니다.,개별 변수가 독립적으로 이탈 원인이라고 말하지 않습니다.
week_to_week_delta,6,w1_3_w2_minus_w1_watch_time|w1_3_w3_minus_w1_watch_time|w1_4_w2_minus_w1_watch_time|w1_4_w3_minus_w1_watch_time|w1_4_w4_minus_w1_watch_time|w1_4_w4_minus_w3_watch_time,묶어서 설명,상관 또는 구조적 중복 가능성이 있어 개별 변수 효과처럼 해석하면 위험합니다.,week_to_week_delta 변수군은 모델이 활용한 설명 신호입니다.,개별 변수가 독립적으로 이탈 원인이라고 말하지 않습니다.
weekly_ratio,9,w1_3_week1_ratio|w1_3_week2_ratio|w1_3_week3_ratio|w1_3_release_month_covered_watch_ratio|w1_4_week1_ratio|w1_4_week2_ratio|w1_4_week3_ratio|w1_4_week4_ratio|w1_4_release_month_covered_watch_ratio,묶어서 설명,상관 또는 구조적 중복 가능성이 있어 개별 변수 효과처럼 해석하면 위험합니다.,weekly_ratio 변수군은 모델이 활용한 설명 신호입니다.,개별 변수가 독립적으로 이탈 원인이라고 말하지 않습니다.
weekly_sessions,7,w1_3_week1_sessions|w1_3_week2_sessions|w1_3_week3_sessions|w1_4_week1_sessions|w1_4_week2_sessions|w1_4_week3_sessions|w1_4_week4_sessions,묶어서 설명,상관 또는 구조적 중복 가능성이 있어 개별 변수 효과처럼 해석하면 위험합니다.,weekly_sessions 변수군은 모델이 활용한 설명 신호입니다.,개별 변수가 독립적으로 이탈 원인이라고 말하지 않습니다.
weekly_watch_time,7,w1_3_week1_watch_time|w1_3_week2_watch_time|w1_3_week3_watch_time|w1_4_week1_watch_time|w1_4_week2_watch_time|w1_4_week3_watch_time|w1_4_week4_watch_time,묶어서 설명,상관 또는 구조적 중복 가능성이 있어 개별 변수 효과처럼 해석하면 위험합니다.,weekly_watch_time 변수군은 모델이 활용한 설명 신호입니다.,개별 변수가 독립적으로 이탈 원인이라고 말하지 않습니다.
