membership_row_id,USER_KEY,is_repurchase,target_repurchase,repurchase_score,churn_risk_score,sample_role
2,4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef4594ee72306b661c43d19086f82f85f02bbb5716280f52bb7f0fde823a0656a830a0e6e41f,N,0,0.13529036578931697,0.864709634210683,true_shap_primary_holdout_sample
4,d2f2278c38ea110d35afb55fa20ccf96d735e1254c1fd40b7d236216701246044bf1e2d6efb1a7b6024230cb6d821e4ad21718d3e20a9695ce38937d843f7414,Y,1,0.8984577916107955,0.10154220838920447,true_shap_primary_holdout_sample
11,2c9e3f9186e5dcd624c026c3a72b3070a03822476c6d1cda79011eef7f24984086499953089c683718de94514256a79bd70dfb8ab81ba94f1ab893070b280aff,Y,1,0.9820244982415508,0.017975501758449197,true_shap_primary_holdout_sample
13,0cdfedd59da0d83ad70c0083b12865f0cd414ac189f27872ca1ff6bb0764565318f0081e4a3c91c0d1c7be024ce86b6953e3dc98022567288746009745fc34aa,Y,1,0.45648317129596994,0.5435168287040301,true_shap_primary_holdout_sample
30,2bff782c4dbe0aca845d2d9446f8ba48b59b10145e019f89abbf63462d1ab1b1740b97de6d842b2a91dd8006f7407733de3933cc1c23ed270b20333920f9edd0,N,0,0.19022637378132848,0.8097736262186715,true_shap_primary_holdout_sample
38,54175736d7329ec748fa16d244827714a36cab9941d37903ac2f898f9a6d71b1cde808b211e884c837cf8ecd3a0b1c927b4e9fcbbd754445d4849340003d20cc,N,0,0.40201166932845145,0.5979883306715486,true_shap_primary_holdout_sample
53,be1409957fae7ab50ed9241829bdfd6a89a838714f60b64619fbd5a7d7036b8d3417653d6ae1f4de2259045125dfbd6a30b6a1ac3904ac5739b3f47de1311ba4,Y,1,0.5463061600252778,0.45369383997472224,true_shap_primary_holdout_sample
54,c494c7c9bdec198be2723c4fd300084e8edb2bb32932731b449106cb4171a41920a05f23e4a92c44d5ecc5adf5f4dd6defa9a8203ea7bdbff8d2a63134fa86bf,N,0,0.6700147184737384,0.3299852815262616,true_shap_primary_holdout_sample
123,50ab814f4ed1779d6695a1c25bcbe8de8efae7bceb5bab853acfcd5308e01ca5b89a5a33535abe2884f47913556241456cdd5a7bacdbaa0653bb8aa8f39dda2d,N,0,0.8084402265199827,0.1915597734800173,true_shap_primary_holdout_sample
143,2697fe2a7799a58d07c2001c7e3bd7ef31bbfcd6dc9d6dfafa15b591a97831d685d3bb6ccfc6beff2370173fec9d4d344c5051e3a37f8f0030501efcc318c897,N,0,0.20448388587979666,0.7955161141202034,true_shap_primary_holdout_sample
145,076f6278c207ac0a9717ca3dbb656fb41975c3b5a98fbd905af6f3caea72017649979cffa7d94bd6f5adb302d5e4abf40f5809ed0b93a58323bc044018b959f6,N,0,0.9794310321231253,0.020568967876874678,true_shap_primary_holdout_sample
146,489089df04cffa0bdee0ef3d59eb349da5b6bf8b06b5ebdd29045873518a24b3a719ddb22e6e55365dc49b59e8274862abd785a1f83fb679d0b28189bd9b9505,Y,1,0.8929376840482658,0.10706231595173421,true_shap_primary_holdout_sample
161,0e5f2d3c3fd319d6d721106a5fded2d87d8d276e13d9a6c789d7834f3fe26280ab7157997ec3d80ca5972b77edcc8d47e920702f165f189c01c226162e86268a,N,0,0.34535848285359266,0.6546415171464073,true_shap_primary_holdout_sample
170,6f1a8947da0f5a9913f22813ec66d492291eedaaa0c418f04652d44e835d0d88999c30456f142bc6adbfa34f98334dd7f69b7f65b61ea44cfd5f1aba14bd50d9,Y,1,0.9244019804226271,0.07559801957737289,true_shap_primary_holdout_sample
185,6a37e15545e9533a200135a89b4a82af8b65ae907622d1f75a08122acc8ec9ffa8348ab636d53639c3afbb7d6aa1bbceebe0057e5f8f2eb5db246cd1be1e39a9,Y,1,0.9813881498670753,0.018611850132924657,true_shap_primary_holdout_sample
201,1aa63129628d64f3c8aabb427b62e6f9e11bafef6d0d4b547e87847685831ea4a5422532fd05edc43844b763f2d8d7a4384fe329a3449acc5fdf82e1ca54aa9f,N,0,0.7150496924353572,0.2849503075646428,true_shap_primary_holdout_sample
218,7779e8eb5539b84ca126d3409df51ce8e2435bf23095b9018852d84248ad10f4470d6bde0d5abffa3c5db833bece40967d7f1bde873bc9c155e03335b1ffbb12,Y,1,0.7282133294631493,0.2717866705368507,true_shap_primary_holdout_sample
226,ddeae98e77f826e2a521b2ad2e9be5e5412989af30ff7138d364caf4b8f59f06127794126e25d3a217c49dea618d91178530237fa0e0698cdbf9fd0004cdc7d6,Y,1,0.9386086773377808,0.06139132266221925,true_shap_primary_holdout_sample
257,4d0d027bca1a302a45a03bf0be15bfe6e1e3da0305f921a279bb10618d926ae4a638cb0fd4923ef66c49588547072fb232f2c35a3834495494850cee3c237851,Y,1,0.490810379658613,0.509189620341387,true_shap_primary_holdout_sample
262,2c4af42e31bf7bd8ab9a6bc435a3c8dd4895ca4bdd2c449dfd2127fac72493723f0c4823e63d037dfe20ddbdcab7946049cdcea45eea78327a65b63eb0c030e1,Y,1,0.760151821521051,0.23984817847894901,true_shap_primary_holdout_sample
281,1efc80d053b0d267ba7e14c60bbc1cdbbcfafbc41799691020a14106d55872663c39b0ac8fff0b501dc849ed139f916bb74681804146659740dc3e7e564c6b30,Y,1,0.9832215771651308,0.01677842283486919,true_shap_primary_holdout_sample
284,72e04462ef8120009ce3553bac081f54b874d242cf911e0a9d9349022e65750e91ee8a57ec6f183d746974e70e10de13287716b497b0037e52e830cdd022a6eb,N,0,0.5291579956086442,0.4708420043913558,true_shap_primary_holdout_sample
286,296cc376f5950c654f1d06a2bf33eef8eaa1df676343b04c9aa11fd654bdcd11f3d08e58bd7fc169617d47ff01bfa2c61c641af74117bde3590c10d654be5708,Y,1,0.5976302281983872,0.4023697718016128,true_shap_primary_holdout_sample
291,7f5914849f0bd171475c6283afcfefcd8be75edc04e49ae958e5aabf9a6fa8157c5e424268a965d8aa5fa77ac9181c1559317aa8aac8330c0d4b97141bd0c1e7,N,0,0.47060217290901507,0.5293978270909849,true_shap_primary_holdout_sample
294,039ec6c89a1bc57826bd5275fdb4fa6fc7aa47559d3d0ab34ba3877ec8d7b2357f66ce0aed1974cf2cbfd45de3863cf0dc7e8a39f4c27b2baa642d260f426b80,Y,1,0.9567464285168047,0.04325357148319531,true_shap_primary_holdout_sample
301,a5302ad73ec296a59734c66a23f28059581054685dc43c725b6cede83b61c586490315c454a7903e08277f5a26b257ec8bb7fe43a2c59708f7be00fac83a53cd,Y,1,0.47578955636797193,0.5242104436320281,true_shap_primary_holdout_sample
338,40cf1a3d308652ea92631294298da54bee60690c79672797a7c8074e12d83063646170166d6a254ddf3b9a2ff48a9ed9d9d4c7c75e17c46057cff86d474cbe45,Y,1,0.5383912780035408,0.4616087219964592,true_shap_primary_holdout_sample
