zip_file,included_file,source_path,size_bytes,sha256,status
park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip,01_park_segment_rule_detail.csv,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\01_park_segment_rule_detail.csv,2587,756eccb3693da5fba2955dbc41db416fbeb328f739c420e6f891c24de3fc5dc6,included
park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip,02_park_segment_promo_distribution.csv,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\02_park_segment_promo_distribution.csv,1982,2b4a1dd1e970cb6b40e7d0d7884caefb738106ca9a3b5c4ffb8997697aadba39,included
park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip,03_park_segment_promo_lift.csv,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\03_park_segment_promo_lift.csv,2053,55ce0e488bcb3ef8c1b6026152dc46178a89653a24dfa90c259ee6edc88e1ac9,included
park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip,04_general_observation_decomposition_audit.csv,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\04_general_observation_decomposition_audit.csv,9351,b682c26661d6e6dbc74f604f76bb2dd508ddf29b14193ad4afe9adb271cf07a3,included
park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip,05_content_preference_target_candidate_validity_audit.csv,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\05_content_preference_target_candidate_validity_audit.csv,1865,22199b9eb475aa5dae22020164c33be3813ee9ca1277fe44683d72d85b0fc688,included
park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip,06_segmentation_strategy_comparison.csv,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\06_segmentation_strategy_comparison.csv,2140,1b5ac733cc9be5372d35b6962c6dd8d046b2f579db27aeb67353948bc27ab61a,included
park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip,07_promo_aware_label_proposal.csv,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\07_promo_aware_label_proposal.csv,3077,b5721eb4f4dda26e875829851d188b0f626dc9f496be67878c9106f82bdb466e,included
park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip,08_PUBLIC_segment_importability_audit.csv,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\08_PUBLIC_segment_importability_audit.csv,6328,72b12fcc720f541dad0b884c5f7e0058de8f3602246a7ce234e1b3eb78f9c95e,included
park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip,09_campaign_targeting_language_audit.csv,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\09_campaign_targeting_language_audit.csv,1642,fce32ed0270f57a893af4342515505927830d27b70b91e5512610b113d8e0e3a,included
park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip,10_final_score_source_decision_audit.csv,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\10_final_score_source_decision_audit.csv,4165,089bc12480772bcab52d0176f3d03a8eec41c9d1903531987fe987ce63106aaa,included
park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip,11_segmentation_promo_integration_recommendation.md,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\11_segmentation_promo_integration_recommendation.md,3436,c8221e8416eecd4ddcb0914bab0222a1bcaa8ecf2d97eceffb9c56cefb13d2dc,included
park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip,README.md,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\README.md,7736,7520cc54d925146d99e342a81846d773cbf299062083c86c3801fc07507a83a1,included
park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip,12_final_checks.csv,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\12_final_checks.csv,1140,0d43a2819a3d1ba26656bd9e521d6f477075054b5152f5218fd4a15075d2173f,included
park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip,13_source_fingerprint_before_after.csv,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\13_source_fingerprint_before_after.csv,13578,b6e34832aa40f492678f0efd6f9e07c02b0fa63270eed090f9c0d1f4937f1d74,included
park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip,14_review_zip_inventory.csv,park.ingyeom\reports\audits\17x_segmentation_promo_integration_audit_260521\14_review_zip_inventory.csv,4533,cefd1e049a51b07425b4aa237cfb79bb967cfb1bb66cf3e870d6b288292d94c8,included
