check_item,status,evidence
park segment rule detail created,PASS,generated by read-only audit script
park promo distribution created,PASS,generated by read-only audit script
general observation decomposition created,PASS,generated by read-only audit script
content preference validity audit created,PASS,generated by read-only audit script
strategy comparison created,PASS,generated by read-only audit script
promo-aware label proposal created,PASS,generated by read-only audit script
PUBLIC importability audit created,PASS,generated by read-only audit script
score source audit created,PASS,generated by read-only audit script
final recommendation memo created,PASS,generated by read-only audit script
README created,PASS,generated by read-only audit script
no source CSV modified,PASS,generated by read-only audit script
no notebook modified,PASS,generated by read-only audit script
no model rerun,PASS,generated by read-only audit script
no SHAP rerun,PASS,generated by read-only audit script
no segmentation rerun,PASS,generated by read-only audit script
review zip created,PASS,park.ingyeom\zip\17x_segmentation_promo_integration_audit_260521_review_package.zip
