source_file,exists,size_bytes_before,sha256_before,mtime_before,size_bytes_after,sha256_after,mtime_after,changed,read_status
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_rules.csv,True,1474,7643503994d9ac3b3c75231c3b83a986a6790eb5a785eca650c1053c8a2903a5,2026-05-19T19:11:53,1474,7643503994d9ac3b3c75231c3b83a986a6790eb5a785eca650c1053c8a2903a5,2026-05-19T19:11:53,False,read
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_representative_segment_assignment.csv,True,6879330,4235b44b966cb324978352d0b8b480b2f9597e3d9ab058a431d3297af9ab3f62,2026-05-19T19:11:53,6879330,4235b44b966cb324978352d0b8b480b2f9597e3d9ab058a431d3297af9ab3f62,2026-05-19T19:11:53,False,read
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segment_summary.csv,True,2467,6fcf17ac37925a04a7f143cbae3062ee12bf0e701f788d0d638754bf0e174125,2026-05-19T19:11:53,2467,6fcf17ac37925a04a7f143cbae3062ee12bf0e701f788d0d638754bf0e174125,2026-05-19T19:11:53,False,read
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_definitions.csv,True,2788,5daa58acac5f8917cbfb20f594e661ff5504f893df8dbc8dac284fcc8b3f1c3b,2026-05-19T19:11:53,2788,5daa58acac5f8917cbfb20f594e661ff5504f893df8dbc8dac284fcc8b3f1c3b,2026-05-19T19:11:53,False,read
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_internal_multiflag_assignment.csv,True,3866514,a58fde3397676bb71d2bdc9dc81b8607a30adc53fc65939c3ba76d5060427576,2026-05-19T19:11:53,3866514,a58fde3397676bb71d2bdc9dc81b8607a30adc53fc65939c3ba76d5060427576,2026-05-19T19:11:53,False,read
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segment_feature_profile.csv,True,13221,3acbdd194ce2d6caba2acd32785411fba5e899d20883b5020a8a61b4e59bb2cb,2026-05-19T19:11:53,13221,3acbdd194ce2d6caba2acd32785411fba5e899d20883b5020a8a61b4e59bb2cb,2026-05-19T19:11:53,False,read
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segment_SHAP_evidence_link.csv,True,23563,1babc89f3be5e647e74cc8b29370f341e1b9ada0e6445427cda8400e0f6def45,2026-05-19T19:11:53,23563,1babc89f3be5e647e74cc8b29370f341e1b9ada0e6445427cda8400e0f6def45,2026-05-19T19:11:53,False,read
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_proxy_artifact_audit.csv,True,4687,0936870f0c79256c85fd2de44897711eb1390b6ac62a7741b652e74f16c0f262,2026-05-19T19:11:53,4687,0936870f0c79256c85fd2de44897711eb1390b6ac62a7741b652e74f16c0f262,2026-05-19T19:11:53,False,read
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_business_action_candidates.csv,True,1019,6d90043e8f97bb2b5a492e959fe454edc4429cec182d0b20efdf614148669277,2026-05-19T19:11:53,1019,6d90043e8f97bb2b5a492e959fe454edc4429cec182d0b20efdf614148669277,2026-05-19T19:11:53,False,read
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_dashboard_handoff_datamart.csv,True,11788930,05857033718afb17c49b1e2d1138e2dad5f4e1e91980c8ba70d5ef9f5febfaa3,2026-05-19T19:11:53,11788930,05857033718afb17c49b1e2d1138e2dad5f4e1e91980c8ba70d5ef9f5febfaa3,2026-05-19T19:11:53,False,read
park.ingyeom\reports\segments\17x_segmentation_design_260516\README.md,True,1391,8852c27b1b174c6751fcc2ab59f696159667ed6fc1f15eaf29d8a1766b428332,2026-05-19T19:11:53,1391,8852c27b1b174c6751fcc2ab59f696159667ed6fc1f15eaf29d8a1766b428332,2026-05-19T19:11:53,False,read
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_segmentation_base_datamart.csv,True,8805920,0554f0eda743c525ecf8edd777afe04e0d15318b60dd6a3959b3a06f826a88cd,2026-05-19T19:11:53,8805920,0554f0eda743c525ecf8edd777afe04e0d15318b60dd6a3959b3a06f826a88cd,2026-05-19T19:11:53,False,read
park.ingyeom\reports\segments\17x_segmentation_design_260516\17x_score_source_selection.csv,True,1909,43351609814c1529d6930fcc2f51e9dbb50900ce08c35e5e0a7fb7902804a95b,2026-05-19T19:11:53,1909,43351609814c1529d6930fcc2f51e9dbb50900ce08c35e5e0a7fb7902804a95b,2026-05-19T19:11:53,False,read
park.ingyeom\note.md,True,205613,a59a63ed79c2b7c2e055ee64853d8cee1fea272b46c3dc1fc5cac6ad5afa1564,2026-05-19T19:11:52,205613,a59a63ed79c2b7c2e055ee64853d8cee1fea272b46c3dc1fc5cac6ad5afa1564,2026-05-19T19:11:52,False,read
park.ingyeom\reports\segments\17x_segmentation_design_260516\note_tail_copy.md,True,19873,939149c12624116a6c6a066b065621521c4227e74e1ab23873d0ce443286b801,2026-05-19T19:11:53,19873,939149c12624116a6c6a066b065621521c4227e74e1ab23873d0ce443286b801,2026-05-19T19:11:53,False,read
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_representative_segment_proposal.csv,True,6077,058b9e501299c6192288f43aba8083d75aa1b0eee83b5755d4994cb21f95df38,2026-05-21T15:09:20,6077,058b9e501299c6192288f43aba8083d75aa1b0eee83b5755d4994cb21f95df38,2026-05-21T15:09:20,False,read
PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_segment_assignment_simulation.csv,True,6056881,852b8ef893f22cb78709cd46de7d467de6b1c77b50ab559c39886504b51b1e4b,2026-05-21T15:09:20,6056881,852b8ef893f22cb78709cd46de7d467de6b1c77b50ab559c39886504b51b1e4b,2026-05-21T15:09:20,False,read
