decomposition_axis,subgroup_value,rows,share_within_general_observation,repurchase_rate,churn_rate,mean_churn_risk,promo1_share,top_behavior_signal,possible_subsegment_candidate,recommendation
promo0/promo1,promo0,3899,0.49379432624113473,0.8725314183123878,0.12746858168761221,0.1454053495920612,0.0,flag_retention_stable=0.556,weak_or_residual,keep inside residual unless presentation needs a simple context split
promo0/promo1,promo1,3997,0.5062056737588653,0.8093570177633225,0.19064298223667753,0.19176445783287155,1.0,flag_retention_stable=0.631,weak_or_residual,keep inside residual unless presentation needs a simple context split
churn_risk_decile,D1,790,0.10005065856129686,0.9936708860759493,0.006329113924050667,0.012514048603754957,0.30886075949367087,flag_retention_decay=1.000,weak_or_residual,keep inside residual unless presentation needs a simple context split
churn_risk_decile,D10,790,0.10005065856129686,0.5253164556962026,0.47468354430379744,0.4895634317334438,0.6430379746835443,flag_retention_stable=1.000,yes_review,review as possible subsegment
churn_risk_decile,D2,790,0.10005065856129686,0.9898734177215189,0.010126582278481067,0.028991194220379962,0.43924050632911393,flag_retention_decay=0.737,weak_or_residual,keep inside residual unless presentation needs a simple context split
churn_risk_decile,D3,789,0.09992401215805471,0.9809885931558935,0.019011406844106515,0.043531302054570425,0.5183776932826363,flag_cold_start_weak=0.554,weak_or_residual,keep inside residual unless presentation needs a simple context split
churn_risk_decile,D4,790,0.10005065856129686,0.9556962025316456,0.044303797468354444,0.06270346566791195,0.4810126582278481,flag_cold_start_weak=0.563,weak_or_residual,keep inside residual unless presentation needs a simple context split
churn_risk_decile,D5,789,0.09992401215805471,0.9214195183776933,0.07858048162230669,0.09012705029594051,0.5019011406844106,flag_cold_start_weak=0.569,weak_or_residual,keep inside residual unless presentation needs a simple context split
churn_risk_decile,D6,790,0.10005065856129686,0.8734177215189873,0.12658227848101267,0.12989458708513874,0.5924050632911393,flag_cold_start_weak=0.580,weak_or_residual,keep inside residual unless presentation needs a simple context split
churn_risk_decile,D7,789,0.09992401215805471,0.7959442332065906,0.20405576679340942,0.19958480977849175,0.4714828897338403,flag_retention_stable=0.828,weak_or_residual,keep inside residual unless presentation needs a simple context split
churn_risk_decile,D8,790,0.10005065856129686,0.7417721518987341,0.25822784810126587,0.27073767737389975,0.3430379746835443,flag_retention_stable=1.000,weak_or_residual,keep inside residual unless presentation needs a simple context split
churn_risk_decile,D9,789,0.09992401215805471,0.6273764258555133,0.37262357414448666,0.36110223244217116,0.7629911280101395,flag_retention_stable=1.000,weak_or_residual,keep inside residual unless presentation needs a simple context split
week3 usage/inactive/drop,retention_decay,720,0.0911854103343465,0.9708333333333333,0.029166666666666674,0.04235374158188673,0.46805555555555556,flag_retention_decay=1.000,weak_or_residual,keep inside residual unless presentation needs a simple context split
week3 usage/inactive/drop,week3_drop,1636,0.207193515704154,0.9339853300733496,0.0660146699266504,0.07584539043584416,0.4883863080684597,flag_week3_drop=1.000,weak_or_residual,keep inside residual unless presentation needs a simple context split
week3 usage/inactive/drop,week3_inactive,2791,0.35347011144883483,0.7638839125761376,0.23611608742386236,0.2454652648477859,0.4700824077391616,flag_week3_inactive=1.000,weak_or_residual,keep inside residual unless presentation needs a simple context split
week3 usage/inactive/drop,week3_other,2749,0.34815096251266464,0.8286649690796654,0.17133503092033464,0.17960956316306442,0.5634776282284467,flag_retention_stable=1.000,weak_or_residual,keep inside residual unless presentation needs a simple context split
activation/cold_start,activation_other,4281,0.5421732522796353,0.826208829712684,0.17379117028731605,0.18624149335167578,0.5071245036206494,flag_low_activity=0.729,weak_or_residual,keep inside residual unless presentation needs a simple context split
activation/cold_start,cold_start_weak,3615,0.45782674772036475,0.8575380359612724,0.14246196403872757,0.14830377952390325,0.5051175656984785,flag_cold_start_weak=1.000,weak_or_residual,keep inside residual unless presentation needs a simple context split
retention decay,retention_decay,3207,0.4061550151975684,0.95385095104459,0.046149048955410055,0.058933776673310276,0.4599314000623636,flag_retention_decay=1.000,weak_or_residual,keep inside residual unless presentation needs a simple context split
retention decay,retention_stable,4689,0.5938449848024316,0.763062486670932,0.23693751332906798,0.24406427260100835,0.5378545532096396,flag_retention_stable=1.000,weak_or_residual,keep inside residual unless presentation needs a simple context split
content preference signal,content_signal_absent_or_weak,5684,0.7198581560283688,0.8495777621393384,0.15042223786066156,0.15841854629437577,0.5126671358198451,flag_retention_stable=0.561,weak_or_residual,keep inside residual unless presentation needs a simple context split
content preference signal,genre_focused,1479,0.18731003039513677,0.8255578093306288,0.17444219066937117,0.19958927321090714,0.4874915483434753,flag_genre_focused=1.000,weak_or_residual,keep inside residual unless presentation needs a simple context split
content preference signal,new_movie_oriented,394,0.04989868287740628,0.7944162436548223,0.20558375634517767,0.20864080091886597,0.49238578680203043,flag_new_movie_oriented=1.000,weak_or_residual,keep inside residual unless presentation needs a simple context split
content preference signal,old_movie_oriented,339,0.04293313069908815,0.8082595870206489,0.19174041297935107,0.16392321014524283,0.49557522123893805,flag_old_movie_oriented=1.000,weak_or_residual,keep inside residual unless presentation needs a simple context split
age_group,10,136,0.017223910840932118,0.8382352941176471,0.16176470588235292,0.18912124733885882,0.6911764705882353,flag_retention_stable=0.691,weak_or_residual,keep inside residual unless presentation needs a simple context split
age_group,20,2474,0.31332320162107397,0.8290218270008084,0.1709781729991916,0.17431357621192398,0.6681487469684722,flag_retention_stable=0.599,weak_or_residual,keep inside residual unless presentation needs a simple context split
age_group,30,1906,0.24138804457953394,0.8368310598111228,0.16316894018887718,0.17806294979425116,0.6007345225603358,flag_retention_stable=0.595,weak_or_residual,keep inside residual unless presentation needs a simple context split
age_group,40,2724,0.34498480243161095,0.8564610866372981,0.14353891336270186,0.15483001999145932,0.24192364170337738,flag_retention_stable=0.580,weak_or_residual,keep inside residual unless presentation needs a simple context split
age_group,50,475,0.060157041540020266,0.8336842105263158,0.1663157894736842,0.17154267090393074,0.68,flag_retention_stable=0.600,weak_or_residual,keep inside residual unless presentation needs a simple context split
age_group,60,152,0.019250253292806486,0.8223684210526315,0.17763157894736847,0.18867344240550837,0.6907894736842105,flag_retention_stable=0.664,weak_or_residual,keep inside residual unless presentation needs a simple context split
age_group,70,29,0.0036727456940222896,0.7931034482758621,0.2068965517241379,0.1772286255678307,0.6206896551724138,flag_low_activity=0.621,weak_or_residual,keep inside residual unless presentation needs a simple context split
gender,female,4211,0.5333080040526849,0.8411303728330563,0.15886962716694375,0.17258709252483403,0.5851341724056044,flag_retention_stable=0.595,weak_or_residual,keep inside residual unless presentation needs a simple context split
gender,male,2422,0.3067375886524823,0.828654004954583,0.17134599504541703,0.17474668500403273,0.6321222130470685,flag_retention_stable=0.611,weak_or_residual,keep inside residual unless presentation needs a simple context split
gender,unknown_or_unreported,1263,0.15995440729483282,0.8614410134600158,0.13855898653998422,0.1452234982704597,0.001583531274742676,flag_age40_unverified_ios=0.598,weak_or_residual,keep inside residual unless presentation needs a simple context split
is_user_verified,0,1872,0.23708206686930092,0.8712606837606838,0.12873931623931623,0.1436870039778465,0.0,flag_retention_stable=0.556,weak_or_residual,keep inside residual unless presentation needs a simple context split
is_user_verified,1,6024,0.7629179331306991,0.8310092961487384,0.16899070385126158,0.17669919066582096,0.6635126162018592,flag_retention_stable=0.606,weak_or_residual,keep inside residual unless presentation needs a simple context split
proxy artifact flag if available,0,6912,0.8753799392097265,0.8357928240740741,0.16420717592592593,0.17238137146699747,0.5782696759259259,flag_retention_stable=0.598,weak_or_residual,keep inside residual unless presentation needs a simple context split
proxy artifact flag if available,1,984,0.12462006079027356,0.8739837398373984,0.1260162601626016,0.1442255654853128,0.0,flag_age40_unverified_ios=1.000,weak_or_residual,keep inside residual unless presentation needs a simple context split
