PUBLIC_concept,PUBLIC_file,corresponding_park_segment_or_concept,can_import_rule,can_import_label,can_import_action_narrative,can_import_visual_structure,conflict_reason,recommendation
promo0:high_risk_activation_or_low_engagement,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_representative_segment_proposal.csv,"map by behavior family, not one-to-one rule",no,conditional,conditional,yes,PUBLIC is promo-scope simulation with different score/data basis; park 17x rule must remain canonical unless user approves redesign.,Use as naming/action reference only; do not copy rule.
promo0:high_risk_week3_inactivity_or_retention_decay,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_representative_segment_proposal.csv,"map by behavior family, not one-to-one rule",no,conditional,conditional,yes,PUBLIC is promo-scope simulation with different score/data basis; park 17x rule must remain canonical unless user approves redesign.,Use as naming/action reference only; do not copy rule.
promo0:mid_risk_retention_watchlist,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_representative_segment_proposal.csv,"map by behavior family, not one-to-one rule",no,conditional,conditional,yes,PUBLIC is promo-scope simulation with different score/data basis; park 17x rule must remain canonical unless user approves redesign.,Use as naming/action reference only; do not copy rule.
promo0:other_needs_review_residual,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_representative_segment_proposal.csv,"map by behavior family, not one-to-one rule",no,conditional,conditional,yes,PUBLIC is promo-scope simulation with different score/data basis; park 17x rule must remain canonical unless user approves redesign.,Use as naming/action reference only; do not copy rule.
promo0:stable_usage_lower_risk,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_representative_segment_proposal.csv,"map by behavior family, not one-to-one rule",no,conditional,conditional,yes,PUBLIC is promo-scope simulation with different score/data basis; park 17x rule must remain canonical unless user approves redesign.,Use as naming/action reference only; do not copy rule.
promo1:high_risk_activation_or_low_engagement,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_representative_segment_proposal.csv,"map by behavior family, not one-to-one rule",no,conditional,conditional,yes,PUBLIC is promo-scope simulation with different score/data basis; park 17x rule must remain canonical unless user approves redesign.,Use as naming/action reference only; do not copy rule.
promo1:high_risk_week3_inactivity_or_retention_decay,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_representative_segment_proposal.csv,"map by behavior family, not one-to-one rule",no,conditional,conditional,yes,PUBLIC is promo-scope simulation with different score/data basis; park 17x rule must remain canonical unless user approves redesign.,Use as naming/action reference only; do not copy rule.
promo1:mid_risk_retention_watchlist,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_representative_segment_proposal.csv,"map by behavior family, not one-to-one rule",no,conditional,conditional,yes,PUBLIC is promo-scope simulation with different score/data basis; park 17x rule must remain canonical unless user approves redesign.,Use as naming/action reference only; do not copy rule.
promo1:other_needs_review_residual,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_representative_segment_proposal.csv,"map by behavior family, not one-to-one rule",no,conditional,conditional,yes,PUBLIC is promo-scope simulation with different score/data basis; park 17x rule must remain canonical unless user approves redesign.,Use as naming/action reference only; do not copy rule.
promo1:stable_usage_lower_risk,PUBLIC\results\17_segmentation_design_260520\promo_scope_oof_behavior_segments_quality_hotfix_260520\17_revised_representative_segment_proposal.csv,"map by behavior family, not one-to-one rule",no,conditional,conditional,yes,PUBLIC is promo-scope simulation with different score/data basis; park 17x rule must remain canonical unless user approves redesign.,Use as naming/action reference only; do not copy rule.
promo1 business action matrix,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_promo1_main_business_action_matrix_hotfix.csv,presentation layer,no,conditional,yes,yes,"PUBLIC artifacts are supportive narrative/hotfix materials, not park 17x source of truth.",Import action narrative after rewording as descriptive candidate.
promo0 comparison reference,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_promo0_comparison_reference_hotfix.csv,presentation layer,no,conditional,yes,yes,"PUBLIC artifacts are supportive narrative/hotfix materials, not park 17x source of truth.","Use as comparison framing, not as causal contrast."
safe storyline status,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_storyline_comparison_clean_hotfix.csv,presentation layer,no,yes,conditional,yes,"PUBLIC artifacts are supportive narrative/hotfix materials, not park 17x source of truth.",Import safe/unsafe gating labels.
safe/unsafe wording,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_safe_unsafe_wording_hotfix.csv,presentation layer,no,yes,yes,yes,"PUBLIC artifacts are supportive narrative/hotfix materials, not park 17x source of truth.",Import wording guardrails.
visual guide structure,PUBLIC\reports\business\18_business_recommendation_storyline_hotfix_260520\18_segment_visual_guide_v2_polished.html,presentation layer,no,conditional,conditional,yes,"PUBLIC artifacts are supportive narrative/hotfix materials, not park 17x source of truth.",Import layout/visual hierarchy only.
