"check_name","status","critical","details"
"all_outputs_inside_park_ingyeom","PASS","Y","All archived destinations are under park.ingyeom."
"raw_source_csv_not_modified","PASS","Y","No git status entries under park.ingyeom/data or park.ingyeom/_data."
"archive_root_created","PASS","Y","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515"
"manifest_created","PASS","Y","Manifest CSV exists."
"no_delete_used","PASS","Y","Cleanup used Move-Item/metadata generation only; no Remove-Item command was used."
"note_md_updated","PASS","Y","note.md contains cleanup record and next-step gate."
"active_14_notebook_no_longer_active_if_existed","PASS","Y","Active 14 notebook folder is no longer present."
"old_11_12c_13_reclassified","PASS","Y","Manifest includes old 11/11b/12c/13 reclassification rows."
"critical_fail_count_zero","PASS","Y","failed_path_count=0"
"review_zip_created","PASS","Y","C:\Code\ott-churn-prediction\park.ingyeom\zip\00_realign_archive_cleanup_260515_review_package.zip"
