"original_path","new_archive_path","action","status","reason"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\11_baseline_growth_history_260513","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\conservative_safe_22_reference\notebook\11_baseline_growth_history_260513","move","archived","old_11_conservative_safe_22_reference"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11_baseline_growth_history_260513","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\conservative_safe_22_reference\reports\models\11_baseline_growth_history_260513","move","archived","old_11_conservative_safe_22_reference"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11_baseline_growth_history_260513","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\conservative_safe_22_reference\reports\figures\11_baseline_growth_history_260513","move","archived","old_11_conservative_safe_22_reference"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\11b_baseline_growth_history_ladder_fix_260514","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\conservative_safe_22_reference\notebook\11b_baseline_growth_history_ladder_fix_260514","move","archived","11b_reclassified_conservative_safe_22_reference"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\models\11b_baseline_growth_history_ladder_fix_260514","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\conservative_safe_22_reference\reports\models\11b_baseline_growth_history_ladder_fix_260514","move","archived","11b_reclassified_conservative_safe_22_reference"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\11b_baseline_growth_history_ladder_fix_260514","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\conservative_safe_22_reference\reports\figures\11b_baseline_growth_history_ladder_fix_260514","move","archived","11b_reclassified_conservative_safe_22_reference"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\12_model_baseline_comparison_canonical_260514","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\conservative_safe_22_reference\notebook\12_model_baseline_comparison_canonical_260514","move","archived","12c_reclassified_conservative_safe_22_reference"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_canonical_260514","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\conservative_safe_22_reference\reports\models\12_model_baseline_comparison_canonical_260514","move","archived","12c_reclassified_conservative_safe_22_reference"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_canonical_260514","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\conservative_safe_22_reference\reports\figures\12_model_baseline_comparison_canonical_260514","move","archived","12c_reclassified_conservative_safe_22_reference"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\13_lightweight_synthesis_for_mentor_report_260515","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\conservative_safe_22_reference\notebook\13_lightweight_synthesis_for_mentor_report_260515","move","archived","13_brief_reclassified_conservative_safe_22_reference"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\brief\13_lightweight_synthesis_for_mentor_report_260515","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\conservative_safe_22_reference\reports\brief\13_lightweight_synthesis_for_mentor_report_260515","move","archived","13_brief_reclassified_conservative_safe_22_reference"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\13_lightweight_synthesis_for_mentor_report_260515","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\conservative_safe_22_reference\reports\figures\13_lightweight_synthesis_for_mentor_report_260515","move","archived","13_brief_reclassified_conservative_safe_22_reference"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\14_optuna_candidate_tuning_260515","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\aborted_or_incomplete\notebook\14_optuna_candidate_tuning_260515","move","archived","14_pre_13b_optuna_trace_aborted_or_superseded"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\11b_semantic_validation_and_interpretation_patch_260514","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\conservative_safe_22_reference\notebook\11b_semantic_validation_and_interpretation_patch_260514","move","archived","11b_semantic_patch_reclassified_conservative_safe_22_reference"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\audits\11b_semantic_validation_and_interpretation_patch_260514","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\conservative_safe_22_reference\reports\audits\11b_semantic_validation_and_interpretation_patch_260514","move","archived","11b_semantic_patch_reclassified_conservative_safe_22_reference"
"C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_full_feature_preliminary_model_260513","C:\Code\ott-churn-prediction\park.ingyeom\_archive\realignment_260515\deprecated_or_superseded\reports\models\12_full_feature_preliminary_model_260513","move","archived","old_12_active_deprecated_or_superseded"
