"active_path","relative_path","item_type","reason"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\05_column_role_leakage_timing_audit_260513","notebook\05_column_role_leakage_timing_audit_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\05b_column_role_dictionary_patch_260513","notebook\05b_column_role_dictionary_patch_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\06_common_preprocessing_and_final_cohort_260513","notebook\06_common_preprocessing_and_final_cohort_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\07_AARRR_feature_mapping_260513","notebook\07_AARRR_feature_mapping_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\08_promotion_vs_nonpromotion_eda_260513","notebook\08_promotion_vs_nonpromotion_eda_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\08b_promotion_vs_nonpromotion_eda_audit_patch_260513","notebook\08b_promotion_vs_nonpromotion_eda_audit_patch_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\08b_promotion_vs_nonpromotion_eda_audit_patch_260513\park.ingyeom","notebook\08b_promotion_vs_nonpromotion_eda_audit_patch_260513\park.ingyeom","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\08b_promotion_vs_nonpromotion_eda_audit_patch_260513\park.ingyeom\reports","notebook\08b_promotion_vs_nonpromotion_eda_audit_patch_260513\park.ingyeom\reports","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\08b_promotion_vs_nonpromotion_eda_audit_patch_260513\park.ingyeom\reports\eda","notebook\08b_promotion_vs_nonpromotion_eda_audit_patch_260513\park.ingyeom\reports\eda","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\08b_promotion_vs_nonpromotion_eda_audit_patch_260513\park.ingyeom\reports\eda\08b_promotion_vs_nonpromotion_eda_audit_patch_260513","notebook\08b_promotion_vs_nonpromotion_eda_audit_patch_260513\park.ingyeom\reports\eda\08b_promotion_vs_nonpromotion_eda_audit_patch_260513","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\08b_promotion_vs_nonpromotion_eda_audit_patch_260513\park.ingyeom\zip","notebook\08b_promotion_vs_nonpromotion_eda_audit_patch_260513\park.ingyeom\zip","directory","active_05_to_14_related_after_cleanup"
"C:\Code\ott-churn-prediction\park.ingyeom\notebook\09_promotion_repurchase_2x2_eda_260513","notebook\09_promotion_repurchase_2x2_eda_260513","directory","active_05_to_14_related_after_cleanup"
