feature_name,AARRR_stage_primary,feature_family,is_promotion,is_repurchase,n,mean,std,median,q25,q75,zero_rate,positive_rate
avg_gap_w1_watch_days,retention,usage_observation,0,0,2655,0.6051475197740113,1.173616431580025,0.0,0.0,1.0,0.696045197740113,0.303954802259887
avg_gap_w1_watch_days,retention,usage_observation,0,1,8520,0.6916040685446009,1.2537196931917796,0.0,0.0,1.0,0.6714788732394367,0.3285211267605634
avg_gap_w1_watch_days,retention,usage_observation,1,0,3867,0.6429230243082493,1.2087452340090492,0.0,0.0,1.0,0.6837341608482027,0.31626583915179723
avg_gap_w1_watch_days,retention,usage_observation,1,1,8037,0.6924121774293891,1.244514222871434,0.0,0.0,1.0,0.6712703745178549,0.32872962548214507
avg_gap_w2_watch_days,retention,usage_observation,0,0,2655,0.39950408097928436,0.9840521999799179,0.0,0.0,0.0,0.8033898305084746,0.19661016949152543
avg_gap_w2_watch_days,retention,usage_observation,0,1,8520,0.7123337241784037,1.1972123162088457,0.0,0.0,1.0,0.6346244131455399,0.3653755868544601
avg_gap_w2_watch_days,retention,usage_observation,1,0,3867,0.4819153519524179,1.0837320363380156,0.0,0.0,0.0,0.7667442461856736,0.23325575381432634
avg_gap_w2_watch_days,retention,usage_observation,1,1,8037,0.7472668076396665,1.2435318512300109,0.0,0.0,1.0,0.6279706358093816,0.3720293641906184
avg_gap_w3_watch_days,retention,usage_observation,0,0,2655,0.21729441318267417,0.8081944360371742,0.0,0.0,0.0,0.9020715630885122,0.09792843691148775
avg_gap_w3_watch_days,retention,usage_observation,0,1,8520,0.8001310647887324,1.2842311337360666,0.0,0.0,1.0,0.6084507042253521,0.39154929577464787
avg_gap_w3_watch_days,retention,usage_observation,1,0,3867,0.324415998707008,0.9516830860663086,0.0,0.0,0.0,0.8489785363330747,0.15102146366692526
avg_gap_w3_watch_days,retention,usage_observation,1,1,8037,0.8720355852930198,1.3209804394525029,0.0,0.0,1.333333,0.5752146323254946,0.4247853676745054
is_cold_start_3d,activation,activation_onboarding,0,0,2655,0.45875706214689266,0.4983899844532115,0.0,0.0,1.0,0.5412429378531074,0.45875706214689266
is_cold_start_3d,activation,activation_onboarding,0,1,8520,0.4688967136150235,0.4990609363432709,0.0,0.0,1.0,0.5311032863849765,0.4688967136150235
is_cold_start_3d,activation,activation_onboarding,1,0,3867,0.42461856736488235,0.4943489011884987,0.0,0.0,1.0,0.5753814326351177,0.42461856736488235
is_cold_start_3d,activation,activation_onboarding,1,1,8037,0.47791464476794826,0.4995430776139579,0.0,0.0,1.0,0.5220853552320518,0.47791464476794826
is_cold_start_7d,activation,activation_onboarding,0,0,2655,0.7182674199623352,0.4499284168686037,1.0,0.0,1.0,0.28173258003766477,0.7182674199623352
is_cold_start_7d,activation,activation_onboarding,0,1,8520,0.6711267605633803,0.4698313957693672,1.0,0.0,1.0,0.3288732394366197,0.6711267605633803
is_cold_start_7d,activation,activation_onboarding,1,0,3867,0.6901991207654512,0.46247119194882685,1.0,0.0,1.0,0.30980087923454874,0.6901991207654512
is_cold_start_7d,activation,activation_onboarding,1,1,8037,0.6697772800796317,0.4703224407512191,1.0,0.0,1.0,0.3302227199203683,0.6697772800796317
watch_time(min)_w1,activation,usage_observation,0,0,2655,89.55291902071563,127.28499953188434,38.0,0.0,129.0,0.303954802259887,0.696045197740113
watch_time(min)_w1,activation,usage_observation,0,1,8520,103.10269953051643,176.5253696885192,25.0,0.0,143.0,0.376056338028169,0.6239436619718309
watch_time(min)_w1,activation,usage_observation,1,0,3867,93.37057150245668,139.07110915541284,34.0,0.0,138.0,0.3408326868373416,0.6591673131626584
watch_time(min)_w1,activation,usage_observation,1,1,8037,103.8167226577081,171.1406492649267,23.0,0.0,147.0,0.37688192111484387,0.6231180788851561
watch_time(min)_w2,retention,usage_observation,0,0,2655,46.387947269303204,88.2239571874946,1.0,0.0,67.0,0.47909604519774013,0.5209039548022599
watch_time(min)_w2,retention,usage_observation,0,1,8520,113.58274647887323,166.5114144443055,50.0,0.0,167.0,0.33650234741784035,0.6634976525821596
watch_time(min)_w2,retention,usage_observation,1,0,3867,57.600982673907424,99.57220097237814,1.0,0.0,93.0,0.44970261184380655,0.5502973881561934
watch_time(min)_w2,retention,usage_observation,1,1,8037,117.58865248226951,172.12717846288285,51.0,0.0,174.0,0.3340798805524449,0.665920119447555
watch_time(min)_w3,retention,usage_observation,0,0,2655,23.42674199623352,60.724951889307036,0.0,0.0,6.0,0.6312617702448211,0.3687382297551789
watch_time(min)_w3,retention,usage_observation,0,1,8520,121.92887323943663,177.27262911437842,70.0,0.0,177.0,0.2869718309859155,0.7130281690140845
watch_time(min)_w3,retention,usage_observation,1,0,3867,37.16058960434445,75.48633022725639,0.0,0.0,39.0,0.5513317817429532,0.4486682182570468
watch_time(min)_w3,retention,usage_observation,1,1,8037,128.9104143337066,171.83451120396873,89.0,0.0,193.0,0.2640288664924723,0.7359711335075276
watch_session_w1,activation,usage_observation,0,0,2655,2.2290018832391714,2.74697661129664,1.0,0.0,3.0,0.303954802259887,0.696045197740113
watch_session_w1,activation,usage_observation,0,1,8520,2.2529342723004695,3.273894556450433,1.0,0.0,3.0,0.376056338028169,0.6239436619718309
watch_session_w1,activation,usage_observation,1,0,3867,2.238944918541505,2.9747695244432024,1.0,0.0,3.0,0.3408326868373416,0.6591673131626584
watch_session_w1,activation,usage_observation,1,1,8037,2.237650864750529,3.103412732524155,1.0,0.0,3.0,0.37688192111484387,0.6231180788851561
watch_session_w2,retention,usage_observation,0,0,2655,1.3175141242937853,2.021860148512579,1.0,0.0,2.0,0.47909604519774013,0.5209039548022599
watch_session_w2,retention,usage_observation,0,1,8520,2.481455399061033,3.28761865651879,2.0,0.0,4.0,0.33650234741784035,0.6634976525821596
watch_session_w2,retention,usage_observation,1,0,3867,1.5668476855443496,2.363799993010127,1.0,0.0,2.0,0.44970261184380655,0.5502973881561934
watch_session_w2,retention,usage_observation,1,1,8037,2.512629090456638,3.2647408199759984,2.0,0.0,4.0,0.3340798805524449,0.665920119447555
watch_session_w3,retention,usage_observation,0,0,2655,0.7777777777777778,1.4156633857441472,0.0,0.0,1.0,0.6312617702448211,0.3687382297551789
watch_session_w3,retention,usage_observation,0,1,8520,2.6286384976525823,3.18949981205981,2.0,0.0,4.0,0.2869718309859155,0.7130281690140845
watch_session_w3,retention,usage_observation,1,0,3867,1.0602534264287562,1.7110880411128002,0.0,0.0,2.0,0.5513317817429532,0.4486682182570468
watch_session_w3,retention,usage_observation,1,1,8037,2.780141843971631,3.247170354460671,2.0,0.0,4.0,0.2640288664924723,0.7359711335075276
retention_w2_ratio,retention,retention_ratio,0,0,2655,8.450284304331449,36.85343299924384,0.6375,0.058824,1.1658335,0.0,1.0
retention_w2_ratio,retention,retention_ratio,0,1,8520,35.95114066420188,99.64232023637328,1.0,0.31736325,7.6791047500000005,0.0,1.0
retention_w2_ratio,retention,retention_ratio,1,0,3867,11.935359130074993,46.13159436037452,0.875,0.10397100000000001,1.428346,0.0,1.0
retention_w2_ratio,retention,retention_ratio,1,1,8037,37.604983033345775,106.72460876243292,1.0,0.333333,8.0,0.0,1.0
