diagnostic,split_id,status,blocked_reason,label,model_name,feature_count,post_transform_feature_count,n_train,n_test,train_repurchase_rate,test_repurchase_rate,test_churn_rate,roc_auc_repurchase,average_precision_repurchase,average_precision_churn_risk,brier_repurchase
existing_user_key_group_shuffle_split,stage06_official,RUN,,full_current_w1_3_hgb,HistGradientBoostingClassifier,80.0,166.0,19156.0,4777.0,0.7214449780747546,0.7129997906635964,0.2870002093364036,0.8704640371627193,0.9429893996359336,0.7046106053253485,0.13023177269048744
repeated_group_shuffle_split,repeat_1,RUN,,repeated_gss_1,HistGradientBoostingClassifier,80.0,166.0,19158.0,4775.0,0.7219438354734314,0.7109947643979058,0.28900523560209423,0.8744251990352394,0.9466385317756586,0.7073025098139237,0.13022492210223505
repeated_group_shuffle_split,repeat_2,RUN,,repeated_gss_2,HistGradientBoostingClassifier,80.0,166.0,19156.0,4777.0,0.7224890373773231,0.7088130625915847,0.29118693740841534,0.868591672140921,0.942507290137581,0.6959640207868298,0.13258852152651954
repeated_group_shuffle_split,repeat_3,RUN,,repeated_gss_3,HistGradientBoostingClassifier,80.0,167.0,19154.0,4779.0,0.71781351153806,0.7275580665411174,0.2724419334588826,0.8675016909451488,0.9448017875264655,0.6790998128510026,0.12792877703473227
reg_date_time_split,blocked,BLOCKED,reg_date is not present in the Stage 05 modeling dataset because it is forbidden metadata; cannot run time split without rebuilding an audit-only split source.,,,,,,,,,,,,,
product_code_holdout,pk_1487,RUN,,product_code_holdout_pk_1487,HistGradientBoostingClassifier,80.0,168.0,15150.0,8783.0,0.7366996699669967,0.6905385403620631,0.3094614596379369,0.8586234665298124,0.9313305188723818,0.7024439066569204,0.1426679083337766
product_code_holdout,pk_1488,RUN,,product_code_holdout_pk_1488,HistGradientBoostingClassifier,80.0,168.0,20644.0,3289.0,0.7157527610928115,0.7449072666463971,0.25509273335360294,0.8844467417479507,0.9560720029200523,0.7009885579384526,0.11787050164889437
product_code_holdout,pk_2025,RUN,,product_code_holdout_pk_2025,HistGradientBoostingClassifier,80.0,169.0,20900.0,3033.0,0.724354066985646,0.6880975931421035,0.3119024068578965,0.8646154438378727,0.9326225026800272,0.720049847852455,0.13834052849492992
product_code_holdout,pk_1489,RUN,,product_code_holdout_pk_1489,HistGradientBoostingClassifier,80.0,169.0,21064.0,2869.0,0.7187618685909609,0.7270826071802021,0.2729173928197978,0.8760752520298921,0.9498556288924734,0.7042761754228472,0.12448194236149984
product_code_holdout,pk_1508,RUN,,product_code_holdout_pk_1508,HistGradientBoostingClassifier,80.0,169.0,21084.0,2849.0,0.71305255169797,0.7693927693927693,0.2306072306072306,0.8676795514892954,0.95360858761126,0.6211072482413315,0.12150117499266934
product_code_holdout,pk_2026,RUN,,product_code_holdout_pk_2026,HistGradientBoostingClassifier,80.0,169.0,23106.0,827.0,0.7187743443261491,0.747279322853688,0.25272067714631197,0.879685975751382,0.9563816019159359,0.6760371408847915,0.12034815892049856
product_code_holdout,pk_1506,RUN,,product_code_holdout_pk_1506,HistGradientBoostingClassifier,80.0,169.0,23166.0,767.0,0.7168695502028836,0.8070404172099087,0.19295958279009126,0.8885462603152425,0.9691084122386069,0.6828526986767758,0.10120634703407656
product_code_holdout,pk_2027,RUN,,product_code_holdout_pk_2027,HistGradientBoostingClassifier,80.0,169.0,23195.0,738.0,0.7198965294244449,0.7154471544715447,0.2845528455284553,0.8792568542568544,0.9420353117344618,0.7118237169641954,0.12470925528229354
max_screen_holdout,1.0,RUN,,max_screen_holdout_1.0,HistGradientBoostingClassifier,80.0,135.0,8878.0,15055.0,0.7435233160621761,0.705745599468615,0.2942544005313849,0.8563382074093746,0.9333515903345514,0.6910682265520266,0.1402509021115496
max_screen_holdout,2.0,RUN,,max_screen_holdout_2.0,HistGradientBoostingClassifier,80.0,160.0,19034.0,4899.0,0.7106756330776505,0.7550520514390692,0.2449479485609308,0.8852009552131207,0.9586538067939205,0.6914670422036866,0.11604902271352895
max_screen_holdout,4.0,RUN,,max_screen_holdout_4.0,HistGradientBoostingClassifier,80.0,166.0,20037.0,3896.0,0.7179218445875131,0.7292094455852156,0.2707905544147844,0.876726371296403,0.9500595455308867,0.69941281632253,0.12431334993958457
