membership_row_id,w1_4_has_watch_obs,w1_4_total_watch_time,w1_4_total_sessions,w1_4_unique_contents,w1_4_unique_watch_days,w1_4_avg_watch_time_per_session,w1_4_max_daily_watch_time,w1_4_max_day_share,w1_4_one_minute_watch_count,w1_4_short_watch_count_le5,w1_4_short_watch_time_le5,w1_4_week1_watch_time,w1_4_week1_sessions,w1_4_week2_watch_time,w1_4_week2_sessions,w1_4_week3_watch_time,w1_4_week3_sessions,w1_4_week4_watch_time,w1_4_week4_sessions,w1_4_week1_ratio,w1_4_week2_ratio,w1_4_week3_ratio,w1_4_week4_ratio,w1_4_w2_minus_w1_watch_time,w1_4_w3_minus_w2_watch_time,w1_4_w4_minus_w3_watch_time
1,1,518.0,13,10,9,39.846154,201.0,0.388031,4,5,6.0,191.0,3,313.0,8,14.0,2,0.0,0,0.368726,0.604247,0.027027,0.0,122.0,-299.0,-14.0
2,1,4.0,3,3,2,1.333333,3.0,0.75,2,3,4.0,3.0,2,1.0,1,0.0,0,0.0,0,0.75,0.25,0.0,0.0,-2.0,-1.0,0.0
3,1,129.0,2,2,1,64.5,129.0,1.0,1,1,1.0,0.0,0,129.0,2,0.0,0,0.0,0,0.0,1.0,0.0,0.0,129.0,-129.0,0.0
5,1,206.0,4,1,1,51.5,206.0,1.0,0,2,6.0,0.0,0,0.0,0,0.0,0,206.0,4,0.0,0.0,0.0,1.0,0.0,0.0,206.0
6,1,703.0,22,12,8,31.954545,235.0,0.334282,8,9,10.0,0.0,0,214.0,5,278.0,3,211.0,14,0.0,0.30441,0.395448,0.300142,214.0,64.0,-67.0
7,1,99.0,2,1,1,49.5,99.0,1.0,0,0,0.0,99.0,2,0.0,0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,-99.0,0.0,0.0
8,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
9,1,282.0,26,24,9,10.846154,106.0,0.375887,10,18,32.0,26.0,3,80.0,8,170.0,11,6.0,4,0.092199,0.283688,0.602837,0.021277,54.0,90.0,-164.0
10,1,170.0,4,1,2,42.5,100.0,0.588235,0,0,0.0,0.0,0,170.0,4,0.0,0,0.0,0,0.0,1.0,0.0,0.0,170.0,-170.0,0.0
11,1,954.0,18,14,5,53.0,795.0,0.833333,2,5,12.0,0.0,0,902.0,16,52.0,2,0.0,0,0.0,0.945493,0.054507,0.0,902.0,-850.0,-52.0
12,1,187.0,5,5,4,37.4,139.0,0.743316,1,2,6.0,22.0,3,165.0,2,0.0,0,0.0,0,0.117647,0.882353,0.0,0.0,143.0,-165.0,0.0
13,1,502.0,5,4,3,100.4,355.0,0.707171,0,1,2.0,392.0,4,110.0,1,0.0,0,0.0,0,0.780876,0.219124,0.0,0.0,-282.0,-110.0,0.0
14,1,275.0,4,3,2,68.75,152.0,0.552727,0,0,0.0,0.0,0,275.0,4,0.0,0,0.0,0,0.0,1.0,0.0,0.0,275.0,-275.0,0.0
15,1,771.0,14,9,4,55.071429,333.0,0.431907,0,1,5.0,333.0,6,438.0,8,0.0,0,0.0,0,0.431907,0.568093,0.0,0.0,105.0,-438.0,0.0
16,1,19.0,3,3,2,6.333333,18.0,0.947368,1,2,3.0,1.0,1,18.0,2,0.0,0,0.0,0,0.052632,0.947368,0.0,0.0,17.0,-18.0,0.0
17,1,326.0,5,4,4,65.2,136.0,0.417178,0,0,0.0,50.0,1,38.0,1,238.0,3,0.0,0,0.153374,0.116564,0.730061,0.0,-12.0,200.0,-238.0
18,1,1018.0,24,16,10,42.416667,249.0,0.244597,3,8,18.0,0.0,0,979.0,19,39.0,5,0.0,0,0.0,0.96169,0.03831,0.0,979.0,-940.0,-39.0
19,1,333.0,8,5,8,41.625,81.0,0.243243,0,1,2.0,119.0,3,145.0,3,69.0,2,0.0,0,0.357357,0.435435,0.207207,0.0,26.0,-76.0,-69.0
20,1,100.0,9,8,3,11.111111,71.0,0.71,0,0,0.0,94.0,8,0.0,0,6.0,1,0.0,0,0.94,0.0,0.06,0.0,-94.0,6.0,-6.0
21,1,228.0,8,2,2,28.5,210.0,0.921053,4,4,4.0,0.0,0,0.0,0,0.0,0,228.0,8,0.0,0.0,0.0,1.0,0.0,0.0,228.0
