membership_row_id,w1_3_has_watch_obs,w1_3_total_watch_time,w1_3_total_sessions,w1_3_unique_contents,w1_3_unique_watch_days,w1_3_avg_watch_time_per_session,w1_3_max_daily_watch_time,w1_3_max_day_share,w1_3_one_minute_watch_count,w1_3_short_watch_count_le5,w1_3_short_watch_time_le5,w1_3_week1_watch_time,w1_3_week1_sessions,w1_3_week2_watch_time,w1_3_week2_sessions,w1_3_week3_watch_time,w1_3_week3_sessions,w1_3_week1_ratio,w1_3_week2_ratio,w1_3_week3_ratio,w1_3_w2_minus_w1_watch_time,w1_3_w3_minus_w2_watch_time
1,1,518.0,13,10,9,39.846154,201.0,0.388031,4,5,6.0,191.0,3,313.0,8,14.0,2,0.368726,0.604247,0.027027,122.0,-299.0
2,1,4.0,3,3,2,1.333333,3.0,0.75,2,3,4.0,3.0,2,1.0,1,0.0,0,0.75,0.25,0.0,-2.0,-1.0
3,1,129.0,2,2,1,64.5,129.0,1.0,1,1,1.0,0.0,0,129.0,2,0.0,0,0.0,1.0,0.0,129.0,-129.0
5,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
6,1,492.0,8,6,5,61.5,235.0,0.477642,1,1,1.0,0.0,0,214.0,5,278.0,3,0.0,0.434959,0.565041,214.0,64.0
7,1,99.0,2,1,1,49.5,99.0,1.0,0,0,0.0,99.0,2,0.0,0,0.0,0,1.0,0.0,0.0,-99.0,0.0
8,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
9,1,276.0,22,20,8,12.545455,106.0,0.384058,8,14,26.0,26.0,3,80.0,8,170.0,11,0.094203,0.289855,0.615942,54.0,90.0
10,1,170.0,4,1,2,42.5,100.0,0.588235,0,0,0.0,0.0,0,170.0,4,0.0,0,0.0,1.0,0.0,170.0,-170.0
11,1,954.0,18,14,5,53.0,795.0,0.833333,2,5,12.0,0.0,0,902.0,16,52.0,2,0.0,0.945493,0.054507,902.0,-850.0
12,1,187.0,5,5,4,37.4,139.0,0.743316,1,2,6.0,22.0,3,165.0,2,0.0,0,0.117647,0.882353,0.0,143.0,-165.0
13,1,502.0,5,4,3,100.4,355.0,0.707171,0,1,2.0,392.0,4,110.0,1,0.0,0,0.780876,0.219124,0.0,-282.0,-110.0
14,1,275.0,4,3,2,68.75,152.0,0.552727,0,0,0.0,0.0,0,275.0,4,0.0,0,0.0,1.0,0.0,275.0,-275.0
