promo_scope,representative_segment_id,feature_name,feature_family,mean,median,q25,q75,zero_or_false_rate,segment_value,scope_overall_value,difference_vs_scope_overall,interpretation,caveat
promo0,promo0_s01,content_preference_signal,content_preference_profile_marker,0.994815668202765,1.0,1.0,1.0,0.005184331797235023,0.994815668202765,0.972750826409363,0.022064841793402068,Broad content-context marker retained only for profile/action personalization.,Not representative segment rule because prevalence is broad.
promo0,promo0_s02,content_preference_signal,content_preference_profile_marker,0.974025974025974,1.0,1.0,1.0,0.025974025974025976,0.974025974025974,0.972750826409363,0.001275147616611072,Broad content-context marker retained only for profile/action personalization.,Not representative segment rule because prevalence is broad.
promo0,promo0_s03,content_preference_signal,content_preference_profile_marker,1.0,1.0,1.0,1.0,0.0,1.0,0.972750826409363,0.027249173590637055,Broad content-context marker retained only for profile/action personalization.,Not representative segment rule because prevalence is broad.
promo0,promo0_s04,content_preference_signal,content_preference_profile_marker,1.0,1.0,1.0,1.0,0.0,1.0,0.972750826409363,0.027249173590637055,Broad content-context marker retained only for profile/action personalization.,Not representative segment rule because prevalence is broad.
promo0,promo0_s05,content_preference_signal,content_preference_profile_marker,1.0,1.0,1.0,1.0,0.0,1.0,0.972750826409363,0.027249173590637055,Broad content-context marker retained only for profile/action personalization.,Not representative segment rule because prevalence is broad.
promo0,promo0_s06,content_preference_signal,content_preference_profile_marker,0.9276218611521418,1.0,1.0,1.0,0.0723781388478582,0.9276218611521418,0.972750826409363,-0.0451289652572211,Broad content-context marker retained only for profile/action personalization.,Not representative segment rule because prevalence is broad.
promo0,promo0_s99,content_preference_signal,content_preference_profile_marker,0.9792679439519588,1.0,1.0,1.0,0.020732056048041177,0.9792679439519588,0.972750826409363,0.006517117542595874,Broad content-context marker retained only for profile/action personalization.,Not representative segment rule because prevalence is broad.
promo1,promo1_s01,content_preference_signal,content_preference_profile_marker,0.9976470588235294,1.0,1.0,1.0,0.002352941176470588,0.9976470588235294,0.9684139784946236,0.029233080328905814,Broad content-context marker retained only for profile/action personalization.,Not representative segment rule because prevalence is broad.
promo1,promo1_s02,content_preference_signal,content_preference_profile_marker,0.9689119170984456,1.0,1.0,1.0,0.031088082901554404,0.9689119170984456,0.9684139784946236,0.000497938603821968,Broad content-context marker retained only for profile/action personalization.,Not representative segment rule because prevalence is broad.
promo1,promo1_s03,content_preference_signal,content_preference_profile_marker,1.0,1.0,1.0,1.0,0.0,1.0,0.9684139784946236,0.03158602150537637,Broad content-context marker retained only for profile/action personalization.,Not representative segment rule because prevalence is broad.
promo1,promo1_s04,content_preference_signal,content_preference_profile_marker,1.0,1.0,1.0,1.0,0.0,1.0,0.9684139784946236,0.03158602150537637,Broad content-context marker retained only for profile/action personalization.,Not representative segment rule because prevalence is broad.
promo1,promo1_s05,content_preference_signal,content_preference_profile_marker,0.9090909090909091,1.0,1.0,1.0,0.09090909090909091,0.9090909090909091,0.9684139784946236,-0.05932306940371457,Broad content-context marker retained only for profile/action personalization.,Not representative segment rule because prevalence is broad.
promo1,promo1_s06,content_preference_signal,content_preference_profile_marker,0.909875359539789,1.0,1.0,1.0,0.09012464046021093,0.909875359539789,0.9684139784946236,-0.05853861895483459,Broad content-context marker retained only for profile/action personalization.,Not representative segment rule because prevalence is broad.
promo1,promo1_s99,content_preference_signal,content_preference_profile_marker,0.9765376458112407,1.0,1.0,1.0,0.02346235418875928,0.9765376458112407,0.9684139784946236,0.008123667316617067,Broad content-context marker retained only for profile/action personalization.,Not representative segment rule because prevalence is broad.
