promo_scope,representative_segment_id,provisional_label,related_feature_family,related_features,segment_behavior_evidence,shap_family_rank_in_promo_scope,shap_family_importance,promo1_vs_promo0_family_difference_if_available,interpretation,caveat
promo0,promo0_s01,promo0_high_risk_week3_inactive,weekly_usage,see 16b hotfix mapping,week3_inactive:1.00:flag; retention_decay:0.80:flag; only_w1:0.57:flag; low_activity:0.79:flag; usage_concentrated:0.77:flag; genre_preference_clear:0.55:flag; content_preference_signal:0.99:broad_marker,1,1.3809966019692443,-0.1516487369128842,weekly_usage is auxiliary model-explanation evidence for this segment.,SHAP is not causality; content_preference_signal is broad and not used as rule.
promo0,promo0_s01,promo0_high_risk_week3_inactive,week_specific_usage_pattern,see 16b hotfix mapping,week3_inactive:1.00:flag; retention_decay:0.80:flag; only_w1:0.57:flag; low_activity:0.79:flag; usage_concentrated:0.77:flag; genre_preference_clear:0.55:flag; content_preference_signal:0.99:broad_marker,5,0.1023168296453725,-0.0613145131134365,week_specific_usage_pattern is auxiliary model-explanation evidence for this segment.,SHAP is not causality; content_preference_signal is broad and not used as rule.
promo0,promo0_s02,promo0_high_risk_retention_decay,retention_decay,see 16b hotfix mapping,retention_decay:1.00:flag; low_activity:0.31:flag; usage_concentrated:0.27:flag; content_preference_signal:0.97:broad_marker,3,0.4568113300419129,0.1095775107736858,retention_decay is auxiliary model-explanation evidence for this segment.,SHAP is not causality; content_preference_signal is broad and not used as rule.
promo0,promo0_s02,promo0_high_risk_retention_decay,inactivity_recency,see 16b hotfix mapping,retention_decay:1.00:flag; low_activity:0.31:flag; usage_concentrated:0.27:flag; content_preference_signal:0.97:broad_marker,11,0.0149448877108247,0.0406251304858924,inactivity_recency is auxiliary model-explanation evidence for this segment.,SHAP is not causality; content_preference_signal is broad and not used as rule.
promo0,promo0_s03,promo0_high_risk_only_w1_or_cold_start_weak,onboarding_activation,see 16b hotfix mapping,cold_start_weak:1.00:flag; low_activity:0.99:flag; usage_concentrated:0.96:flag; genre_preference_clear:0.82:flag; content_preference_signal:1.00:broad_marker,7,0.0500236933924705,0.1255454387904608,onboarding_activation is auxiliary model-explanation evidence for this segment.,SHAP is not causality; content_preference_signal is broad and not used as rule.
promo0,promo0_s03,promo0_high_risk_only_w1_or_cold_start_weak,week_specific_usage_pattern,see 16b hotfix mapping,cold_start_weak:1.00:flag; low_activity:0.99:flag; usage_concentrated:0.96:flag; genre_preference_clear:0.82:flag; content_preference_signal:1.00:broad_marker,5,0.1023168296453725,-0.0613145131134365,week_specific_usage_pattern is auxiliary model-explanation evidence for this segment.,SHAP is not causality; content_preference_signal is broad and not used as rule.
promo0,promo0_s04,promo0_high_risk_low_activity,weekly_usage,see 16b hotfix mapping,low_activity:1.00:flag; usage_concentrated:0.58:flag; content_preference_signal:1.00:broad_marker,1,1.3809966019692443,-0.1516487369128842,weekly_usage is auxiliary model-explanation evidence for this segment.,SHAP is not causality; content_preference_signal is broad and not used as rule.
promo0,promo0_s04,promo0_high_risk_low_activity,usage_concentration,see 16b hotfix mapping,low_activity:1.00:flag; usage_concentrated:0.58:flag; content_preference_signal:1.00:broad_marker,4,0.1117107748217988,-0.0302356075512337,usage_concentration is auxiliary model-explanation evidence for this segment.,SHAP is not causality; content_preference_signal is broad and not used as rule.
promo0,promo0_s05,promo0_high_risk_genre_preference_clear,genre_preference,see 16b hotfix mapping,genre_preference_clear:1.00:flag; content_preference_signal:1.00:broad_marker,2,1.1514309430942005,0.1931943738454395,genre_preference is auxiliary model-explanation evidence for this segment.,SHAP is not causality; content_preference_signal is broad and not used as rule.
promo0,promo0_s06,promo0_stable_usage_lower_risk,weekly_usage,see 16b hotfix mapping,content_preference_signal:0.93:broad_marker; stable_usage:1.00:flag,1,1.3809966019692443,-0.1516487369128842,weekly_usage is auxiliary model-explanation evidence for this segment.,SHAP is not causality; content_preference_signal is broad and not used as rule.
