row_id,promo_scope,is_repurchase,representative_segment_id,provisional_label,assignment_priority_order,gb_churn_risk_score_oof,lr_churn_risk_score_oof,gb_risk_percentile,lr_risk_percentile,key_flags_used_for_assignment,hotfix_assignment_changed,previous_representative_segment_id
0,promo0,1,promo0_s99,promo0_other_needs_review,99,0.279608029249159,0.5515820166388248,,,fallback,False,promo0_s99
1,promo0,0,promo0_s99,promo0_other_needs_review,99,0.2536669955485878,0.5354092196845048,,,fallback,False,promo0_s99
2,promo0,1,promo0_s99,promo0_other_needs_review,99,0.1765590612694076,0.7071312343048948,,,fallback,False,promo0_s99
3,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0216402583358897,0.0154918413810879,,,fallback,False,promo0_s99
4,promo0,1,promo0_s01,promo0_high_risk_week3_inactive,1,0.4988197839929712,0.7943558095562772,,,"gb_high_risk_top20,week3_inactive",False,promo0_s01
5,promo0,1,promo0_s99,promo0_other_needs_review,99,0.1737822033714096,0.292871860201144,,,fallback,False,promo0_s99
6,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0241789285991412,0.1000243858180917,,,fallback,False,promo0_s99
7,promo0,1,promo0_s06,promo0_stable_usage_lower_risk,6,0.393263981357101,0.5723349311517063,,,"gb_high_risk_top20,stable_usage",True,promo0_s05
8,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0601216076423098,0.1469220680679003,,,fallback,False,promo0_s99
9,promo0,1,promo0_s99,promo0_other_needs_review,99,0.2746547590801321,0.5492300760308394,,,fallback,False,promo0_s99
10,promo0,1,promo0_s99,promo0_other_needs_review,99,0.1877433761815747,0.387121532738511,,,fallback,False,promo0_s99
11,promo0,0,promo0_s06,promo0_stable_usage_lower_risk,6,0.0988027698671656,0.5902511437345516,,,"gb_high_risk_top20,stable_usage",True,promo0_s05
12,promo0,0,promo0_s99,promo0_other_needs_review,99,0.1608122030879576,0.423617561965987,,,fallback,False,promo0_s99
13,promo0,1,promo0_s99,promo0_other_needs_review,99,0.1706861805806606,0.2916752887311226,,,fallback,False,promo0_s99
14,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0901898857015731,0.2306091466023676,,,fallback,False,promo0_s99
15,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0384810691761983,0.0420385813354005,,,fallback,False,promo0_s99
16,promo0,0,promo0_s99,promo0_other_needs_review,99,0.270623896401691,0.521536031845834,,,fallback,False,promo0_s99
17,promo0,0,promo0_s99,promo0_other_needs_review,99,0.1504039470290684,0.6401101459709069,,,fallback,False,promo0_s99
18,promo0,0,promo0_s01,promo0_high_risk_week3_inactive,1,0.7361876684470501,0.898257595997112,,,"gb_high_risk_top20,week3_inactive",False,promo0_s01
19,promo0,1,promo0_s99,promo0_other_needs_review,99,0.2650068437471155,0.6291609698955292,,,fallback,False,promo0_s99
20,promo0,1,promo0_s06,promo0_stable_usage_lower_risk,6,0.1130032888436817,0.2357354796847393,,,"gb_high_risk_top20,stable_usage",True,promo0_s05
21,promo0,1,promo0_s01,promo0_high_risk_week3_inactive,1,0.72846932083951,0.9501598999406924,,,"gb_high_risk_top20,week3_inactive",False,promo0_s01
22,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0564716926056323,0.0219061911602501,,,fallback,False,promo0_s99
23,promo0,0,promo0_s99,promo0_other_needs_review,99,0.2492333931539786,0.5927214300599659,,,fallback,False,promo0_s99
24,promo0,1,promo0_s06,promo0_stable_usage_lower_risk,6,0.0289033023613178,0.0166396367282521,,,"gb_high_risk_top20,stable_usage",True,promo0_s05
25,promo0,1,promo0_s99,promo0_other_needs_review,99,0.1528281317804102,0.4648808664854419,,,fallback,False,promo0_s99
26,promo0,1,promo0_s99,promo0_other_needs_review,99,0.2881789730990859,0.6016828592360545,,,fallback,False,promo0_s99
27,promo0,0,promo0_s99,promo0_other_needs_review,99,0.3196573003302515,0.7791696606700982,,,fallback,False,promo0_s99
28,promo0,1,promo0_s99,promo0_other_needs_review,99,0.1367731521053701,0.3297338031891865,,,fallback,False,promo0_s99
29,promo0,1,promo0_s99,promo0_other_needs_review,99,0.2723694218965097,0.5365194129979087,,,fallback,False,promo0_s99
30,promo0,1,promo0_s01,promo0_high_risk_week3_inactive,1,0.488244860761358,0.7136403383614706,,,"gb_high_risk_top20,week3_inactive",False,promo0_s01
31,promo0,1,promo0_s99,promo0_other_needs_review,99,0.2865820662720709,0.6155310429597485,,,fallback,False,promo0_s99
32,promo0,0,promo0_s99,promo0_other_needs_review,99,0.2614047549793536,0.4888274974232418,,,fallback,False,promo0_s99
33,promo0,1,promo0_s01,promo0_high_risk_week3_inactive,1,0.4698370117575275,0.5649663245513766,,,"gb_high_risk_top20,week3_inactive",False,promo0_s01
34,promo0,1,promo0_s99,promo0_other_needs_review,99,0.2103385068897924,0.4771566729683333,,,fallback,False,promo0_s99
35,promo0,1,promo0_s06,promo0_stable_usage_lower_risk,6,0.0176498441465496,0.0477035420221372,,,"gb_high_risk_top20,stable_usage",True,promo0_s05
36,promo0,0,promo0_s01,promo0_high_risk_week3_inactive,1,0.7633406618633698,0.9738438194140404,,,"gb_high_risk_top20,week3_inactive",False,promo0_s01
37,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0489147474401023,0.0864599674265522,,,fallback,False,promo0_s99
38,promo0,0,promo0_s01,promo0_high_risk_week3_inactive,1,0.7341656299205908,0.9172276353903746,,,"gb_high_risk_top20,week3_inactive",False,promo0_s01
39,promo0,1,promo0_s99,promo0_other_needs_review,99,0.4099014187964525,0.7743336569525154,,,fallback,False,promo0_s99
40,promo0,1,promo0_s99,promo0_other_needs_review,99,0.2173455450886295,0.2388880199843437,,,fallback,False,promo0_s99
41,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0571871226656061,0.0596472229067439,,,fallback,False,promo0_s99
42,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0522335367313396,0.1176871338266357,,,fallback,False,promo0_s99
43,promo0,1,promo0_s01,promo0_high_risk_week3_inactive,1,0.5388228338374476,0.7906429061503101,,,"gb_high_risk_top20,week3_inactive",False,promo0_s01
44,promo0,1,promo0_s99,promo0_other_needs_review,99,0.4259542401100277,0.9130125596564814,,,fallback,False,promo0_s99
45,promo0,1,promo0_s99,promo0_other_needs_review,99,0.1188165624115976,0.1196782254112299,,,fallback,False,promo0_s99
46,promo0,1,promo0_s99,promo0_other_needs_review,99,0.278751679322912,0.5499605496569608,,,fallback,False,promo0_s99
47,promo0,1,promo0_s06,promo0_stable_usage_lower_risk,6,0.0250221564641053,0.0483768160737241,,,"gb_high_risk_top20,stable_usage",True,promo0_s05
48,promo0,0,promo0_s01,promo0_high_risk_week3_inactive,1,0.6114420185383764,0.8699557384672485,,,"gb_high_risk_top20,week3_inactive",False,promo0_s01
49,promo0,1,promo0_s99,promo0_other_needs_review,99,0.3388975208112951,0.3566311396138497,,,fallback,False,promo0_s99
50,promo0,1,promo0_s01,promo0_high_risk_week3_inactive,1,0.7108176689422119,0.8443361997684435,,,"gb_high_risk_top20,week3_inactive",False,promo0_s01
51,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0618624028208376,0.022075411917105,,,fallback,False,promo0_s99
52,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0183269188771919,0.0414209418735,,,fallback,False,promo0_s99
53,promo0,1,promo0_s01,promo0_high_risk_week3_inactive,1,0.5776234810712971,0.9275756295986136,,,"gb_high_risk_top20,week3_inactive",False,promo0_s01
54,promo0,1,promo0_s99,promo0_other_needs_review,99,0.0635830171603037,0.2546376101379668,,,fallback,False,promo0_s99
