segment_id,promo_scope,priority_order,rule_expression,required_flags,risk_condition,behavior_condition,provisional_label,business_hypothesis,caveat,user_approval_required,hotfix_change_reason
promo1_s01,promo1,1,promo_scope=='promo1' AND gb_high_risk_top20==1 AND week3_inactive==1,"gb_high_risk_top20,week3_inactive",GB top20 high risk,week3 inactive,promo1_high_risk_week3_inactive,100won high-risk customers with no week3 activity may need near-renewal save review.,Provisional rule label. Not final segment name or final campaign target.,yes,unchanged from 17
promo1_s02,promo1,2,promo_scope=='promo1' AND gb_high_risk_top20==1 AND retention_decay==1,"gb_high_risk_top20,retention_decay",GB top20 high risk,retention decay,promo1_high_risk_retention_decay,100won high-risk customers with retention decay may need retention nudges.,Provisional rule label. Not final segment name or final campaign target.,yes,unchanged from 17
promo1_s03,promo1,3,promo_scope=='promo1' AND gb_high_risk_top20==1 AND (only_w1==1 OR cold_start_weak==1),"gb_high_risk_top20,only_w1,cold_start_weak",GB top20 high risk,only week1 or weak early activation,promo1_high_risk_only_w1_or_cold_start_weak,Weak early activation or only-week1 use may need onboarding reactivation.,Provisional rule label. Not final segment name or final campaign target.,yes,unchanged from 17
promo1_s04,promo1,4,promo_scope=='promo1' AND gb_high_risk_top20==1 AND low_activity==1,"gb_high_risk_top20,low_activity",GB top20 high risk,broad low activity,promo1_high_risk_low_activity,Broad low activity may need lightweight activation review.,Provisional rule label. Not final segment name or final campaign target.,yes,unchanged from 17
promo1_s05,promo1,5,promo_scope=='promo1' AND gb_high_risk_top20==1 AND genre_preference_clear==1,"gb_high_risk_top20,genre_preference_clear",GB top20 high risk,genre preference clear,promo1_high_risk_genre_preference_clear,"Genre preference signal can support recommendation profile, but content broad marker is excluded.",Provisional rule label. Not final segment name or final campaign target.,yes,content_preference_signal demoted because broad
promo1_s06,promo1,6,promo_scope=='promo1' AND gb_high_risk_top20==0 AND stable_usage==1,"gb_high_risk_top20,stable_usage",not GB top20 high risk,stable usage,promo1_stable_usage_lower_risk,"Lower-risk behavior pattern, not final loyal segment.",Provisional rule label. Not final segment name or final campaign target.,yes,unchanged from 17
promo1_s99,promo1,99,promo_scope=='promo1' AND no prior rule matched,,fallback,needs review,promo1_other_needs_review,Large unclassified group remains honest caveat.,Provisional rule label. Not final segment name or final campaign target.,yes,fallback preserved
promo0_s01,promo0,1,promo_scope=='promo0' AND gb_high_risk_top20==1 AND week3_inactive==1,"gb_high_risk_top20,week3_inactive",GB top20 high risk,week3 inactive,promo0_high_risk_week3_inactive,Comparison high-risk week3 inactive pattern.,Provisional rule label. Not final segment name or final campaign target.,yes,unchanged from 17
promo0_s02,promo0,2,promo_scope=='promo0' AND gb_high_risk_top20==1 AND retention_decay==1,"gb_high_risk_top20,retention_decay",GB top20 high risk,retention decay,promo0_high_risk_retention_decay,Comparison high-risk retention decay pattern.,Provisional rule label. Not final segment name or final campaign target.,yes,unchanged from 17
promo0_s03,promo0,3,promo_scope=='promo0' AND gb_high_risk_top20==1 AND (only_w1==1 OR cold_start_weak==1),"gb_high_risk_top20,only_w1,cold_start_weak",GB top20 high risk,only week1 or weak early activation,promo0_high_risk_only_w1_or_cold_start_weak,Comparison weak activation pattern.,Provisional rule label. Not final segment name or final campaign target.,yes,unchanged from 17
promo0_s04,promo0,4,promo_scope=='promo0' AND gb_high_risk_top20==1 AND low_activity==1,"gb_high_risk_top20,low_activity",GB top20 high risk,broad low activity,promo0_high_risk_low_activity,Comparison broad low activity pattern.,Provisional rule label. Not final segment name or final campaign target.,yes,unchanged from 17
promo0_s05,promo0,5,promo_scope=='promo0' AND gb_high_risk_top20==1 AND genre_preference_clear==1,"gb_high_risk_top20,genre_preference_clear",GB top20 high risk,genre preference clear,promo0_high_risk_genre_preference_clear,Comparison genre preference clear segment.,Provisional rule label. Not final segment name or final campaign target.,yes,content_preference_signal demoted because broad
promo0_s06,promo0,6,promo_scope=='promo0' AND gb_high_risk_top20==0 AND stable_usage==1,"gb_high_risk_top20,stable_usage",not GB top20 high risk,stable usage,promo0_stable_usage_lower_risk,Comparison lower-risk behavior pattern.,Provisional rule label. Not final segment name or final campaign target.,yes,priority adjusted after adding genre segment
promo0_s99,promo0,99,promo_scope=='promo0' AND no prior rule matched,,fallback,needs review,promo0_other_needs_review,Large unclassified group remains honest caveat.,Provisional rule label. Not final segment name or final campaign target.,yes,fallback preserved
