promo_scope,representative_segment_id,provisional_label,row_count,row_share_within_scope,actual_repurchase_rate,actual_churn_rate,mean_gb_churn_risk,median_gb_churn_risk,mean_lr_churn_risk,median_lr_churn_risk,gb_top20_share,lr_top20_share,gb_lr_both_top20_share,dominant_flags,primary_behavior_interpretation,other_needs_review_flag,user_approval_required,caveat
promo0,promo0_s01,promo0_high_risk_week3_inactive,1736,0.15509693558474047,0.3127880184331797,0.6872119815668203,0.6623917890006712,0.6592477110727855,0.8439935144270347,0.8756895588434748,1.0,0.8421658986175116,0.8421658986175116,week3_inactive:1.00:flag; retention_decay:0.80:flag; only_w1:0.57:flag; low_activity:0.79:flag; usage_concentrated:0.77:flag; genre_preference_clear:0.55:flag; content_preference_signal:0.99:broad_marker,week3 inactivity / near-renewal disengagement,no,yes,Provisional segment; descriptive not causal.
promo0,promo0_s02,promo0_high_risk_retention_decay,154,0.013758599124452783,0.3961038961038961,0.6038961038961039,0.5552055752052045,0.5307109226676083,0.7600324511756517,0.7858286993500823,1.0,0.7012987012987013,0.7012987012987013,retention_decay:1.00:flag; low_activity:0.31:flag; usage_concentrated:0.27:flag; content_preference_signal:0.97:broad_marker,log-retention decay,no,yes,Provisional segment; descriptive not causal.
promo0,promo0_s03,promo0_high_risk_only_w1_or_cold_start_weak,230,0.02054855713392299,0.21304347826086956,0.7869565217391304,0.6343099306579036,0.6056935064763348,0.8415961530595893,0.8683028278868319,1.0,0.8434782608695652,0.8434782608695652,cold_start_weak:1.00:flag; low_activity:0.99:flag; usage_concentrated:0.96:flag; genre_preference_clear:0.82:flag; content_preference_signal:1.00:broad_marker,only week1 or weak early activation,no,yes,Provisional segment; descriptive not causal.
promo0,promo0_s04,promo0_high_risk_low_activity,43,0.003841686768516037,0.4418604651162791,0.5581395348837209,0.5997995016124588,0.5761505087281121,0.7397959981826019,0.7482688297542552,1.0,0.5581395348837209,0.5581395348837209,low_activity:1.00:flag; usage_concentrated:0.58:flag; content_preference_signal:1.00:broad_marker,broad low activity,no,yes,Provisional segment; descriptive not causal.
promo0,promo0_s05,promo0_high_risk_genre_preference_clear,5,0.0004467077637809345,0.2,0.8,0.5638172728663062,0.571501038886843,0.8260900822979813,0.8707838820824034,1.0,0.8,0.8,genre_preference_clear:1.00:flag; content_preference_signal:1.00:broad_marker,genre preference clear; content broad marker demoted,no,yes,Provisional segment; descriptive not causal.
promo0,promo0_s06,promo0_stable_usage_lower_risk,2031,0.1814526936478156,0.9182668636139832,0.08173313638601676,0.08001897369265862,0.0508245370483301,0.1565218257814831,0.100875854378009,0.0,0.006893156080748399,0.0,content_preference_signal:0.93:broad_marker; stable_usage:1.00:flag,provisional lower-risk behavior pattern,no,yes,Provisional segment; descriptive not causal.
promo0,promo0_s99,promo0_other_needs_review,6994,0.6248548199767712,0.8577352016013726,0.14226479839862738,0.15411458284797294,0.11054798711041311,0.321768905795887,0.28316990832432254,0.010151558478696025,0.06191020875035745,0.006434086359736918,week3_inactive:0.34:flag; retention_decay:0.56:flag; cold_start_weak:0.46:flag; low_activity:0.48:flag; usage_concentrated:0.47:flag; genre_preference_clear:0.31:flag; content_preference_signal:0.98:broad_marker,additional validation needed,yes,yes,Provisional segment; descriptive not causal. other_needs_review exceeds 50%; segmentation identifies core risk/lower-risk patterns but leaves majority for additional review.
promo1,promo1_s01,promo1_high_risk_week3_inactive,1700,0.14280913978494625,0.25058823529411767,0.7494117647058823,0.7455318405606054,0.7445067230423814,0.8518196368213521,0.8782006278214246,1.0,0.8458823529411764,0.8458823529411764,week3_inactive:1.00:flag; retention_decay:0.81:flag; only_w1:0.55:flag; low_activity:0.79:flag; usage_concentrated:0.77:flag; genre_preference_clear:0.56:flag; content_preference_signal:1.00:broad_marker,week3 inactivity / near-renewal disengagement,no,yes,Provisional segment; descriptive not causal.
promo1,promo1_s02,promo1_high_risk_retention_decay,193,0.0162130376344086,0.3160621761658031,0.6839378238341969,0.6899049518433928,0.6829947439034436,0.7812812009613718,0.7978582296523129,1.0,0.694300518134715,0.694300518134715,retention_decay:1.00:flag; low_activity:0.32:flag; content_preference_signal:0.97:broad_marker,log-retention decay,no,yes,Provisional segment; descriptive not causal.
promo1,promo1_s03,promo1_high_risk_only_w1_or_cold_start_weak,329,0.0276377688172043,0.19756838905775076,0.8024316109422492,0.7325794384034274,0.7246920048818808,0.8407369575479215,0.8605929388560427,1.0,0.8358662613981763,0.8358662613981763,cold_start_weak:1.00:flag; low_activity:0.92:flag; usage_concentrated:0.89:flag; genre_preference_clear:0.75:flag; content_preference_signal:1.00:broad_marker,only week1 or weak early activation,no,yes,Provisional segment; descriptive not causal.
