evidence_item,related_segment_id,source_file,metric_or_field,value,interpretation,caveat
promo0_s01_row_count,promo0_s01,17_segment_summary_hotfix.csv,row_count,1736,row_count for promo0_high_risk_week3_inactive,"Descriptive evidence, not causal proof."
promo0_s01_row_share_within_scope,promo0_s01,17_segment_summary_hotfix.csv,row_share_within_scope,0.1550969355847404,row_share_within_scope for promo0_high_risk_week3_inactive,"Descriptive evidence, not causal proof."
promo0_s01_actual_repurchase_rate,promo0_s01,17_segment_summary_hotfix.csv,actual_repurchase_rate,0.3127880184331797,actual_repurchase_rate for promo0_high_risk_week3_inactive,"Descriptive evidence, not causal proof."
promo0_s01_actual_churn_rate,promo0_s01,17_segment_summary_hotfix.csv,actual_churn_rate,0.6872119815668203,actual_churn_rate for promo0_high_risk_week3_inactive,"Descriptive evidence, not causal proof."
promo0_s01_mean_gb_churn_risk,promo0_s01,17_segment_summary_hotfix.csv,mean_gb_churn_risk,0.6623917890006712,mean_gb_churn_risk for promo0_high_risk_week3_inactive,"Descriptive evidence, not causal proof."
promo0_s01_gb_lr_both_top20_share,promo0_s01,17_segment_summary_hotfix.csv,gb_lr_both_top20_share,0.8421658986175116,gb_lr_both_top20_share for promo0_high_risk_week3_inactive,"Descriptive evidence, not causal proof."
promo0_s01_dominant_flags,promo0_s01,17_segment_summary_hotfix.csv,dominant_flags,week3_inactive:1.00:flag; retention_decay:0.80:flag; only_w1:0.57:flag; low_activity:0.79:flag; usage_concentrated:0.77:flag; genre_preference_clear:0.55:flag; content_preference_signal:0.99:broad_marker,dominant_flags for promo0_high_risk_week3_inactive,"Descriptive evidence, not causal proof."
promo0_s02_row_count,promo0_s02,17_segment_summary_hotfix.csv,row_count,154,row_count for promo0_high_risk_retention_decay,"Descriptive evidence, not causal proof."
promo0_s02_row_share_within_scope,promo0_s02,17_segment_summary_hotfix.csv,row_share_within_scope,0.0137585991244527,row_share_within_scope for promo0_high_risk_retention_decay,"Descriptive evidence, not causal proof."
promo0_s02_actual_repurchase_rate,promo0_s02,17_segment_summary_hotfix.csv,actual_repurchase_rate,0.3961038961038961,actual_repurchase_rate for promo0_high_risk_retention_decay,"Descriptive evidence, not causal proof."
promo0_s02_actual_churn_rate,promo0_s02,17_segment_summary_hotfix.csv,actual_churn_rate,0.6038961038961039,actual_churn_rate for promo0_high_risk_retention_decay,"Descriptive evidence, not causal proof."
promo0_s02_mean_gb_churn_risk,promo0_s02,17_segment_summary_hotfix.csv,mean_gb_churn_risk,0.5552055752052045,mean_gb_churn_risk for promo0_high_risk_retention_decay,"Descriptive evidence, not causal proof."
promo0_s02_gb_lr_both_top20_share,promo0_s02,17_segment_summary_hotfix.csv,gb_lr_both_top20_share,0.7012987012987013,gb_lr_both_top20_share for promo0_high_risk_retention_decay,"Descriptive evidence, not causal proof."
promo0_s02_dominant_flags,promo0_s02,17_segment_summary_hotfix.csv,dominant_flags,retention_decay:1.00:flag; low_activity:0.31:flag; usage_concentrated:0.27:flag; content_preference_signal:0.97:broad_marker,dominant_flags for promo0_high_risk_retention_decay,"Descriptive evidence, not causal proof."
promo0_s03_row_count,promo0_s03,17_segment_summary_hotfix.csv,row_count,230,row_count for promo0_high_risk_only_w1_or_cold_start_weak,"Descriptive evidence, not causal proof."
promo0_s03_row_share_within_scope,promo0_s03,17_segment_summary_hotfix.csv,row_share_within_scope,0.0205485571339229,row_share_within_scope for promo0_high_risk_only_w1_or_cold_start_weak,"Descriptive evidence, not causal proof."
promo0_s03_actual_repurchase_rate,promo0_s03,17_segment_summary_hotfix.csv,actual_repurchase_rate,0.2130434782608695,actual_repurchase_rate for promo0_high_risk_only_w1_or_cold_start_weak,"Descriptive evidence, not causal proof."
promo0_s03_actual_churn_rate,promo0_s03,17_segment_summary_hotfix.csv,actual_churn_rate,0.7869565217391304,actual_churn_rate for promo0_high_risk_only_w1_or_cold_start_weak,"Descriptive evidence, not causal proof."
promo0_s03_mean_gb_churn_risk,promo0_s03,17_segment_summary_hotfix.csv,mean_gb_churn_risk,0.6343099306579036,mean_gb_churn_risk for promo0_high_risk_only_w1_or_cold_start_weak,"Descriptive evidence, not causal proof."
promo0_s03_gb_lr_both_top20_share,promo0_s03,17_segment_summary_hotfix.csv,gb_lr_both_top20_share,0.8434782608695652,gb_lr_both_top20_share for promo0_high_risk_only_w1_or_cold_start_weak,"Descriptive evidence, not causal proof."
promo0_s03_dominant_flags,promo0_s03,17_segment_summary_hotfix.csv,dominant_flags,cold_start_weak:1.00:flag; low_activity:0.99:flag; usage_concentrated:0.96:flag; genre_preference_clear:0.82:flag; content_preference_signal:1.00:broad_marker,dominant_flags for promo0_high_risk_only_w1_or_cold_start_weak,"Descriptive evidence, not causal proof."
promo0_s04_row_count,promo0_s04,17_segment_summary_hotfix.csv,row_count,43,row_count for promo0_high_risk_low_activity,"Descriptive evidence, not causal proof."
promo0_s04_row_share_within_scope,promo0_s04,17_segment_summary_hotfix.csv,row_share_within_scope,0.003841686768516,row_share_within_scope for promo0_high_risk_low_activity,"Descriptive evidence, not causal proof."
promo0_s04_actual_repurchase_rate,promo0_s04,17_segment_summary_hotfix.csv,actual_repurchase_rate,0.4418604651162791,actual_repurchase_rate for promo0_high_risk_low_activity,"Descriptive evidence, not causal proof."
promo0_s04_actual_churn_rate,promo0_s04,17_segment_summary_hotfix.csv,actual_churn_rate,0.5581395348837209,actual_churn_rate for promo0_high_risk_low_activity,"Descriptive evidence, not causal proof."
promo0_s04_mean_gb_churn_risk,promo0_s04,17_segment_summary_hotfix.csv,mean_gb_churn_risk,0.5997995016124588,mean_gb_churn_risk for promo0_high_risk_low_activity,"Descriptive evidence, not causal proof."
promo0_s04_gb_lr_both_top20_share,promo0_s04,17_segment_summary_hotfix.csv,gb_lr_both_top20_share,0.5581395348837209,gb_lr_both_top20_share for promo0_high_risk_low_activity,"Descriptive evidence, not causal proof."
promo0_s04_dominant_flags,promo0_s04,17_segment_summary_hotfix.csv,dominant_flags,low_activity:1.00:flag; usage_concentrated:0.58:flag; content_preference_signal:1.00:broad_marker,dominant_flags for promo0_high_risk_low_activity,"Descriptive evidence, not causal proof."
promo0_s05_row_count,promo0_s05,17_segment_summary_hotfix.csv,row_count,5,row_count for promo0_high_risk_genre_preference_clear,"Descriptive evidence, not causal proof."
promo0_s05_row_share_within_scope,promo0_s05,17_segment_summary_hotfix.csv,row_share_within_scope,0.0004467077637809,row_share_within_scope for promo0_high_risk_genre_preference_clear,"Descriptive evidence, not causal proof."
promo0_s05_actual_repurchase_rate,promo0_s05,17_segment_summary_hotfix.csv,actual_repurchase_rate,0.2,actual_repurchase_rate for promo0_high_risk_genre_preference_clear,"Descriptive evidence, not causal proof."
promo0_s05_actual_churn_rate,promo0_s05,17_segment_summary_hotfix.csv,actual_churn_rate,0.8,actual_churn_rate for promo0_high_risk_genre_preference_clear,"Descriptive evidence, not causal proof."
