proposed_segment_family,promo_scope,proposed_rule_summary,estimated_row_count,estimated_share,source_segments_merged,retained_subsignals,actual_churn_rate,mean_gb_churn_risk,min_n_status,actionability_status,representative_status,business_rationale,caveat,user_approval_required
high_risk_activation_or_low_engagement,promo0,See revised assignment simulation rule reason; rule is provisional and review-only.,273,0.024390243902439025,promo0_s03; promo0_s04; promo1_s03; promo1_s04,content_context_marker; genre_action_cue; low_activity_subsignal,0.7509157509157509,0.6288742220536759,small_provisional_subsignal,simulation_requires_review,subsignal_only,This family groups behaviorally similar small signals so presentation and action design are more defensible.,Proposal does not replace official assignment before user approval.,yes
high_risk_week3_inactivity_or_retention_decay,promo0,See revised assignment simulation rule reason; rule is provisional and review-only.,1890,0.16885553470919323,promo0_s01; promo0_s02; promo1_s01; promo1_s02,content_context_marker; genre_action_cue; low_activity_subsignal; retention_decay_subsignal,0.6804232804232804,0.6536580975062257,pass_representative_candidate,representative_candidate,representative_candidate_after_review,This family groups behaviorally similar small signals so presentation and action design are more defensible.,Proposal does not replace official assignment before user approval.,yes
mid_risk_retention_watchlist,promo0,See revised assignment simulation rule reason; rule is provisional and review-only.,1195,0.10676315554364335,row-level revised simulation from behavior flags,content_context_marker; genre_action_cue; low_activity_subsignal; none; retention_decay_subsignal,0.4167364016736401,0.363418208732066,pass_representative_candidate,representative_candidate,representative_candidate_after_review,This family groups behaviorally similar small signals so presentation and action design are more defensible.,Proposal does not replace official assignment before user approval.,yes
other_needs_review_residual,promo0,See revised assignment simulation rule reason; rule is provisional and review-only.,5869,0.5243455731260609,promo0_s99; promo1_s99,content_context_marker; genre_action_cue; low_activity_subsignal; none; retention_decay_subsignal,0.09081615266655307,0.11396448404567104,pass_representative_candidate,simulation_requires_review,needs_user_review,This family groups behaviorally similar small signals so presentation and action design are more defensible.,Proposal does not replace official assignment before user approval.,yes
stable_usage_lower_risk,promo0,See revised assignment simulation rule reason; rule is provisional and review-only.,1966,0.17564549271866345,promo0_s06; promo1_s06,content_context_marker; genre_action_cue; low_activity_subsignal; none,0.06815869786368256,0.07124755751474146,pass_representative_candidate,representative_candidate,representative_candidate_after_review,This family groups behaviorally similar small signals so presentation and action design are more defensible.,Proposal does not replace official assignment before user approval.,yes
high_risk_activation_or_low_engagement,promo1,See revised assignment simulation rule reason; rule is provisional and review-only.,370,0.031081989247311828,promo0_s03; promo0_s04; promo1_s03; promo1_s04,content_context_marker; genre_action_cue; low_activity_subsignal,0.7837837837837838,0.7316822234905475,pass_representative_candidate,representative_candidate,representative_candidate_after_review,This family groups behaviorally similar small signals so presentation and action design are more defensible.,Proposal does not replace official assignment before user approval.,yes
high_risk_week3_inactivity_or_retention_decay,promo1,See revised assignment simulation rule reason; rule is provisional and review-only.,1893,0.15902217741935484,promo0_s01; promo0_s02; promo1_s01; promo1_s02,content_context_marker; genre_action_cue; low_activity_subsignal; retention_decay_subsignal,0.7427363972530375,0.7398604250706836,pass_representative_candidate,representative_candidate,representative_candidate_after_review,This family groups behaviorally similar small signals so presentation and action design are more defensible.,Proposal does not replace official assignment before user approval.,yes
mid_risk_retention_watchlist,promo1,See revised assignment simulation rule reason; rule is provisional and review-only.,1309,0.10996303763440861,row-level revised simulation from behavior flags,content_context_marker; genre_action_cue; low_activity_subsignal; none; retention_decay_subsignal,0.6012223071046601,0.5276278228661327,pass_representative_candidate,representative_candidate,representative_candidate_after_review,This family groups behaviorally similar small signals so presentation and action design are more defensible.,Proposal does not replace official assignment before user approval.,yes
other_needs_review_residual,promo1,See revised assignment simulation rule reason; rule is provisional and review-only.,6333,0.5320060483870968,promo0_s99; promo1_s99,content_context_marker; genre_action_cue; low_activity_subsignal; none; retention_decay_subsignal,0.18079898942049577,0.19405525397587636,pass_representative_candidate,simulation_requires_review,needs_user_review,This family groups behaviorally similar small signals so presentation and action design are more defensible.,Proposal does not replace official assignment before user approval.,yes
stable_usage_lower_risk,promo1,See revised assignment simulation rule reason; rule is provisional and review-only.,1999,0.16792674731182797,promo0_s06; promo1_s06,content_context_marker; genre_action_cue; low_activity_subsignal; none,0.11955977988994493,0.13410977138878546,pass_representative_candidate,representative_candidate,representative_candidate_after_review,This family groups behaviorally similar small signals so presentation and action design are more defensible.,Proposal does not replace official assignment before user approval.,yes
