promo_scope,representative_segment_id,provisional_label,row_count,row_share_within_scope,actual_repurchase_rate,actual_churn_rate,scope_actual_churn_rate,churn_lift_vs_scope,mean_gb_churn_risk,scope_mean_gb_churn_risk,risk_lift_vs_scope,target_entropy,normalized_entropy,gb_lr_top20_overlap_share,dominant_behavior_flags,actionability_status,min_n_status,recommended_segment_status,reason
promo0,promo0_s01,promo0_high_risk_week3_inactive,1736,0.15509693558474047,0.3127880184331797,0.6872119815668203,0.23729116412043239,2.89607067382433,0.6623917890006712,0.2367829430251286,2.7974641270100897,0.8963655760400004,0.8963655760400004,0.8421658986175116,week3_inactive:1.00:flag; retention_decay:0.80:flag; only_w1:0.57:flag; low_activity:0.79:flag; genre_preference_clear:0.55:flag; content_preference_signal:0.99:broad_marker,business_action_candidate,pass_representative_candidate,keep_as_representative,"high_risk_week3_inactivity_or_retention_decay; n_status=pass_representative_candidate; content_preference_signal treated as broad marker, not representative discriminator."
promo0,promo0_s02,promo0_high_risk_retention_decay,154,0.013758599124452783,0.3961038961038961,0.6038961038961039,0.23729116412043239,2.5449582420591463,0.5552055752052045,0.2367829430251286,2.344787036227873,0.9686258457313754,0.9686258457313754,0.7012987012987013,retention_decay:1.00:flag; low_activity:0.31:flag; content_preference_signal:0.97:broad_marker,usable_as_subsignal_not_representative,small_provisional_subsignal,merge_into_behavior_family,"high_risk_week3_inactivity_or_retention_decay; n_status=small_provisional_subsignal; content_preference_signal treated as broad marker, not representative discriminator."
promo0,promo0_s03,promo0_high_risk_only_w1_or_cold_start_weak,230,0.02054855713392299,0.21304347826086956,0.7869565217391304,0.23729116412043239,3.3164172996333163,0.6343099306579036,0.2367829430251286,2.6788666554861913,0.7472601034500039,0.7472601034500039,0.8434782608695652,cold_start_weak:1.00:flag; low_activity:0.99:flag; genre_preference_clear:0.82:flag; content_preference_signal:1.00:broad_marker,usable_as_subsignal_not_representative,small_provisional_subsignal,merge_into_behavior_family,"high_risk_activation_or_low_engagement; n_status=small_provisional_subsignal; content_preference_signal treated as broad marker, not representative discriminator."
promo0,promo0_s04,promo0_high_risk_low_activity,43,0.003841686768516037,0.4418604651162791,0.5581395348837209,0.23729116412043239,2.352129448024657,0.5997995016124588,0.2367829430251286,2.533119548010707,0.9902246902198684,0.9902246902198684,0.5581395348837209,low_activity:1.00:flag; content_preference_signal:1.00:broad_marker,usable_as_subsignal_not_representative,rare_pattern_note,merge_into_behavior_family,"high_risk_activation_or_low_engagement; n_status=rare_pattern_note; content_preference_signal treated as broad marker, not representative discriminator."
promo0,promo0_s05,promo0_high_risk_genre_preference_clear,5,0.0004467077637809345,0.2,0.8,0.23729116412043239,3.3713855421686754,0.5638172728663062,0.2367829430251286,2.3811566224450176,0.7219280948873623,0.7219280948873623,0.8,genre_preference_clear:1.00:flag; content_preference_signal:1.00:broad_marker,case_note_only,case_note_only,demote_to_profile_note,"genre_or_content_action_cue; n_status=case_note_only; content_preference_signal treated as broad marker, not representative discriminator."
promo0,promo0_s06,promo0_stable_usage_lower_risk,2031,0.1814526936478156,0.9182668636139832,0.08173313638601676,0.23729116412043239,0.3444423929098967,0.08001897369265862,0.2367829430251286,0.3379423055999714,0.40825675603197836,0.40825675603197836,0.0,stable_usage:1.00:flag; content_preference_signal:0.93:broad_marker,business_action_candidate,pass_representative_candidate,keep_as_representative,"stable_usage_lower_risk; n_status=pass_representative_candidate; content_preference_signal treated as broad marker, not representative discriminator."
promo0,promo0_s99,promo0_other_needs_review,6994,0.6248548199767712,0.8577352016013726,0.14226479839862738,0.23729116412043239,0.599536855600842,0.15411458284797294,0.2367829430251286,0.6508686009178353,0.5901395209953557,0.5901395209953557,0.006434086359736918,week3_inactive:0.34:flag; retention_decay:0.56:flag; cold_start_weak:0.46:flag; low_activity:0.48:flag; genre_preference_clear:0.31:flag; content_preference_signal:0.98:broad_marker,residual_requires_review,pass_representative_candidate,keep_as_other_needs_review,"other_needs_review_residual; n_status=pass_representative_candidate; content_preference_signal treated as broad marker, not representative discriminator."
promo1,promo1_s01,promo1_high_risk_week3_inactive,1700,0.14280913978494625,0.25058823529411767,0.7494117647058823,0.3248487903225806,2.306955688404144,0.7455318405606054,0.3241750994554336,2.2997813274769996,0.8122091248305148,0.8122091248305148,0.8458823529411764,week3_inactive:1.00:flag; retention_decay:0.81:flag; only_w1:0.55:flag; low_activity:0.79:flag; genre_preference_clear:0.56:flag; content_preference_signal:1.00:broad_marker,business_action_candidate,pass_representative_candidate,keep_as_representative,"high_risk_week3_inactivity_or_retention_decay; n_status=pass_representative_candidate; content_preference_signal treated as broad marker, not representative discriminator."
promo1,promo1_s02,promo1_high_risk_retention_decay,193,0.0162130376344086,0.3160621761658031,0.6839378238341969,0.3248487903225806,2.1054036345803673,0.6899049518433928,0.3241750994554336,2.128186134599269,0.9000477038657388,0.9000477038657388,0.694300518134715,retention_decay:1.00:flag; low_activity:0.32:flag; content_preference_signal:0.97:broad_marker,usable_as_subsignal_not_representative,small_provisional_subsignal,merge_into_behavior_family,"high_risk_week3_inactivity_or_retention_decay; n_status=small_provisional_subsignal; content_preference_signal treated as broad marker, not representative discriminator."
promo1,promo1_s03,promo1_high_risk_only_w1_or_cold_start_weak,329,0.0276377688172043,0.19756838905775076,0.8024316109422492,0.3248487903225806,2.4701696138237743,0.7325794384034274,0.3241750994554336,2.2598263704832755,0.7170381343508,0.7170381343508,0.8358662613981763,cold_start_weak:1.00:flag; low_activity:0.92:flag; genre_preference_clear:0.75:flag; content_preference_signal:1.00:broad_marker,business_action_candidate,pass_representative_candidate,keep_as_representative,"high_risk_activation_or_low_engagement; n_status=pass_representative_candidate; content_preference_signal treated as broad marker, not representative discriminator."
promo1,promo1_s04,promo1_high_risk_low_activity,41,0.003444220430107527,0.36585365853658536,0.6341463414634146,0.3248487903225806,1.9521277602225209,0.7244826208969499,0.3241750994554336,2.2348496911513993,0.9474351361840306,0.9474351361840306,0.7073170731707317,low_activity:1.00:flag; content_preference_signal:1.00:broad_marker,usable_as_subsignal_not_representative,rare_pattern_note,merge_into_behavior_family,"high_risk_activation_or_low_engagement; n_status=rare_pattern_note; content_preference_signal treated as broad marker, not representative discriminator."
promo1,promo1_s05,promo1_high_risk_genre_preference_clear,11,0.0009240591397849463,0.18181818181818182,0.8181818181818181,0.3248487903225806,2.518654347979406,0.6914571555461664,0.3241750994554336,2.1329742990985814,0.6840384356390419,0.6840384356390419,0.9090909090909091,genre_preference_clear:1.00:flag; content_preference_signal:0.91:broad_marker,case_note_only,case_note_only,demote_to_profile_note,"genre_or_content_action_cue; n_status=case_note_only; content_preference_signal treated as broad marker, not representative discriminator."
promo1,promo1_s06,promo1_stable_usage_lower_risk,2086,0.17523521505376344,0.8552253116011506,0.14477468839884944,0.3248487903225806,0.4456679313938205,0.1497336324006249,0.3241750994554336,0.46189122067720606,0.5966079809981945,0.5966079809981945,0.0,stable_usage:1.00:flag; content_preference_signal:0.91:broad_marker,business_action_candidate,pass_representative_candidate,keep_as_representative,"stable_usage_lower_risk; n_status=pass_representative_candidate; content_preference_signal treated as broad marker, not representative discriminator."
promo1,promo1_s99,promo1_other_needs_review,7544,0.633736559139785,0.7534464475079533,0.2465535524920467,0.3248487903225806,0.7589794385480538,0.24758109632402753,0.3241750994554336,0.7637264451832583,0.8057697963846147,0.8057697963846147,0.008085896076352067,week3_inactive:0.34:flag; retention_decay:0.55:flag; cold_start_weak:0.46:flag; low_activity:0.47:flag; genre_preference_clear:0.32:flag; content_preference_signal:0.98:broad_marker,residual_requires_review,pass_representative_candidate,keep_as_other_needs_review,"other_needs_review_residual; n_status=pass_representative_candidate; content_preference_signal treated as broad marker, not representative discriminator."
