evidence_item,related_scope,related_segment_or_family,source_file,metric_or_field,value,interpretation,caveat
content_preference_signal_prevalence,all,all,17_content_preference_signal_audit.csv,content_preference_signal_rate,0.9705156513832964,Broad marker; demoted from representative rule.,Use as profile/action cue only.
content_preference_signal_prevalence,promo0,all,17_content_preference_signal_audit.csv,content_preference_signal_rate,0.972750826409363,Broad marker; demoted from representative rule.,Use as profile/action cue only.
content_preference_signal_prevalence,promo1,all,17_content_preference_signal_audit.csv,content_preference_signal_rate,0.9684139784946236,Broad marker; demoted from representative rule.,Use as profile/action cue only.
content_preference_signal_prevalence,promo0,promo0_s01,17_content_preference_signal_audit.csv,content_preference_signal_rate,0.994815668202765,Broad marker; demoted from representative rule.,Use as profile/action cue only.
content_preference_signal_prevalence,promo0,promo0_s02,17_content_preference_signal_audit.csv,content_preference_signal_rate,0.974025974025974,Broad marker; demoted from representative rule.,Use as profile/action cue only.
content_preference_signal_prevalence,promo0,promo0_s03,17_content_preference_signal_audit.csv,content_preference_signal_rate,1.0,Broad marker; demoted from representative rule.,Use as profile/action cue only.
content_preference_signal_prevalence,promo0,promo0_s04,17_content_preference_signal_audit.csv,content_preference_signal_rate,1.0,Broad marker; demoted from representative rule.,Use as profile/action cue only.
content_preference_signal_prevalence,promo0,promo0_s05,17_content_preference_signal_audit.csv,content_preference_signal_rate,0.9276218611521418,Broad marker; demoted from representative rule.,Use as profile/action cue only.
content_preference_signal_prevalence,promo0,promo0_s99,17_content_preference_signal_audit.csv,content_preference_signal_rate,0.97928275467924,Broad marker; demoted from representative rule.,Use as profile/action cue only.
content_preference_signal_prevalence,promo1,promo1_s01,17_content_preference_signal_audit.csv,content_preference_signal_rate,0.9976470588235294,Broad marker; demoted from representative rule.,Use as profile/action cue only.
content_preference_signal_prevalence,promo1,promo1_s02,17_content_preference_signal_audit.csv,content_preference_signal_rate,0.9689119170984456,Broad marker; demoted from representative rule.,Use as profile/action cue only.
content_preference_signal_prevalence,promo1,promo1_s03,17_content_preference_signal_audit.csv,content_preference_signal_rate,1.0,Broad marker; demoted from representative rule.,Use as profile/action cue only.
