promo_scope,revised_segment_family,row_count,row_share_within_scope,actual_repurchase_rate,actual_churn_rate,mean_gb_churn_risk,median_gb_churn_risk,dominant_flags,retained_subsignals,actionability_status,caveat
promo0,high_risk_activation_or_low_engagement,273,0.024390243902439025,0.2490842490842491,0.7509157509157509,0.6288742220536759,0.5988338879147148,cold_start_weak:0.84:flag; low_activity:0.99:flag; genre_preference_clear:0.73:flag; content_preference_signal:1.00:broad_marker,content_context_marker; genre_action_cue; low_activity_subsignal,simulation_requires_review,Revised assignment is a simulation until user approval.
promo0,high_risk_week3_inactivity_or_retention_decay,1890,0.16885553470919323,0.31957671957671957,0.6804232804232804,0.6536580975062257,0.64639538646401,week3_inactive:0.92:flag; retention_decay:0.81:flag; only_w1:0.52:flag; low_activity:0.75:flag; genre_preference_clear:0.52:flag; content_preference_signal:0.99:broad_marker,content_context_marker; genre_action_cue; low_activity_subsignal; retention_decay_subsignal,representative_candidate,Revised assignment is a simulation until user approval.
promo0,mid_risk_retention_watchlist,1195,0.10676315554364335,0.5832635983263599,0.4167364016736401,0.363418208732066,0.3535763315250902,week3_inactive:0.56:flag; retention_decay:0.62:flag; cold_start_weak:0.29:flag; low_activity:0.51:flag; genre_preference_clear:0.32:flag; content_preference_signal:0.98:broad_marker,content_context_marker; genre_action_cue; low_activity_subsignal; none; retention_decay_subsignal,representative_candidate,Revised assignment is a simulation until user approval.
promo0,other_needs_review_residual,5869,0.5243455731260609,0.9091838473334469,0.09081615266655307,0.11396448404567104,0.0830382457190175,week3_inactive:0.30:flag; retention_decay:0.54:flag; cold_start_weak:0.49:flag; low_activity:0.47:flag; genre_preference_clear:0.31:flag; content_preference_signal:0.98:broad_marker,content_context_marker; genre_action_cue; low_activity_subsignal; none; retention_decay_subsignal,simulation_requires_review,Revised assignment is a simulation until user approval.
promo0,stable_usage_lower_risk,1966,0.17564549271866345,0.9318413021363174,0.06815869786368256,0.07124755751474146,0.0490279810186214,stable_usage:1.00:flag; content_preference_signal:0.93:broad_marker,content_context_marker; genre_action_cue; low_activity_subsignal; none,representative_candidate,Revised assignment is a simulation until user approval.
promo1,high_risk_activation_or_low_engagement,370,0.031081989247311828,0.21621621621621623,0.7837837837837838,0.7316822234905475,0.724325503791498,cold_start_weak:0.89:flag; low_activity:0.93:flag; genre_preference_clear:0.68:flag; content_preference_signal:1.00:broad_marker,content_context_marker; genre_action_cue; low_activity_subsignal,representative_candidate,Revised assignment is a simulation until user approval.
promo1,high_risk_week3_inactivity_or_retention_decay,1893,0.15902217741935484,0.25726360274696247,0.7427363972530375,0.7398604250706836,0.7352377098150011,week3_inactive:0.90:flag; retention_decay:0.83:flag; only_w1:0.49:flag; low_activity:0.74:flag; genre_preference_clear:0.52:flag; content_preference_signal:0.99:broad_marker,content_context_marker; genre_action_cue; low_activity_subsignal; retention_decay_subsignal,representative_candidate,Revised assignment is a simulation until user approval.
promo1,mid_risk_retention_watchlist,1309,0.10996303763440861,0.39877769289533993,0.6012223071046601,0.5276278228661327,0.5188995196928019,week3_inactive:0.48:flag; retention_decay:0.57:flag; cold_start_weak:0.28:flag; low_activity:0.47:flag; genre_preference_clear:0.32:flag; content_preference_signal:0.98:broad_marker,content_context_marker; genre_action_cue; low_activity_subsignal; none; retention_decay_subsignal,representative_candidate,Revised assignment is a simulation until user approval.
promo1,other_needs_review_residual,6333,0.5320060483870968,0.8192010105795042,0.18079898942049577,0.19405525397587636,0.1656291520558634,week3_inactive:0.31:flag; retention_decay:0.54:flag; cold_start_weak:0.49:flag; low_activity:0.46:flag; genre_preference_clear:0.31:flag; content_preference_signal:0.98:broad_marker,content_context_marker; genre_action_cue; low_activity_subsignal; none; retention_decay_subsignal,simulation_requires_review,Revised assignment is a simulation until user approval.
promo1,stable_usage_lower_risk,1999,0.16792674731182797,0.8804402201100551,0.11955977988994493,0.13410977138878546,0.1014439623038983,stable_usage:1.00:flag; content_preference_signal:0.91:broad_marker,content_context_marker; genre_action_cue; low_activity_subsignal; none,representative_candidate,Revised assignment is a simulation until user approval.
