promo_scope,original_segment_id,original_row_count,min_n_status,recommended_action,merge_target_segment_family,preserved_as_subsignal,business_reason,caveat
promo0,promo0_s01,1736,pass_representative_candidate,keep_representative,high_risk_week3_inactivity_or_retention_decay,not_demoted,Small segments are retained as evidence but not promoted to representative business segments unless they pass minimum size and actionability.,"This is a proposal for user review, not a final assignment change."
promo0,promo0_s02,154,small_provisional_subsignal,merge_to_retention_inactivity_family,high_risk_week3_inactivity_or_retention_decay,retention_decay_subsignal,Small segments are retained as evidence but not promoted to representative business segments unless they pass minimum size and actionability.,"This is a proposal for user review, not a final assignment change."
promo0,promo0_s03,230,small_provisional_subsignal,merge_to_activation_low_engagement_family,high_risk_activation_or_low_engagement,low_activity_or_cold_start_subsignal,Small segments are retained as evidence but not promoted to representative business segments unless they pass minimum size and actionability.,"This is a proposal for user review, not a final assignment change."
promo0,promo0_s04,43,rare_pattern_note,merge_to_activation_low_engagement_family,high_risk_activation_or_low_engagement,low_activity_or_cold_start_subsignal,Small segments are retained as evidence but not promoted to representative business segments unless they pass minimum size and actionability.,"This is a proposal for user review, not a final assignment change."
promo0,promo0_s05,5,case_note_only,demote_to_genre_action_cue,profile_action_personalization_layer,genre_action_cue,Small segments are retained as evidence but not promoted to representative business segments unless they pass minimum size and actionability.,"This is a proposal for user review, not a final assignment change."
promo0,promo0_s06,2031,pass_representative_candidate,keep_representative,stable_usage_lower_risk,not_demoted,Small segments are retained as evidence but not promoted to representative business segments unless they pass minimum size and actionability.,"This is a proposal for user review, not a final assignment change."
promo0,promo0_s99,6994,pass_representative_candidate,keep_as_needs_review,other_needs_review_residual,residual_review_bucket,Small segments are retained as evidence but not promoted to representative business segments unless they pass minimum size and actionability.,"This is a proposal for user review, not a final assignment change."
promo1,promo1_s01,1700,pass_representative_candidate,keep_representative,high_risk_week3_inactivity_or_retention_decay,not_demoted,Small segments are retained as evidence but not promoted to representative business segments unless they pass minimum size and actionability.,"This is a proposal for user review, not a final assignment change."
promo1,promo1_s02,193,small_provisional_subsignal,merge_to_retention_inactivity_family,high_risk_week3_inactivity_or_retention_decay,retention_decay_subsignal,Small segments are retained as evidence but not promoted to representative business segments unless they pass minimum size and actionability.,"This is a proposal for user review, not a final assignment change."
promo1,promo1_s03,329,pass_representative_candidate,keep_representative,high_risk_activation_or_low_engagement,not_demoted,Small segments are retained as evidence but not promoted to representative business segments unless they pass minimum size and actionability.,"This is a proposal for user review, not a final assignment change."
promo1,promo1_s04,41,rare_pattern_note,merge_to_activation_low_engagement_family,high_risk_activation_or_low_engagement,low_activity_or_cold_start_subsignal,Small segments are retained as evidence but not promoted to representative business segments unless they pass minimum size and actionability.,"This is a proposal for user review, not a final assignment change."
promo1,promo1_s05,11,case_note_only,demote_to_genre_action_cue,profile_action_personalization_layer,genre_action_cue,Small segments are retained as evidence but not promoted to representative business segments unless they pass minimum size and actionability.,"This is a proposal for user review, not a final assignment change."
promo1,promo1_s06,2086,pass_representative_candidate,keep_representative,stable_usage_lower_risk,not_demoted,Small segments are retained as evidence but not promoted to representative business segments unless they pass minimum size and actionability.,"This is a proposal for user review, not a final assignment change."
promo1,promo1_s99,7544,pass_representative_candidate,keep_as_needs_review,other_needs_review_residual,residual_review_bucket,Small segments are retained as evidence but not promoted to representative business segments unless they pass minimum size and actionability.,"This is a proposal for user review, not a final assignment change."
