row_id,promo_scope,is_repurchase,previous_segment_id,revised_segment_family,revised_assignment_reason,gb_churn_risk_score_oof,lr_churn_risk_score_oof,key_flags,retained_subsignals,user_approval_required
0,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.279608029249159,0.5515820166388248,week3_inactive;cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
1,promo0,0,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2536669955485878,0.5354092196845048,week3_inactive;cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
2,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1765590612694076,0.7071312343048948,week3_inactive;retention_decay;cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
3,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0216402583358897,0.0154918413810879,retention_decay;cold_start_weak;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
4,promo0,1,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.4988197839929712,0.7943558095562772,week3_inactive;retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
5,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1737822033714096,0.292871860201144,week3_inactive;retention_decay;low_activity;content_preference_signal,content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
6,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0241789285991412,0.1000243858180917,content_preference_signal,content_context_marker,yes
7,promo0,1,promo0_s06,mid_risk_retention_watchlist,GB top30 residual watchlist after higher priority rules,0.393263981357101,0.5723349311517063,stable_usage;content_preference_signal,content_context_marker,yes
8,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0601216076423098,0.1469220680679003,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
9,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2746547590801321,0.5492300760308394,week3_inactive;cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
10,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1877433761815747,0.387121532738511,retention_decay;cold_start_weak;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
11,promo0,0,promo0_s06,stable_usage_lower_risk,Stable usage without GB top20 high-risk flag,0.0988027698671656,0.5902511437345516,stable_usage;content_preference_signal,content_context_marker,yes
12,promo0,0,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1608122030879576,0.423617561965987,cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
13,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1706861805806606,0.2916752887311226,week3_inactive;retention_decay;cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
14,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0901898857015731,0.2306091466023676,retention_decay;content_preference_signal,content_context_marker;retention_decay_subsignal,yes
15,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.0384810691761983,0.0420385813354005,cold_start_weak;content_preference_signal,content_context_marker,yes
16,promo0,0,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.270623896401691,0.521536031845834,week3_inactive;cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
17,promo0,0,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.1504039470290684,0.6401101459709069,week3_inactive;retention_decay;low_activity;content_preference_signal,content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
18,promo0,0,promo0_s01,high_risk_week3_inactivity_or_retention_decay,GB top20 plus week3 inactivity or retention decay,0.7361876684470501,0.898257595997112,week3_inactive;retention_decay;only_w1;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;retention_decay_subsignal;low_activity_subsignal,yes
19,promo0,1,promo0_s99,other_needs_review_residual,No revised representative behavior family rule matched,0.2650068437471155,0.6291609698955292,cold_start_weak;low_activity;genre_preference_clear;content_preference_signal,genre_action_cue;content_context_marker;low_activity_subsignal,yes
