feature_set_name,safe_model_feature_name,AARRR_stage,feature_family,timing_family,caveat_flag,caveat_reason,needs_user_review,interpretation_guardrail,cohort_2x2_label,n,positive_count,positive_rate,missing_count
conservative_safe_22,is_cold_start_3d_fixed,Activation,onboarding_cold_start_fixed,day0_early_observation,True,Fixed cold_start feature generated from row-level first watch timing; original cold_start fields are not model features.,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",nonpromotion_nonrepurchase,2655,1020,0.384180790960452,0
conservative_safe_22,is_cold_start_3d_fixed,Activation,onboarding_cold_start_fixed,day0_early_observation,True,Fixed cold_start feature generated from row-level first watch timing; original cold_start fields are not model features.,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",nonpromotion_repurchase,8520,3326,0.3903755868544601,0
conservative_safe_22,is_cold_start_3d_fixed,Activation,onboarding_cold_start_fixed,day0_early_observation,True,Fixed cold_start feature generated from row-level first watch timing; original cold_start fields are not model features.,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",promotion_nonrepurchase,3867,1364,0.35272821308507885,0
conservative_safe_22,is_cold_start_3d_fixed,Activation,onboarding_cold_start_fixed,day0_early_observation,True,Fixed cold_start feature generated from row-level first watch timing; original cold_start fields are not model features.,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",promotion_repurchase,8037,3219,0.4005225830533781,0
conservative_safe_22,is_cold_start_7d_fixed,Activation,onboarding_cold_start_fixed,day0_early_observation,True,Fixed cold_start feature generated from row-level first watch timing; original cold_start fields are not model features.,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",nonpromotion_nonrepurchase,2655,1848,0.696045197740113,0
conservative_safe_22,is_cold_start_7d_fixed,Activation,onboarding_cold_start_fixed,day0_early_observation,True,Fixed cold_start feature generated from row-level first watch timing; original cold_start fields are not model features.,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",nonpromotion_repurchase,8520,5316,0.6239436619718309,0
conservative_safe_22,is_cold_start_7d_fixed,Activation,onboarding_cold_start_fixed,day0_early_observation,True,Fixed cold_start feature generated from row-level first watch timing; original cold_start fields are not model features.,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",promotion_nonrepurchase,3867,2549,0.6591673131626584,0
conservative_safe_22,is_cold_start_7d_fixed,Activation,onboarding_cold_start_fixed,day0_early_observation,True,Fixed cold_start feature generated from row-level first watch timing; original cold_start fields are not model features.,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",promotion_repurchase,8037,5008,0.6231180788851561,0
conservative_safe_22,is_only_w1,Activation,early_week1_watch_behavior,week1,False,,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",nonpromotion_nonrepurchase,2655,743,0.27984934086629004,0
conservative_safe_22,is_only_w1,Activation,early_week1_watch_behavior,week1,False,,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",nonpromotion_repurchase,8520,389,0.04565727699530516,0
conservative_safe_22,is_only_w1,Activation,early_week1_watch_behavior,week1,False,,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",promotion_nonrepurchase,3867,834,0.2156710628394104,0
conservative_safe_22,is_only_w1,Activation,early_week1_watch_behavior,week1,False,,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",promotion_repurchase,8037,315,0.03919372900335946,0
conservative_safe_22,is_only_w2,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,False,,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",nonpromotion_nonrepurchase,2655,248,0.09340866290018833,0
conservative_safe_22,is_only_w2,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,False,,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",nonpromotion_repurchase,8520,678,0.0795774647887324,0
conservative_safe_22,is_only_w2,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,False,,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",promotion_nonrepurchase,3867,359,0.09283682441168865,0
conservative_safe_22,is_only_w2,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,False,,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",promotion_repurchase,8037,554,0.06893119323130521,0
conservative_safe_22,is_only_w3,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,False,,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",nonpromotion_nonrepurchase,2655,261,0.09830508474576272,0
conservative_safe_22,is_only_w3,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,False,,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",nonpromotion_repurchase,8520,825,0.09683098591549295,0
conservative_safe_22,is_only_w3,Retention,usage_retention_behavior,multi_week_or_aggregate_observation,False,,0,"Observed 2x2 cohort difference only. Not causal, not feature importance, and not feature selection.",promotion_nonrepurchase,3867,429,0.11093871217998448,0
