user_group_key,group,USER_NUM,USER_KEY,product_code,price,billing_method,max_screen,is_promotion,is_churn_prevented,is_repurchase,payment_device,is_user_verified,gender,age,reg_date,reg_hour,end_date,reg_date_dt,end_date_dt,age_band,vh_has_safe_watch,vh_event_count,vh_title_count,vh_active_day_count,vh_total_watch_min,vh_avg_watch_min,vh_median_watch_min,vh_std_watch_min,vh_max_watch_min,vh_avg_watch_seq,vh_max_watch_seq,vh_weekend_ratio,vh_mean_runtime_min,vh_mean_event_completion,vh_high_completion_event_ratio,vh_low_completion_event_ratio,vh_short_sample_ratio,vh_recent_release_180d_ratio,vh_recent_release_365d_ratio,vh_old_catalog_5y_ratio,vh_mean_content_age_days,vh_first_watch_lag,vh_last_watch_gap,vh_watch_span_days,vh_tenure_days,vh_active_day_ratio,vh_watch_span_ratio,vh_first_watch_lag_ratio,vh_last_watch_gap_ratio,vh_max_daily_events,vh_multi_event_day_ratio,vh_avg_daily_watch_min,vh_std_daily_watch_min,vh_max_daily_watch_min,vh_mean_gap_days,vh_std_gap_days,vh_max_gap_days,vh_mean_title_completion,vh_completed_title_ratio_50,vh_completed_title_ratio_80,vh_sampled_title_ratio_10,vh_avg_events_per_title,vh_title_watch_hhi,vh_first_half_watch_ratio,vh_last_7d_watch_ratio,vh_last_14d_watch_ratio,vh_genre_unique_count,vh_genre_watch_entropy,vh_top_genre_share,genre_share__드라마,genre_share__액션,genre_share__코미디,genre_share__스릴러,genre_share__판타지,genre_share__로맨스,genre_share__범죄,genre_share__가족,genre_share__유럽에서 제작,genre_share__SF,vh_country_unique_count,vh_country_watch_entropy,vh_top_country_share,country_share__미국,country_share__대한민국,country_share__영국,country_share__프랑스,country_share__일본,vh_events_per_active_day,vh_titles_per_active_day,vh_watch_min_per_active_day,vh_event_per_tenure_day,vh_watch_min_per_tenure_day,vh_rewatch_event_ratio
0_0,0,0,ce6c11de3c6c21a993965a45943bce46f068b56869feca3b439ba5879100de86f972127bcbea5fa5a1d53c8ad30ccc18b88408227ce092887a29c446f0657ee5,pk_1489,13900.0,134.0,4.0,0.0,0.0,1.0,android,0.0,N,40.0,2021-03-11,12.0,2021-04-11,2021-03-11,2021-04-11,40,1,9.0,5.0,5.0,510.0,56.666666666666664,92.0,52.55711179279166,111.0,1.7777777777777777,4.0,0.6666666666666666,91.11111111111111,0.7687402433443472,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.1111111111111111,819.6666666666666,3.0,14.0,15.0,31.0,0.16129032258064516,0.4838709677419355,0.0967741935483871,0.45161290322580644,4.0,0.4,102.0,69.17730841829567,196.0,3.5,2.3804761428476167,6.0,0.9837324380198252,0.8,0.8,0.2,1.8,0.2752402921953095,0.615686274509804,0.0,0.3843137254901961,10.0,2.181390420899797,0.17222685571309423,0.164720600500417,0.09007506255212677,0.12260216847372811,0.1267723102585488,0.12260216847372811,0.08340283569641367,,0.03919933277731443,,0.17222685571309423,3.0,1.0673279434199874,0.39215686274509803,0.38823529411764707,0.39215686274509803,,,,1.8,1.0,102.0,0.2903225806451613,16.451612903225808,0.4444444444444444
0_4,0,4,8668c3dfce041e29bc5b80fe33fb8754718587a7537db1db648763e7adaae9383a58da158afa270a1f18e104268fb7bbfc8af44687909e086dcd0ad293d46acd,pk_1508,9.99,140.0,1.0,0.0,0.0,0.0,ios,0.0,N,40.0,2021-03-07,12.0,2021-04-08,2021-03-07,2021-04-08,40,1,5.0,2.0,4.0,309.0,61.8,21.0,84.76850830349676,200.0,1.2,2.0,0.6,99.0,0.6202020202020202,0.4,0.4,0.4,0.8,0.8,0.0,160.0,0.0,18.0,15.0,32.0,0.125,0.46875,0.0,0.5625,2.0,0.25,77.25,90.1272248916312,201.0,4.666666666666667,4.725815626252609,10.0,1.106060606060606,0.5,0.5,0.0,2.5,0.8733151098124234,1.0,0.0,0.0,4.0,1.3862943611198906,0.25,0.25,0.25,,0.25,,,0.25,,,,2.0,0.2483328967315826,0.9320388349514563,0.9320388349514563,,,,,1.25,0.5,77.25,0.15625,9.65625,0.6
0_5,0,5,bc4eb57807309fc1c063856c86fe8e7c6f564fc9ab31cf9a259f2c53b7fe06ce2c9feee35fd30f6c3ff05445a71b0de4fa3c8df1bbe5a996ef2b3c796c5595b6,pk_1506,13.49,140.0,2.0,0.0,0.0,1.0,ios,1.0,M,30.0,2021-03-15,20.0,2021-04-16,2021-03-15,2021-04-16,30,1,1.0,1.0,1.0,3.0,3.0,3.0,,3.0,1.0,1.0,0.0,127.0,0.023622047244094488,0.0,1.0,1.0,0.0,0.0,0.0,572.0,11.0,21.0,1.0,32.0,0.03125,0.03125,0.34375,0.65625,1.0,0.0,3.0,,3.0,,,,0.023622047244094488,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,1.7917594692280547,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,,0.16666666666666666,0.16666666666666666,,0.16666666666666666,,,1.0,-0.0,1.0,1.0,,,,,1.0,1.0,3.0,0.03125,0.09375,0.0
0_9,0,9,1cf66e503a6b39e8006cbddd713fd2ae1afc7cac6c76d5c443137c7be7b09584030884ecca11b9031f050171676766944943077c95911113b7b784271116ce14,pk_1489,13900.0,134.0,4.0,0.0,0.0,1.0,pc,1.0,M,45.0,2021-03-05,2.0,2021-04-05,2021-03-05,2021-04-05,40,1,11.0,8.0,6.0,404.0,36.72727272727273,3.0,46.97039686673066,110.0,1.6363636363636365,3.0,0.6363636363636364,112.0909090909091,0.4957319971367973,0.36363636363636365,0.5454545454545454,0.5454545454545454,0.36363636363636365,0.36363636363636365,0.09090909090909091,571.8181818181819,3.0,14.0,15.0,31.0,0.1935483870967742,0.4838709677419355,0.0967741935483871,0.45161290322580644,3.0,0.5,67.33333333333333,51.1924473596122,112.0,2.8,2.4899799195977463,6.0,0.6816314960630963,0.625,0.5,0.375,1.375,0.2286908146260171,0.7326732673267327,0.0,0.2599009900990099,12.0,1.938294770904397,0.3288381742738589,0.3288381742738589,0.12136929460580913,0.10995850622406639,0.001037344398340249,0.005186721991701245,,0.001037344398340249,,0.11514522821576763,0.004149377593360996,6.0,1.6004361578161124,0.2722772277227723,0.2722772277227723,0.0016501650165016502,,0.16666666666666666,0.20957095709570958,1.8333333333333333,1.3333333333333333,67.33333333333333,0.3548387096774194,13.03225806451613,0.2727272727272727
0_10,0,10,8cb7837bcf57aa544ef810fd4719fa80ffd02cd518dbfc94baa9f28ece2da659692185fbfd3e97e4d6c8740c67699879025920d3027498269ed7869eb4f16522,pk_2025,7900.0,151.0,1.0,0.0,1.0,1.0,android,1.0,F,30.0,2021-03-12,23.0,2021-04-12,2021-03-12,2021-04-12,30,1,7.0,2.0,5.0,86.0,12.285714285714286,17.0,10.339475900874373,26.0,1.2857142857142858,2.0,0.5714285714285714,93.57142857142857,0.12464278497820627,0.0,0.42857142857142855,0.42857142857142855,1.0,1.0,0.0,26.857142857142858,14.0,13.0,5.0,31.0,0.16129032258064516,0.16129032258064516,0.45161290322580644,0.41935483870967744,2.0,0.4,17.2,17.484278652549552,44.0,1.0,0.0,1.0,0.43624974742372197,0.5,0.5,0.5,3.5,0.9545700378583017,0.5232558139534884,0.0,0.2558139534883721,9.0,1.8469859925643541,0.16666666666666666,0.16279069767441862,0.003875968992248062,0.16666666666666666,0.003875968992248062,0.16279069767441862,,0.003875968992248062,0.16666666666666666,,,1.0,-0.0,1.0,1.0,,,,,1.4,0.4,17.2,0.22580645161290322,2.774193548387097,0.7142857142857143
0_17,0,17,ccbb416ecdee513cee371d0ef201d4c11c7270d38c946f66ee8a7d474080e55562958a5f1c2a25fbb8fb93b21fde0cd0e500b31a6ad0f47bf1617b15984705fb,pk_1508,9.99,140.0,1.0,0.0,0.0,0.0,ios,1.0,F,30.0,2021-03-06,1.0,2021-04-07,2021-03-06,2021-04-07,30,1,3.0,2.0,3.0,126.0,42.0,46.0,31.192947920964443,71.0,1.0,1.0,0.6666666666666666,109.0,0.37358581400946805,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1009.0,0.0,16.0,17.0,32.0,0.09375,0.53125,0.0,0.5,1.0,0.0,42.0,31.192947920964443,71.0,8.0,9.899494936611665,15.0,0.560378721014202,1.0,0.0,0.0,1.5,0.5080624842529604,1.0,0.0,0.0,7.0,1.8899484400670192,0.2669491525423729,0.11652542372881355,0.2669491525423729,0.11652542372881355,,0.11652542372881355,,,0.11652542372881355,,0.1504237288135593,2.0,0.6536514873886503,0.6395939086294417,0.6395939086294417,,,0.3604060913705584,,1.0,0.6666666666666666,42.0,0.09375,3.9375,0.3333333333333333
0_19,0,19,ae303208dc92d29d7de931166a7d1d46cda1290a8147ebdd43f30a377d114fad173a2b2db7fc90936b121eb5bad4128767a95bdcfd6c153b0c569396402df1a6,pk_2026,10900.0,151.0,2.0,0.0,0.0,1.0,android,1.0,F,40.0,2021-03-10,13.0,2021-04-10,2021-03-10,2021-04-10,40,1,3.0,3.0,1.0,59.0,19.666666666666668,17.0,20.132891827388665,41.0,2.0,3.0,1.0,123.0,0.17630213977462553,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,921.3333333333334,10.0,21.0,1.0,31.0,0.03225806451612903,0.03225806451612903,0.3225806451612903,0.6774193548387096,3.0,1.0,59.0,,59.0,,,,0.17630213977462553,0.0,0.0,0.3333333333333333,1.0,0.5662166044240161,1.0,0.0,0.0,4.0,1.310196218594754,0.36477987421383645,0.2641509433962264,0.36477987421383645,0.2641509433962264,,,,,,,0.1069182389937107,3.0,0.9976888973151099,0.5526315789473685,0.2236842105263158,0.5526315789473685,0.2236842105263158,,,3.0,3.0,59.0,0.0967741935483871,1.903225806451613,0.0
0_26,0,26,068be64371a0cd532ee89bc40b2770e06255751c2a7f2f696aa98208b58b31703f2037bd47c1acd6c21249fcba1c2dd3b4d3251b73bbca3370ae02370c69d664,pk_1487,7900.0,134.0,1.0,0.0,0.0,0.0,android,1.0,F,20.0,2021-03-08,20.0,2021-04-08,2021-03-08,2021-04-08,20,1,8.0,6.0,2.0,126.0,15.75,4.5,23.547823678633232,70.0,3.0,6.0,0.25,111.875,0.16660029250237732,0.125,0.625,0.625,0.5,0.5,0.125,598.625,11.0,19.0,2.0,31.0,0.06451612903225806,0.06451612903225806,0.3548387096774194,0.6129032258064516,6.0,1.0,63.0,79.19595949289332,119.0,1.0,,1.0,0.22213372333650308,0.16666666666666666,0.16666666666666666,0.5,1.3333333333333333,0.3731418493323256,1.0,0.0,0.0,9.0,1.9424014025956629,0.3568904593639576,0.10600706713780919,0.3568904593639576,0.08833922261484099,0.08480565371024736,,0.08833922261484099,0.0636042402826855,,0.0176678445229682,,10.0,1.4585254443568831,0.5687203791469194,0.10900473933649289,0.5687203791469194,0.02843601895734597,0.023696682464454975,0.08530805687203792,4.0,3.0,63.0,0.25806451612903225,4.064516129032258,0.25
0_30,0,30,2b13a1daca7ea94baf519073b523aef139b080f908c4ee2ba248f351cc879f030fe8b286684d55283912ebdf78e9a5142e8cb34b6567780cb20ea88e37cfb89c,pk_1487,7900.0,132.0,1.0,0.0,0.0,1.0,android,1.0,F,20.0,2021-03-07,2.0,2021-04-07,2021-03-07,2021-04-07,20,1,4.0,4.0,3.0,75.0,18.75,19.5,9.604686356149273,27.0,1.25,2.0,0.75,132.0,0.14318003874389862,0.0,0.5,0.0,0.0,0.0,0.25,2114.75,12.0,10.0,10.0,31.0,0.0967741935483871,0.3225806451612903,0.3870967741935484,0.3225806451612903,2.0,0.3333333333333333,25.0,15.0996688705415,39.0,4.5,3.5355339059327378,7.0,0.14318003874389862,0.0,0.0,0.5,1.0,0.2992,0.48,0.0,0.52,5.0,1.5256083013788577,0.36764705882352944,,0.36764705882352944,0.17647058823529413,,,,0.1323529411764706,,0.1323529411764706,0.19117647058823528,2.0,0.6923469670899615,0.52,0.52,0.48,,,,1.3333333333333333,1.3333333333333333,25.0,0.12903225806451613,2.4193548387096775,0.0
0_31,0,31,77b38a422b9006829cb8c958d0d930d7439f48ae21d208be23ad34eabcb725e9557cbd3a4200b80b10f045446830e31af7deaf2347e67fee97f9c64d0ef9d665,pk_2028,13750.0,151.0,1.0,0.0,0.0,1.0,android,1.0,F,40.0,2021-03-13,18.0,2021-04-13,2021-03-13,2021-04-13,40,1,11.0,7.0,6.0,596.0,54.18181818181818,62.0,46.21215896670092,125.0,1.5454545454545454,3.0,0.8181818181818182,99.0909090909091,0.558201835278064,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.8181818181818182,1.0,0.0,93.36363636363636,0.0,10.0,22.0,31.0,0.1935483870967742,0.7096774193548387,0.0,0.3225806451612903,3.0,0.6666666666666666,99.33333333333333,68.82344561751226,216.0,4.2,2.7748873851023217,7.0,0.8771743125798148,0.8571428571428571,0.8571428571428571,0.14285714285714285,1.5714285714285714,0.1697108238367641,0.6963087248322147,0.0,0.3036912751677852,13.0,2.374000728033523,0.16016640665626625,0.15132605304212168,0.11128445137805512,0.16016640665626625,0.11180447217888716,0.04784191367654706,,0.06604264170566823,0.04784191367654706,0.05720228809152366,,8.0,2.0169234993100327,0.21481481481481482,0.21481481481481482,0.1343915343915344,0.09206349206349207,,,1.8333333333333333,1.1666666666666667,99.33333333333333,0.3548387096774194,19.225806451612904,0.36363636363636365
