age_band,feature,mean_churn0,mean_repurchase1,diff_churn0_minus_repurchase1,smd,abs_smd,p_value_approx,n_churn0,n_repurchase1
20,vh_has_safe_watch,0.9799131378935939,1.0,-0.02008686210640609,-0.20242275812263774,0.20242275812263774,8.09149969249745e-10,1842,2738
20,vh_event_count,7.073684210526316,7.158875091307523,-0.08519088078120785,-0.014948831358151072,0.014948831358151072,0.6211901844674473,1805,2738
20,vh_title_count,5.031578947368421,5.0533235938641345,-0.021744646495713837,-0.005404504893906255,0.005404504893906255,0.8585577907690535,1805,2738
20,vh_active_day_count,3.8681440443213297,3.934989043097151,-0.06684499877582128,-0.026403625186708097,0.026403625186708097,0.3822215169570694,1805,2738
20,vh_total_watch_min,314.70747922437675,324.0471146822498,-9.339635457873044,-0.028677120480265748,0.028677120480265748,0.3425940255600104,1805,2738
20,vh_avg_watch_min,44.93335505296049,45.291805165810665,-0.35845011285017137,-0.011715199684262807,0.011715199684262807,0.6989761632853395,1805,2738
20,vh_median_watch_min,38.698891966759,39.16289262235208,-0.46400065559308246,-0.012627926977495279,0.012627926977495279,0.6772026905408995,1805,2738
20,vh_std_watch_min,39.548168413182026,39.158460243442974,0.38970816973905187,0.01950349322911138,0.01950349322911138,0.5421268465903963,1611,2436
20,vh_max_watch_min,97.99279778393351,97.08217677136597,0.910621012567546,0.017532843247415386,0.017532843247415386,0.5623911797314392,1805,2738
20,vh_avg_watch_seq,1.6054204084526404,1.5997424757599235,0.0056779326927169915,0.0079101389441067,0.0079101389441067,0.7940785102989896,1805,2738
20,vh_max_watch_seq,2.858725761772853,2.852081811541271,0.006643950231581819,0.003350803667077514,0.003350803667077514,0.9119561862039047,1805,2738
20,vh_weekend_ratio,0.443583729806867,0.44113501330092403,0.0024487165059429716,0.006790156231485136,0.006790156231485136,0.8227966656813815,1805,2738
20,vh_mean_runtime_min,106.56626334533769,107.7469719764569,-1.1807086311192165,-0.05953572486764734,0.05953572486764734,0.05020490658791976,1804,2736
20,vh_mean_event_completion,0.4356394059335043,0.4317945051282421,0.00384490080526223,0.012966377474932891,0.012966377474932891,0.6695701711925943,1804,2736
20,vh_high_completion_event_ratio,0.3053473190998949,0.2999300841624354,0.005417234937459492,0.01913831660688381,0.01913831660688381,0.5283750879496409,1805,2738
20,vh_low_completion_event_ratio,0.3950250014030853,0.39106172960233904,0.0039632718007462375,0.012729825486844782,0.012729825486844782,0.6739150575668588,1805,2738
20,vh_short_sample_ratio,0.3377270656512084,0.3349836625071971,0.002743403144011336,0.00895686177663851,0.00895686177663851,0.7673250868240271,1805,2738
20,vh_recent_release_180d_ratio,0.21410372204715855,0.20869740236986026,0.0054063196772982935,0.0170715381446123,0.0170715381446123,0.574375097162919,1805,2738
