column_name,role,max_nunique_within_user,users_with_variation
USER_NUM,key,1,0
group,key,1,0
USER_KEY,membership,1,0
age,membership,1,0
billing_method,membership,1,0
end_date,membership,1,0
gender,membership,1,0
is_churn_prevented,membership,1,0
is_promotion,membership,1,0
is_repurchase,membership,1,0
is_user_verified,membership,1,0
max_screen,membership,1,0
payment_device,membership,1,0
price,membership,1,0
product_code,membership,1,0
reg_date,membership,1,0
reg_hour,membership,1,0
MOVIE_NUM,view_history,67,12432
movie_title,view_history,67,12432
watch_time(min),view_history,45,12809
showTM,view_history,45,12389
ott_release_month,view_history,45,12242
genre,view_history,40,12382
watch_seq,view_history,35,11159
country,view_history,24,11290
watch_day,view_history,21,12128
