age_band,age_band_label,base_feature,feature_name,category,source_columns,aggregation_logic,why_it_may_help,n_nonpromo,n_promo,mean_nonpromo,mean_promo,median_nonpromo,median_promo,diff_mean,effect_rbc,pvalue,fdr_bh,evidence_level,recommended_usage,group_difference_summary
10,10대,vh_short_watch_ratio,dv_age10_short_watch_ratio,age_interaction,"watch_time(min), watch_day, age",10대 여부 * 5분 이하 시청 비율,10대에서는 프로모션 참여군이 짧게 찍어보는 비율이 더 높게 나타나는 경향 반영,123,318,0.2619945253481839,0.3260729864578482,0.2,0.2857142857142857,0.06407846110966431,0.11315641458301373,0.06209150648876017,0.9547618725921975,exploratory,탐색 변수 권장,"비프로모션 평균 0.2620, 프로모션 평균 0.3261, 차이 +0.0641, p=0.06209, FDR=0.9548, RBC=+0.1132"
10,10대,vh_long_watch_ratio,dv_age10_long_watch_ratio,age_interaction,"watch_time(min), watch_day, age",10대 여부 * 60분 이상 시청 비율,10대에서는 프로모션 참여군의 장시간 시청 비율이 낮아지는 방향 차이 반영,123,318,0.4008951030902251,0.3477952268374477,0.4,0.3038461538461539,-0.0530998762527774,-0.11290075164902591,0.06397833037538546,0.9547618725921975,exploratory,탐색 변수 권장,"비프로모션 평균 0.4009, 프로모션 평균 0.3478, 차이 -0.0531, p=0.06398, FDR=0.9548, RBC=-0.1129"
10,10대,genre_share__Romance,dv_age10_romance_share,age_interaction,"genre, watch_time(min), age",10대 여부 * Romance 장르 시청시간 비중,10대 프로모션 참여군에서 로맨스 시청 비중이 높아지는 경향 반영,123,318,0.07510970601926183,0.09599944719626585,0.0,0.0,0.020889741177004026,0.0850334918443525,0.0942705870195294,0.9547618725921975,exploratory,탐색 변수 권장,"비프로모션 평균 0.0751, 프로모션 평균 0.0960, 차이 +0.0209, p=0.09427, FDR=0.9548, RBC=+0.0850"
20,20대,genre_share__Other,dv_age20_other_genre_share,age_interaction,"genre, watch_time(min), age",20대 여부 * Other 장르 시청시간 비중,20대에서 비주류 장르 소비 비중 차이 반영,2376,4831,0.028287852453813565,0.03306912748469746,0.0,0.0,0.004781275030883894,0.024325484194041458,0.0032609782922799254,0.2313123858500499,weak,보조 변수 권장,"비프로모션 평균 0.0283, 프로모션 평균 0.0331, 차이 +0.0048, p=0.003261, FDR=0.2313, RBC=+0.0243"
20,20대,vh_short_watch_ratio,dv_age20_short_watch_ratio,age_interaction,"watch_time(min), age",20대 여부 * 5분 이하 시청 비율,20대에서 프로모션 참여군의 탐색형 짧은 시청 비중 차이 반영,2376,4831,0.31460517809835786,0.33134517355280946,0.25,0.2857142857142857,0.016739995454451595,0.036414043840042654,0.010925850654760946,0.2313123858500499,moderate,모델 입력 권장,"비프로모션 평균 0.3146, 프로모션 평균 0.3313, 차이 +0.0167, p=0.01093, FDR=0.2313, RBC=+0.0364"
20,20대,vh_active_day_ratio,dv_age20_active_day_ratio,age_interaction,"watch_day, reg_date, end_date, age",20대 여부 * 활동일 비율,20대 프로모션 참여군이 구독 기간 대비 더 자주 돌아오는 경향 반영,2376,4831,0.12607685521027912,0.12562349343286972,0.0967741935483871,0.0967741935483871,-0.0004533617774094001,0.03576717983673072,0.012674651279454788,0.2313123858500499,moderate,모델 입력 권장,"비프로모션 평균 0.1261, 프로모션 평균 0.1256, 차이 -0.0005, p=0.01267, FDR=0.2313, RBC=+0.0358"
20,20대,vh_last_14d_watch_ratio,dv_age20_last14d_watch_ratio,age_interaction,"watch_day, watch_time(min), end_date, age",20대 여부 * 만기 직전 14일 시청 비중,20대에서 프로모션 참여군이 후반부 사용 비중을 더 높게 가져가는지 반영,2376,4831,0.2712336296136106,0.28565043032890197,0.07558205318471506,0.11666666666666667,0.014416800715291389,0.029521304955997474,0.03448733666275963,0.5035151152762907,weak,보조 변수 권장,"비프로모션 평균 0.2712, 프로모션 평균 0.2857, 차이 +0.0144, p=0.03449, FDR=0.5035, RBC=+0.0295"
20,20대,vh_end_near_watch_ratio,dv_age20_end_near_watch_ratio,age_interaction,"watch_day, reg_date, end_date, age",20대 여부 * 만기 근접 시청 비율,20대 프로모션 참여군이 만기 직전까지 시청을 이어가는 경향 반영,2376,4831,0.5301435370295071,0.537040350959195,0.5806451612903225,0.5806451612903225,0.006896813929687884,0.0276026671182954,0.055751367506960366,0.5814071182868724,weak,보조 변수 권장,"비프로모션 평균 0.5301, 프로모션 평균 0.5370, 차이 +0.0069, p=0.05575, FDR=0.5814, RBC=+0.0276"
30,30대,vh_end_near_watch_ratio,dv_age30_end_near_watch_ratio,age_interaction,"watch_day, reg_date, end_date, age",30대 여부 * 만기 근접 시청 비율,30대 프로모션 참여군이 만기 전까지 시청을 늦게까지 유지하는 패턴 반영,2319,3565,0.5234441402896418,0.5378125787708197,0.5806451612903225,0.5806451612903225,0.014368438481177859,0.05157637347916211,0.0007858030528370448,0.01912120761903476,strong,모델 입력 권장,"비프로모션 평균 0.5234, 프로모션 평균 0.5378, 차이 +0.0144, p=0.0007858, FDR=0.01912, RBC=+0.0516"
30,30대,vh_last_14d_watch_ratio,dv_age30_last14d_watch_ratio,age_interaction,"watch_day, watch_time(min), end_date, age",30대 여부 * 만기 직전 14일 시청 비중,30대에서 후반부 시청 집중 차이 반영,2319,3565,0.264276070181194,0.2849655631146867,0.05475763016157989,0.11913357400722022,0.020689492933492704,0.04528841867928035,0.0022786384228779687,0.04158515121752293,moderate,모델 입력 권장,"비프로모션 평균 0.2643, 프로모션 평균 0.2850, 차이 +0.0207, p=0.002279, FDR=0.04159, RBC=+0.0453"
30,30대,vh_week4_watch_ratio,dv_age30_week4_watch_ratio,age_interaction,"watch_day, watch_time(min), reg_date, age",30대 여부 * 4주차 시청 비중,30대 프로모션 참여군이 구독 후반 주차에 시청을 더 배분하는 패턴 반영,2319,3565,0.09123300643432225,0.10437668372307556,0.0,0.0,0.013143677288753305,0.029345603457504144,0.010945249356140675,0.13484802753983874,weak,보조 변수 권장,"비프로모션 평균 0.0912, 프로모션 평균 0.1044, 차이 +0.0131, p=0.01095, FDR=0.1348, RBC=+0.0293"
