column_name,role,max_nunique_within_user,users_with_variation
USER_NUM,key,1,0
group,key,1,0
USER_KEY,membership,1,0
age,membership,1,0
billing_method,membership,1,0
end_date,membership,1,0
gender,membership,1,0
is_churn_prevented,membership,1,0
is_promotion,membership,1,0
is_repurchase,membership,1,0
is_user_verified,membership,1,0
max_screen,membership,1,0
payment_device,membership,1,0
price,membership,1,0
product_code,membership,1,0
reg_date,membership,1,0
reg_hour,membership,1,0
MOVIE_NUM,view_history,67,19228
movie_title,view_history,67,19228
watch_time(min),view_history,55,20070
ott_release_month,view_history,45,18918
watch_seq,view_history,35,17413
watch_day,view_history,21,18685
genre,view_history,11,18223
