scope,feature_a,feature_b,corr,abs_corr,threshold_band
all_numeric,w1_3_has_watch_obs,w1_3_no_watch_obs_flag,-1.0,1.0,>=0.95
all_numeric,w1_3_has_watch_obs,w1_3_content_has_watch_obs,1.0,1.0,>=0.95
all_numeric,w1_3_has_watch_obs,w1_3_genre_covered_watch_ratio,1.0,1.0,>=0.95
all_numeric,w1_3_has_watch_obs,w1_3_release_month_covered_watch_ratio,1.0,1.0,>=0.95
all_numeric,w1_3_genre_covered_watch_ratio,w1_3_release_month_covered_watch_ratio,1.0,1.0,>=0.95
all_numeric,w1_3_total_watch_time,w1_3_genre_covered_watch_time,1.0,1.0,>=0.95
all_numeric,w1_3_content_has_watch_obs,w1_3_release_month_covered_watch_ratio,1.0,1.0,>=0.95
all_numeric,w1_3_content_has_watch_obs,w1_3_genre_covered_watch_ratio,1.0,1.0,>=0.95
all_numeric,w1_3_no_watch_obs_flag,w1_3_content_has_watch_obs,-0.9999999999999997,0.9999999999999997,>=0.95
all_numeric,w1_3_no_watch_obs_flag,w1_3_genre_covered_watch_ratio,-0.9999999999999997,0.9999999999999997,>=0.95
all_numeric,w1_3_no_watch_obs_flag,w1_3_release_month_covered_watch_ratio,-0.9999999999999997,0.9999999999999997,>=0.95
all_numeric,w1_3_one_minute_watch_count,w1_3_short_watch_count_le5,0.9208617534010868,0.9208617534010868,>=0.90
all_numeric,w1_3_short_watch_count_le5,w1_3_short_watch_time_le5,0.9066875626268974,0.9066875626268974,>=0.90
all_numeric,w1_3_total_sessions,w1_3_unique_contents,0.880856817888078,0.880856817888078,>=0.80
all_numeric,w1_3_genre_unique_count,w1_3_genre_entropy,0.8675985639906082,0.8675985639906082,>=0.80
all_numeric,w1_3_genre_watch_time_animation_family,w1_3_genre_session_count_animation_family,0.8657808558548811,0.8657808558548811,>=0.80
all_numeric,w1_3_total_watch_time,w1_3_top_genre_watch_time,0.8597595936507617,0.8597595936507617,>=0.80
all_numeric,w1_3_genre_covered_watch_time,w1_3_top_genre_watch_time,0.8597595936507617,0.8597595936507617,>=0.80
all_numeric,w1_3_unique_contents,w1_3_genre_unique_count,0.8471644850538131,0.8471644850538131,>=0.80
all_numeric,w1_3_genre_watch_time_historical_war,w1_3_genre_session_count_historical_war,0.8466663614456481,0.8466663614456481,>=0.80
all_numeric,w1_3_genre_watch_time_sf_fantasy,w1_3_genre_session_count_sf_fantasy,0.8240626623752313,0.8240626623752313,>=0.80
all_numeric,w1_3_genre_watch_time_thriller_crime,w1_3_genre_session_count_thriller_crime,0.8219706394357785,0.8219706394357785,>=0.80
all_numeric,w1_3_max_daily_watch_time,w1_3_genre_covered_watch_time,0.8151077702954506,0.8151077702954506,>=0.80
all_numeric,w1_3_total_watch_time,w1_3_max_daily_watch_time,0.8151077702954506,0.8151077702954506,>=0.80
all_numeric,w1_3_total_sessions,w1_3_unique_watch_days,0.8063133993681078,0.8063133993681078,>=0.80
all_numeric,w1_3_genre_watch_time_action_adventure,w1_3_genre_session_count_action_adventure,0.8045064667835131,0.8045064667835131,>=0.80
all_numeric,w1_3_week1_watch_time,w1_3_week1_sessions,0.8021008269034741,0.8021008269034741,>=0.80
all_numeric,w1_3_genre_watch_time_horror,w1_3_genre_session_count_horror,0.8009643610281161,0.8009643610281161,>=0.80
usage_only,w1_3_has_watch_obs,w1_3_no_watch_obs_flag,-1.0,1.0,>=0.95
usage_only,w1_3_one_minute_watch_count,w1_3_short_watch_count_le5,0.9208617534010868,0.9208617534010868,>=0.90
usage_only,w1_3_short_watch_count_le5,w1_3_short_watch_time_le5,0.9066875626268974,0.9066875626268974,>=0.90
usage_only,w1_3_total_sessions,w1_3_unique_contents,0.880856817888078,0.880856817888078,>=0.80
usage_only,w1_3_total_watch_time,w1_3_max_daily_watch_time,0.8151077702954506,0.8151077702954506,>=0.80
usage_only,w1_3_total_sessions,w1_3_unique_watch_days,0.8063133993681078,0.8063133993681078,>=0.80
usage_only,w1_3_week1_watch_time,w1_3_week1_sessions,0.8021008269034741,0.8021008269034741,>=0.80
genre_content_only,w1_3_content_has_watch_obs,w1_3_genre_covered_watch_ratio,1.0,1.0,>=0.95
genre_content_only,w1_3_content_has_watch_obs,w1_3_release_month_covered_watch_ratio,1.0,1.0,>=0.95
genre_content_only,w1_3_genre_covered_watch_ratio,w1_3_release_month_covered_watch_ratio,1.0,1.0,>=0.95
genre_content_only,w1_3_genre_unique_count,w1_3_genre_entropy,0.8675985639906082,0.8675985639906082,>=0.80
genre_content_only,w1_3_genre_watch_time_animation_family,w1_3_genre_session_count_animation_family,0.8657808558548811,0.8657808558548811,>=0.80
genre_content_only,w1_3_genre_covered_watch_time,w1_3_top_genre_watch_time,0.8597595936507617,0.8597595936507617,>=0.80
genre_content_only,w1_3_genre_watch_time_historical_war,w1_3_genre_session_count_historical_war,0.8466663614456481,0.8466663614456481,>=0.80
genre_content_only,w1_3_genre_watch_time_sf_fantasy,w1_3_genre_session_count_sf_fantasy,0.8240626623752313,0.8240626623752313,>=0.80
genre_content_only,w1_3_genre_watch_time_thriller_crime,w1_3_genre_session_count_thriller_crime,0.8219706394357785,0.8219706394357785,>=0.80
genre_content_only,w1_3_genre_watch_time_action_adventure,w1_3_genre_session_count_action_adventure,0.8045064667835131,0.8045064667835131,>=0.80
genre_content_only,w1_3_genre_watch_time_horror,w1_3_genre_session_count_horror,0.8009643610281161,0.8009643610281161,>=0.80
