feature_name,family,recommendation,reason,future_reduced_model_note,shap_rank,mean_abs_shap
price,membership,use_with_caution,Timing-sensitive or interpretation-sensitive feature.,Keep only if business timing and leakage framing are acceptable.,4,0.1917705478724465
product_code,membership,use_with_caution,Timing-sensitive or interpretation-sensitive feature.,Keep only if business timing and leakage framing are acceptable.,32,0.0263251135982198
max_screen,membership,use_with_caution,Timing-sensitive or interpretation-sensitive feature.,Keep only if business timing and leakage framing are acceptable.,22,0.065080936548259
is_promotion,membership,use_with_caution,Timing-sensitive or interpretation-sensitive feature.,Keep only if business timing and leakage framing are acceptable.,91,0.0
is_user_verified,membership,keep,Relatively safe standalone feature.,Keep.,34,0.0253574520503835
gender,membership,keep,Relatively safe standalone feature.,Keep.,65,0.0039770598753019
age,membership,keep,Relatively safe standalone feature.,Keep.,50,0.0077498121325049
payment_device,membership,keep,Relatively safe standalone feature.,Keep.,53,0.0071394568770738
billing_method,membership,keep,Relatively safe standalone feature.,Keep.,73,0.0012436690402955
w1_3_has_watch_obs,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",144,0.0
w1_3_no_watch_obs_flag,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",143,0.0
w1_3_total_watch_time,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",29,0.0300907716019506
w1_3_total_sessions,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",77,0.00089627647196
w1_3_unique_contents,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",62,0.0043108254555931
w1_3_unique_watch_days,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",63,0.0042940900260431
w1_3_avg_watch_time_per_session,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",18,0.082452738365414
w1_3_sessions_per_active_day,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",58,0.0049271126538452
w1_3_active_span_days,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",26,0.0488356005395315
w1_3_first_watch_rel_day,usage,use_with_caution,Timing-sensitive or interpretation-sensitive feature.,Keep only if business timing and leakage framing are acceptable.,5,0.1738880203905324
w1_3_last_watch_rel_day,usage,use_with_caution,Timing-sensitive or interpretation-sensitive feature.,Keep only if business timing and leakage framing are acceptable.,13,0.0924686080166058
w1_3_week1_watch_time,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",38,0.0157627700382605
w1_3_week2_watch_time,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",28,0.0442396255948881
w1_3_week3_watch_time,usage,use_with_caution,Timing-sensitive or interpretation-sensitive feature.,Keep only if business timing and leakage framing are acceptable.,1,0.6197008105835925
w1_3_week1_sessions,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",52,0.0072694340720925
w1_3_week2_sessions,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",54,0.0064420320232905
w1_3_week3_sessions,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",20,0.0752554623068768
w1_3_week1_ratio,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",3,0.2271942557578525
w1_3_week2_ratio,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",19,0.0778312643183661
w1_3_week3_ratio,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",11,0.1088529268431624
w1_3_w2_minus_w1_watch_time,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",2,0.2647630997593521
w1_3_w3_minus_w1_watch_time,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",12,0.102541538997512
w1_3_max_daily_watch_time,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",17,0.0832244467348795
w1_3_max_day_share,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",24,0.0551020486274181
w1_3_one_minute_watch_count,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",69,0.0025466494955258
w1_3_short_watch_count_le5,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",44,0.0112212321906517
w1_3_short_watch_time_le5,usage,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",39,0.0146095798262026
w1_3_content_has_watch_obs,content,keep,Relatively safe standalone feature.,Keep.,125,0.0
w1_3_genre_covered_watch_time,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",141,0.0
w1_3_genre_missing_watch_time,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",140,0.0
w1_3_genre_covered_watch_ratio,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",139,0.0
w1_3_genre_missing_watch_ratio,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",142,0.0
w1_3_genre_unique_count,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",16,0.0846906631770076
w1_3_top_genre,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",30,0.0298433802035382
w1_3_top_genre_watch_time,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",40,0.0135417820129679
w1_3_top_genre_watch_ratio,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",36,0.0213460286562899
w1_3_genre_entropy,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",49,0.008633633758064
w1_3_genre_ratio_drama,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",8,0.1136789472675908
w1_3_genre_watch_time_drama,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",23,0.0560247373929157
w1_3_genre_session_count_drama,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",9,0.1099604910201125
w1_3_genre_ratio_thriller_crime,genre,group_for_interpretation,Structurally derived or highly related to other behavior/content variables.,"Consider one representative from the group, not all derivatives.",6,0.1649266467667552
