window,variable_group,relationship,lhs_feature,rhs_features,status,max_abs_error,keep_all_for_prediction,group_for_interpretation,remove_in_reduced_feature_model
w1_3,total_watch_time,total = sum of weekly watch_time,w1_3_total_watch_time,w1_3_week1_watch_time|w1_3_week2_watch_time|w1_3_week3_watch_time,CONFIRMED,0.0,Y,Y,"Consider removing derivatives or totals, keeping one representative per concept."
w1_3,total_sessions,total = sum of weekly sessions,w1_3_total_sessions,w1_3_week1_sessions|w1_3_week2_sessions|w1_3_week3_sessions,CONFIRMED,0.0,Y,Y,"Consider removing derivatives or totals, keeping one representative per concept."
w1_3,genre_covered_watch_time,covered watch time approx sum of genre watch_time variables,w1_3_genre_covered_watch_time,w1_3_genre_watch_time_drama|w1_3_genre_watch_time_thriller_crime|w1_3_genre_watch_time_sf_fantasy|w1_3_genre_watch_time_action_adventure|w1_3_genre_watch_time_animation_family|w1_3_genre_watch_time_romance|w1_3_genre_watch_time_comedy|w1_3_genre_watch_time_historical_war|w1_3_genre_watch_time_horror|w1_3_genre_watch_time_other,APPROX_OR_PARTIAL,774.0,Y,Y,"Consider removing derivatives or totals, keeping one representative per concept."
w1_3,genre_ratio_sum,genre ratios sum approximately to 1 when genre-covered watch exists,,w1_3_genre_ratio_drama|w1_3_genre_ratio_thriller_crime|w1_3_genre_ratio_sf_fantasy|w1_3_genre_ratio_action_adventure|w1_3_genre_ratio_animation_family|w1_3_genre_ratio_romance|w1_3_genre_ratio_comedy|w1_3_genre_ratio_historical_war|w1_3_genre_ratio_horror|w1_3_genre_ratio_other,APPROX_OR_PARTIAL,0.994505,Y,Y,"Consider removing derivatives or totals, keeping one representative per concept."
w1_3,genre_missing_ratio_complement,missing ratio approx 1 - covered ratio,w1_3_genre_missing_watch_ratio,w1_3_genre_covered_watch_ratio,APPROX_OR_PARTIAL,1.0,Y,Y,"Consider removing derivatives or totals, keeping one representative per concept."
w1_4,total_watch_time,total = sum of weekly watch_time,w1_4_total_watch_time,w1_4_week1_watch_time|w1_4_week2_watch_time|w1_4_week3_watch_time|w1_4_week4_watch_time,CONFIRMED,0.0,Y,Y,"Consider removing derivatives or totals, keeping one representative per concept."
w1_4,total_sessions,total = sum of weekly sessions,w1_4_total_sessions,w1_4_week1_sessions|w1_4_week2_sessions|w1_4_week3_sessions|w1_4_week4_sessions,CONFIRMED,0.0,Y,Y,"Consider removing derivatives or totals, keeping one representative per concept."
w1_4,genre_covered_watch_time,covered watch time approx sum of genre watch_time variables,w1_4_genre_covered_watch_time,w1_4_genre_watch_time_drama|w1_4_genre_watch_time_thriller_crime|w1_4_genre_watch_time_sf_fantasy|w1_4_genre_watch_time_action_adventure|w1_4_genre_watch_time_animation_family|w1_4_genre_watch_time_romance|w1_4_genre_watch_time_comedy|w1_4_genre_watch_time_historical_war|w1_4_genre_watch_time_horror|w1_4_genre_watch_time_other,APPROX_OR_PARTIAL,774.0,Y,Y,"Consider removing derivatives or totals, keeping one representative per concept."
w1_4,genre_ratio_sum,genre ratios sum approximately to 1 when genre-covered watch exists,,w1_4_genre_ratio_drama|w1_4_genre_ratio_thriller_crime|w1_4_genre_ratio_sf_fantasy|w1_4_genre_ratio_action_adventure|w1_4_genre_ratio_animation_family|w1_4_genre_ratio_romance|w1_4_genre_ratio_comedy|w1_4_genre_ratio_historical_war|w1_4_genre_ratio_horror|w1_4_genre_ratio_other,APPROX_OR_PARTIAL,0.994832,Y,Y,"Consider removing derivatives or totals, keeping one representative per concept."
w1_4,genre_missing_ratio_complement,missing ratio approx 1 - covered ratio,w1_4_genre_missing_watch_ratio,w1_4_genre_covered_watch_ratio,APPROX_OR_PARTIAL,1.0,Y,Y,"Consider removing derivatives or totals, keeping one representative per concept."
