archive_path,source_path,file_size,included
notebook/16x_SHAP_candidate_interpretation_260516/16x_SHAP_candidate_interpretation_260516.ipynb,C:\Code\ott-churn-prediction\park.ingyeom\notebook\16x_SHAP_candidate_interpretation_260516\16x_SHAP_candidate_interpretation_260516.ipynb,72334,yes
reports/interpretation/16x_SHAP_candidate_interpretation_hotfix_260516/16x_hotfix_change_manifest.csv,C:\Code\ott-churn-prediction\park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_hotfix_260516\16x_hotfix_change_manifest.csv,1184,yes
reports/interpretation/16x_SHAP_candidate_interpretation_hotfix_260516/16x_hotfix_figure_review.csv,C:\Code\ott-churn-prediction\park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_hotfix_260516\16x_hotfix_figure_review.csv,1160,yes
reports/interpretation/16x_SHAP_candidate_interpretation_hotfix_260516/16x_hotfix_visualization_inventory.csv,C:\Code\ott-churn-prediction\park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_hotfix_260516\16x_hotfix_visualization_inventory.csv,350,yes
reports/interpretation/16x_SHAP_candidate_interpretation_hotfix_260516/16x_hotfix_before_after_hash.csv,C:\Code\ott-churn-prediction\park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_hotfix_260516\16x_hotfix_before_after_hash.csv,1131,yes
reports/interpretation/16x_SHAP_candidate_interpretation_hotfix_260516/16x_hotfix_final_checks.csv,C:\Code\ott-churn-prediction\park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_hotfix_260516\16x_hotfix_final_checks.csv,691,yes
reports/interpretation/16x_SHAP_candidate_interpretation_260516/README.md,C:\Code\ott-churn-prediction\park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\README.md,8064,yes
reports/interpretation/16x_SHAP_candidate_interpretation_hotfix_260516/note_tail_copy.md,C:\Code\ott-churn-prediction\park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_hotfix_260516\note_tail_copy.md,8598,yes
reports/figures/16x_SHAP_candidate_interpretation_260516/16x_fig_scope_top10_SHAP_comparison.png,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\16x_SHAP_candidate_interpretation_260516\16x_fig_scope_top10_SHAP_comparison.png,210468,yes
reports/interpretation/16x_SHAP_candidate_interpretation_hotfix_260516/16x_hotfix_review_zip_inventory.csv,C:\Code\ott-churn-prediction\park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_hotfix_260516\16x_hotfix_review_zip_inventory.csv,2530,yes
