no,column_name,presentation_label_ko,presentation_label_en,window,feature_family,interpretation_group,value_type,modeling_role,source_stage,source_table,used_in_any_feature_set,used_in_primary_model,used_in_stage07r_true_shap,shap_rank,mean_abs_shap,example_values_or_range,missing_rate,unique_count,calculation_logic,plain_interpretation,caution,target_adjacent_or_redundancy_flag,final_use_recommendation,do_not_claim
14,w1_3_has_watch_obs,1~3주 시청 관측 여부,w1 3 has watch obs,w1_3,usage,watch_presence,boolean,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,144,0.0,"min=0, median=1.0, max=1",0.0,2,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
15,w1_3_no_watch_obs_flag,1~3주 무시청 여부,w1 3 no watch obs flag,w1_3,usage,watch_presence,boolean,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,143,0.0,"min=0, median=0.0, max=1",0.0,2,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
16,w1_3_total_watch_time,1~3주 총 시청 시간,w1 3 total watch time,w1_3,usage,usage_volume,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,29,0.0300907716019506,"min=0.0, median=203.0, max=6474.0",0.0,1553,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
17,w1_3_total_sessions,1~3주 총 시청 세션 수,w1 3 total sessions,w1_3,usage,usage_volume,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,77,0.00089627647196,"min=0, median=5.0, max=104",0.0,61,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
18,w1_3_unique_contents,1~3주 고유 콘텐츠 수,w1 3 unique contents,w1_3,usage,usage_volume,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,62,0.0043108254555931,"min=0, median=4.0, max=67",0.0,42,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
19,w1_3_unique_watch_days,1~3주 시청일 수,w1 3 unique watch days,w1_3,usage,usage_volume,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,63,0.0042940900260431,"min=0, median=3.0, max=20",0.0,20,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",Y,group_for_interpretation,"Do not claim causality, independent effect, or guaranteed retention impact."
20,w1_3_avg_watch_time_per_session,1~3주 세션당 평균 시청 시간,w1 3 avg watch time per session,w1_3,usage,session_intensity,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,18,0.082452738365414,"min=0.0, median=39.25, max=200.0",0.0,5346,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",N,use,"Do not claim causality, independent effect, or guaranteed retention impact."
21,w1_3_sessions_per_active_day,1~3주 활성일당 세션 수,w1 3 sessions per active day,w1_3,usage,session_intensity,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,58,0.0049271126538452,"min=0.0, median=1.5, max=18.0",0.0,241,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,값이 클수록 관측창 안의 시청 활동량 또는 집중도가 큽니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",N,use,"Do not claim causality, independent effect, or guaranteed retention impact."
22,w1_3_active_span_days,1~3주 활동 기간,w1 3 active span days,w1_3,usage,other,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,26,0.0488356005395315,"min=0, median=10.0, max=21",0.0,22,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,예측 설명에는 사용할 수 있지만 인과효과로 해석하지 않습니다.,"예측적, 설명적 신호로만 사용하고 원인으로 말하지 않습니다.",N,use,"Do not claim causality, independent effect, or guaranteed retention impact."
23,w1_3_first_watch_rel_day,1~3주 첫 시청 상대일,w1 3 first watch rel day,w1_3,usage,watch_timing_rel_day,numeric,feature,Stage 03,modeling_dataset_v2_w1_3.csv,Y,Y,Y,5,0.1738880203905324,"min=0.0, median=4.0, max=20.0",0.06259140099444283,21,Stage 03/04/05 산출물에서 membership_row_id 단위로 집계 또는 보존된 변수입니다.,값이 클수록 첫 시청 또는 마지막 시청이 구독 시작 후 더 늦게 발생했다는 뜻입니다.,재구독 판단 시점에 가까운 행동 proxy일 수 있어 target-adjacent로 조심해야 합니다.,Y,use_with_caution,"Do not claim causality, independent effect, or guaranteed retention impact."
