window,feature,count,min,max,mean,zero_count
w1_3,w1_3_content_has_watch_obs,23933,0.0,1.0,0.937409,1498
w1_3,w1_3_genre_covered_watch_time,23933,0.0,6474.0,297.255839,1498
w1_3,w1_3_genre_missing_watch_time,23933,0.0,0.0,0.0,23933
w1_3,w1_3_genre_covered_watch_ratio,23933,0.0,1.0,0.937409,1498
w1_3,w1_3_genre_missing_watch_ratio,23933,0.0,0.0,0.0,23933
w1_3,w1_3_genre_unique_count,23933,0.0,11.0,2.908871,1498
w1_3,w1_3_top_genre_watch_time,23933,0.0,4388.0,166.899971,1498
w1_3,w1_3_top_genre_watch_ratio,23933,0.0,1.0,0.649762,1498
w1_3,w1_3_genre_entropy,23933,0.0,3.050084,0.909396,6259
w1_3,w1_3_genre_ratio_drama,23933,0.0,1.0,0.169208,12604
w1_3,w1_3_genre_watch_time_drama,23933,0.0,2275.0,53.581707,12604
w1_3,w1_3_genre_session_count_drama,23933,0.0,24.0,1.173025,12604
w1_3,w1_3_genre_ratio_thriller_crime,23933,0.0,1.0,0.12118,15014
w1_3,w1_3_genre_watch_time_thriller_crime,23933,0.0,1478.0,40.715623,15014
w1_3,w1_3_genre_session_count_thriller_crime,23933,0.0,28.0,0.827936,15014
w1_3,w1_3_genre_ratio_sf_fantasy,23933,0.0,1.0,0.116586,16563
w1_3,w1_3_genre_watch_time_sf_fantasy,23933,0.0,2370.0,39.088079,16563
w1_3,w1_3_genre_session_count_sf_fantasy,23933,0.0,34.0,0.820708,16563
w1_3,w1_3_genre_ratio_action_adventure,23933,0.0,1.0,0.105023,15681
w1_3,w1_3_genre_watch_time_action_adventure,23933,0.0,1969.0,32.814524,15681
w1_3,w1_3_genre_session_count_action_adventure,23933,0.0,23.0,0.760582,15681
w1_3,w1_3_genre_ratio_animation_family,23933,0.0,1.0,0.106686,18021
w1_3,w1_3_genre_watch_time_animation_family,23933,0.0,1625.0,29.516567,18021
w1_3,w1_3_genre_session_count_animation_family,23933,0.0,45.0,0.738144,18021
w1_3,w1_3_genre_ratio_romance,23933,0.0,1.0,0.093898,16519
w1_3,w1_3_genre_watch_time_romance,23933,0.0,4388.0,28.902018,16519
w1_3,w1_3_genre_session_count_romance,23933,0.0,40.0,0.685581,16519
