MOVIE_NUM,source_row_number,movie_title,ott_release_month,genre,chosen_source_row_number,chosen_genre,genre_conflict_flag
1435,1436,아나콘다(1997),202003,Action/Adventure,1436,Action/Adventure,Y
1435,1437,아나콘다(1997),202003,Comedy,1436,Action/Adventure,Y
1435,1438,아나콘다(1997),202003,Action/Adventure,1436,Action/Adventure,Y
2012,2004,뮬란,201609,Action/Adventure,2004,Action/Adventure,Y
2012,2005,뮬란,201609,Animation/Family,2004,Action/Adventure,Y
2012,2006,뮬란,201609,Animation/Family,2004,Action/Adventure,Y
2012,2007,뮬란,201609,Animation/Family,2004,Action/Adventure,Y
2012,2008,뮬란,201609,Animation/Family,2004,Action/Adventure,Y
3967,3961,뮬란(2020),202010,Action/Adventure,3961,Action/Adventure,Y
3967,3962,뮬란(2020),202010,Animation/Family,3961,Action/Adventure,Y
3967,3963,뮬란(2020),202010,Animation/Family,3961,Action/Adventure,Y
3967,3964,뮬란(2020),202010,Animation/Family,3961,Action/Adventure,Y
3967,3965,뮬란(2020),202010,Animation/Family,3961,Action/Adventure,Y
4946,4931,드래곤길들이기,201211,Animation/Family,4931,Animation/Family,Y
4946,4932,드래곤길들이기,201211,Animation/Family,4931,Animation/Family,Y
4946,4933,드래곤길들이기,201211,Action/Adventure,4931,Animation/Family,Y
5763,5748,인어공주(1989),201912,Romance,5748,Romance,Y
5763,5749,인어공주(1989),201912,SF/Fantasy,5748,Romance,Y
5763,5750,인어공주(1989),201912,Romance,5748,Romance,Y
5763,5751,인어공주(1989),201912,SF/Fantasy,5748,Romance,Y
5763,5752,인어공주(1989),201912,Romance,5748,Romance,Y
6475,6460,메리미,201610,Comedy,6460,Comedy,Y
6475,6461,메리미,201610,Romance,6460,Comedy,Y
9664,9620,뮬란(2019),202008,Action/Adventure,9620,Action/Adventure,Y
9664,9621,뮬란(2019),202008,Animation/Family,9620,Action/Adventure,Y
9664,9622,뮬란(2019),202008,Animation/Family,9620,Action/Adventure,Y
9664,9623,뮬란(2019),202008,Animation/Family,9620,Action/Adventure,Y
9664,9624,뮬란(2019),202008,Animation/Family,9620,Action/Adventure,Y
10508,10455,최후의카운트다운,201905,Historical/War,10455,Historical/War,Y
10508,10456,최후의카운트다운,201905,SF/Fantasy,10455,Historical/War,Y
12135,12069,로지(2018),201909,Comedy,12069,Comedy,Y
12135,12070,로지(2018),201909,Romance,12069,Comedy,Y
