version,field,value,count
v2,unified_genres,드라마,2385
v2,unified_genres,액션,1592
v2,unified_genres,스릴러,1431
v2,unified_genres,범죄,1431
v2,unified_genres,코미디,945
v2,unified_genres,SF,812
v2,unified_genres,판타지,812
v2,unified_genres,로맨스,756
v2,unified_genres,기타,508
v2,unified_genres,모험,488
v2,unified_genres,어드벤처,488
v2,unified_genres,공포,415
v2,unified_genres,가족,308
v2,unified_genres,애니메이션,290
v2,unified_genres,키즈,290
v2,unified_genres,전쟁,264
v2,unified_genres,재난,264
v2,unified_genres,다큐,255
v2,unified_genres,교양,255
v2,unified_countries,미국,2197
v2,unified_countries,한국,1248
v2,unified_countries,영국,421
v2,unified_countries,프랑스,372
v2,unified_countries,일본,344
v2,unified_countries,중국,327
v2,unified_countries,홍콩,209
v2,unified_countries,독일,156
v2,unified_countries,캐나다,144
v2,unified_countries,벨기에,74
v2,unified_countries,이탈리아,71
v2,unified_countries,러시아,68
v2,unified_countries,스페인,59
v2,unified_countries,호주,49
v2,unified_countries,스웨덴,39
v2,unified_countries,China,33
v2,unified_countries,대만,31
v2,unified_countries,네덜란드,29
v2,unified_countries,덴마크,28
v2,unified_countries,아일랜드,26
v2,unified_countries,인도,25
v2,unified_countries,노르웨이,25
v2,unified_countries,폴란드,24
v2,unified_countries,터키,20
v2,unified_countries,오스트리아,20
v2,unified_countries,멕시코,15
v2,unified_countries,헝가리,14
v2,unified_countries,핀란드,13
v2,unified_countries,스위스,13
v2,unified_countries,우크라이나,12
v2,unified_age_rating,15세,1928
v2,unified_age_rating,12세,1120
v2,unified_age_rating,청불,972
v2,unified_age_rating,전체,526
v2,unified_age_rating,국민학생관람불가,4
v2,unified_age_rating,미성년자관람가,1
v2,unified_age_rating,7세,1
