dataset_scope,model_name,fold,train_auc,valid_auc,train_valid_gap,valid_average_precision,valid_brier_score,train_row_count,valid_row_count,feature_count,warning
overall_without_promotion,LogisticRegression,1,0.7881615110802821,0.7835880077279866,0.004573503352295449,0.8926820342841824,0.16025762692018194,18463,4616,22,
overall_without_promotion,LogisticRegression,2,0.7858642154212815,0.7899557016674293,-0.004091486246147857,0.9021198426526449,0.16016272700577594,18464,4615,22,
overall_without_promotion,LogisticRegression,3,0.7866987926726884,0.7884751145558679,-0.0017763218831795546,0.8970012528188418,0.15944979757638728,18464,4615,22,
overall_without_promotion,LogisticRegression,4,0.7877148556464183,0.7856006234695312,0.0021142321768871097,0.8918279440044432,0.15980281917601327,18461,4618,22,
overall_without_promotion,LogisticRegression,5,0.7880605653886155,0.7828685706503513,0.00519199473826415,0.8927852649378945,0.16000918563233713,18464,4615,22,
overall_without_promotion,HistGradientBoosting,1,0.8510947382677005,0.8085196561675706,0.042575082100129946,0.9069436272255189,0.15122867437976115,18463,4616,22,"Could not find the number of physical cores for the following reason:
[WinError 2] 지정된 파일을 찾을 수 없습니다
Returning the number of logical cores instead. You can silence this warning by setting LOKY_MAX_CPU_COUNT to the number of cores you want to use."
overall_without_promotion,HistGradientBoosting,2,0.8538678584282435,0.818154256216034,0.03571360221220954,0.9151987134438004,0.14957037114115382,18464,4615,22,
overall_without_promotion,HistGradientBoosting,3,0.8534997902416444,0.8186887035777748,0.03481108666386956,0.9122241643555844,0.1476817654889138,18464,4615,22,
overall_without_promotion,HistGradientBoosting,4,0.8499780780222654,0.8162238710596208,0.03375420696264464,0.9113671739548951,0.14870924594159474,18461,4618,22,
overall_without_promotion,HistGradientBoosting,5,0.851153312147807,0.8084398213428745,0.042713490804932475,0.9062204848816988,0.15148241167506682,18464,4615,22,
overall_without_promotion,RandomForest,1,0.8210693781333916,0.801772255008743,0.019297123124648596,0.9037304503935661,0.15378318924360324,18463,4616,22,
overall_without_promotion,RandomForest,2,0.8188843228242728,0.8136759000024087,0.005208422821864067,0.9155921582692846,0.15240999322587268,18464,4615,22,
overall_without_promotion,RandomForest,3,0.8190798735164928,0.8133705180537825,0.0057093554627103416,0.9107998714153712,0.15108252494677255,18464,4615,22,
overall_without_promotion,RandomForest,4,0.8193024352863796,0.8094214920360137,0.009880943250365926,0.9073063526813658,0.15151439366204505,18461,4618,22,
overall_without_promotion,RandomForest,5,0.8212899392322897,0.8000998947549811,0.021190044477308545,0.9025679466017558,0.1541438727526921,18464,4615,22,
overall_without_promotion,GradientBoosting,1,0.8289842012454781,0.808419629493791,0.020564571751687133,0.9073990954710005,0.1518036733342789,18463,4616,22,
