warning_type,dataset_scope,model_name,fold,severity,message,actual_model_output_folder,actual_figure_output_folder
optional_model_unavailable,,CatBoost,,INFO,No module named 'catboost',C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_without_promotion,HistGradientBoosting,1,WARNING,"Could not find the number of physical cores for the following reason:
[WinError 2] 지정된 파일을 찾을 수 없습니다
Returning the number of logical cores instead. You can silence this warning by setting LOKY_MAX_CPU_COUNT to the number of cores you want to use.",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_without_promotion,LightGBM,1,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_without_promotion,LightGBM,1,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_without_promotion,LightGBM,2,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_without_promotion,LightGBM,2,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_without_promotion,LightGBM,3,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_without_promotion,LightGBM,3,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_without_promotion,LightGBM,4,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_without_promotion,LightGBM,4,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_without_promotion,LightGBM,5,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_without_promotion,LightGBM,5,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_with_promotion,LightGBM,1,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
model_fit_warning,overall_with_promotion,LightGBM,1,WARNING,"X does not have valid feature names, but LGBMClassifier was fitted with feature names",C:\Code\ott-churn-prediction\park.ingyeom\reports\models\12_model_baseline_comparison_260513,C:\Code\ott-churn-prediction\park.ingyeom\reports\figures\12_model_baseline_comparison_260513
