MovieCd,movieNm(api),movieNmEn,showTm,prdtYear,openDt,typeNm,nationNm,genreNm,directors,actors,watchGrade,wavve_title
20070178,이퀼리브리엄,Equilibrium,107.0,2002.0,20031002.0,장편,미국,액션|드라마|SF|스릴러,커트 위머,크리스찬 베일|에밀리 왓슨|타이 딕스,15세관람가,이퀼리브리엄
20080834,당신이 잠든 사이에,What Happened Last Night,98.0,2008.0,20080814.0,장편,한국,코미디,김정민,예지원|탁재훈|이재훈|김선영|김현숙,15세이상관람가,당신이잠든사이에(1995)
20190621,죽지않는 인간들의 밤,Night of the Undead,110.0,2019.0,20200929.0,장편,한국,코미디|스릴러,신정원,이정현|김성오|서영희|양동근|이미도,15세이상관람가,죽지않는인간들의밤
20193385,하이큐!! 땅 VS 하늘,,45.0,2020.0,20200123.0,장편,일본,애니메이션,사토 마사코,구자형|김영선|양정화|최승훈|남도형,전체관람가,하이큐!!땅VS하늘
20214848,퍼펙트 케어,I Care a Lot,118.0,2020.0,20210219.0,장편,미국,범죄|스릴러,J 블레이크슨,로자먼드 파이크|피터 딘클리지|에이사 곤잘레스|다이앤 위스트,15세이상관람가,퍼펙트케어
19940424,스타게이트,Stargate,119.0,1994.0,19941217.0,장편,미국,SF|액션|어드벤처|판타지,롤랜드 에머리히,제임스 스페이더,중학생이상관람가,스타게이트(1994)
20183744,니나 내나,Family Affair,102.0,2019.0,20191030.0,장편,한국,드라마,이동은,장혜진|태인호|이가섭|김진영|김진영,12세이상관람가,니나내나
20060233,플라이트93,United 93,110.0,2006.0,20060908.0,장편,미국,범죄|드라마,폴 그린그래스,개리 코먹|오팔 알라딘,15세관람가,플라이트93(2006)
20203908,운봉,,80.0,2020.0,,장편,한국,액션,장동현,신재범|고태진|윤현수,15세이상관람가,운봉
20201468,투빅맨,TWO BIG MEN,86.0,2020.0,,장편,한국,액션|코미디,이상철,우강민|정종우|이수진|이재성|김정한,,투빅맨
20180146,작은 집,The Little House,136.0,2014.0,,장편,일본,드라마,야마다 요지,마츠 다카코|바이쇼 치에코,,작은집
20178490,온리 더 브레이브,Only the Brave,133.0,2017.0,20180307.0,장편,미국,드라마,조셉 코신스키,조슈 브롤린|마일즈 텔러|제프 브리지스|제임스 뱃지 데일|테일러 키취,12세이상관람가,온리더브레이브(2018)
20098371,존 라베 : 난징 대학살,John Rabe,134.0,2009.0,20140320.0,장편,독일,전쟁|드라마,플로리안 갈렌베르거,울리히 터커|다니엘 브륄|스티브 부세미,청소년관람불가,존라베-난징대학살
20195787,인스트루먼트 오브 워,Instrument of War,88.0,2017.0,,장편,미국,드라마|액션|전쟁,,다니엘 벳츠,15세이상관람가,인스트루먼트오브워
20184969,아이스브레이커,Icebreaker,123.0,2016.0,20190104.0,장편,러시아,액션|드라마,니콜라이 콤메리키,피요트르 피오도로프,12세이상관람가,아이스브레이커
20165367,신 고질라,Shin Godzilla,119.0,2016.0,20170308.0,장편,일본,SF|액션|드라마,안노 히데아키|히구치 신지,하세가와 히로키|이시하라 사토미|타케노우치 유타카,12세이상관람가,신고질라
20209013,워 위드 그랜파,The War with Grandpa,97.0,2020.0,20210224.0,장편,미국,코미디,팀 힐,로버트 드 니로|우마 서먼|오크스 페글리,12세이상관람가,워위드그랜파
20131248,드래곤 길들이기 2,How To Train Your Dragon 2,101.0,2014.0,20140723.0,장편,미국,애니메이션|액션|어드벤처,딘 데블로이스,제이 바루첼|제라드 버틀러|케이트 블란쳇|아메리카 페레라,전체관람가,드래곤길들이기2[2D]
20150467,베티블루 37.2 디오리지널,Betty Blue,184.0,1986.0,20160728.0,장편,프랑스,멜로/로맨스,장 자크 베넥스,장-위그 앙글라드|베아트리체 달,청소년관람불가,베티블루37.2디오리지널
20168823,애정중독,Out Of Love,96.0,2016.0,20170124.0,장편,네덜란드|프랑스,드라마,팔로마 아귈레라 발데베니토,다닐 보로비요프|나오미 벨리사리아우,청소년관람불가,애정중독
20190352,작전명 반데라스,Call Sign Banderas,110.0,2018.0,,장편,우크라이나,전쟁|액션|스릴러,자자 부아즈,,15세이상관람가,작전명반데라스
20201692,이 안에 외계인이 있다,There is an Alien Here,78.0,2019.0,20210203.0,장편,한국,코미디|SF,최은종,조병규|배누리|이현웅|태항호|윤진영,12세이상관람가,이안에외계인이있다
20149859,마다가스카의 펭귄,The Penguins of Madagascar,91.0,2014.0,20141231.0,장편,미국,애니메이션|코미디|어드벤처|가족,에릭 다넬|사이몬 J.스미스,베네딕트 컴버배치|존 말코비치|톰 맥그라스|크리스 밀러|크리스토퍼 나이츠,전체관람가,마다가스카의펭귄[2D]
20136761,개구쟁이 스머프 2,The Smurfs 2,104.0,2013.0,20130801.0,장편,미국,애니메이션|코미디|가족,라자 고스넬,박명수|닐 패트릭 해리스|크리스티나 리치|알란 커밍|행크 아자리아,전체관람가,개구쟁이스머프2[2D]
20050314,베를린 천사의 시,Wings Of Desire,127.0,1987.0,19930515.0,장편,독일,드라마|멜로/로맨스|판타지,빔 벤더스,브루노 간츠|솔베이그 도마르틴,연소자관람가,베를린천사의시
20183581,케이크메이커,The Cakemaker,108.0,2017.0,20180524.0,장편,독일,드라마|멜로/로맨스,오피르 라울 그라이저,사라 애들러|팀 칼코프|로이 밀러,15세이상관람가,케이크메이커
20170422,바나나쏭의 기적,Singing with Angry Bird,89.0,2018.0,20180308.0,장편,한국,다큐멘터리,송우용|지혜원,김재창,전체관람가,바나나쏭의기적
20124587,바람에 쓴 편지,WRITTEN ON THE WIND,99.0,1956.0,,장편,미국,드라마|멜로/로맨스,더글라스 서크,록 허드슨|로렌 바콜|로버트 스택,,바람에쓴편지
20124567,무기여 잘 있거라,A Farewell to Arms,80.0,1932.0,,장편,미국,멜로/로맨스|전쟁|드라마,프랭크 보제즈,헬렌 헤이즈|게리 쿠퍼,,무기여잘있거라
19990191,슬픔은 그대 가슴에,Imitation Of Life,124.0,1959.0,19990508.0,장편,미국,드라마|가족,더글라스 서크,라나 터너,12세관람가,슬픔은그대가슴에
20080975,원스 어폰 어 타임 인 아메리카,Once Upon A Time In America,250.0,1984.0,19841210.0,장편,미국|이탈리아,액션,세르지오 레오네,엘리자베스 맥거번|트리트 윌리엄스|조 페시|제임스 우즈|제니퍼 코넬리,국민학생관람불가,원스어폰어타임인아메리카[감독확장판]
20126745,리미트리스,Limitless,105.0,2011.0,20120712.0,장편,미국,미스터리|스릴러|액션,닐 버거,브래들리 쿠퍼|애비 코니시|로버트 드 니로,15세이상관람가,리미트리스(2011)
20145042,스틸 앨리스,Still Alice,101.0,2014.0,20150429.0,장편,미국,드라마,리처드 글랫저|워시 웨스트모어랜드,줄리안 무어|알렉 볼드윈|크리스틴 스튜어트|케이트 보스워스,12세이상관람가,스틸앨리스
20187285,언덕길의 아폴론,Kids on the Slope,119.0,2018.0,20180829.0,장편,일본,드라마,미키 타카히로,치넨 유리|나카가와 타이시|고마츠 나나,전체관람가,언덕길의아폴론(2018)
20088337,펠론,Felon,104.0,2008.0,,장편,미국,범죄|드라마,릭 로먼 워,스티븐 도프|발 킬머,청소년관람불가,펠론(2008)
20050255,플라이트 플랜,Flightplan,98.0,2005.0,20051118.0,장편,미국,드라마,로베르트 슈벤트케,피터 사스가드,12세관람가,플라이트플랜
20121861,더 임파서블,The Impossible,113.0,2012.0,20130117.0,장편,스페인|미국,액션|드라마|스릴러,후안 안토니오 바요나,이완 맥그리거|나오미 왓츠,12세이상관람가,더임파서블
20175143,우리는 같은 꿈을 꾼다,On Body and Soul,115.0,2017.0,20171130.0,장편,헝가리,드라마,일디코 엔예디,게자 모르산이|알렉상드라 보르벨리,청소년관람불가,우리는같은꿈을꾼다
20166362,비거 스플래쉬,A Bigger Splash,124.0,2015.0,20160803.0,장편,이탈리아|프랑스,멜로/로맨스,루카 구아다그니노,틸다 스윈튼|랄프 파인즈|마티아스 쇼에나에츠|다코타 존슨,청소년관람불가,비거스플래쉬
20217055,깨져버린 불륜,FAITHLESS,79.0,2020.0,20210318.0,장편,미국,멜로/로맨스,,라이언 드릴러,청소년관람불가,깨져버린불륜
19900237,니키타,Nikita,117.0,1990.0,19900630.0,장편,프랑스,액션,뤽 베송,안느 파릴로|장-위그 앙글라드|체키 카료,고등학생이상관람가,니키타[리마스터링]
