simulation_type,scenario,name,n_or_targeted_users,treated_users,incremental_retained_users,financial_status,status,caution,source_file
segment_base_scenario,base,top_decile_high_churn_risk,478.0,345.355,10.36065,assumption_required_no_profit_claim,claim_with_caution,"Assumption-based scenario output, not experiment result.",park.ingyeom/reports/tables/09_v2_business_simulation/09_v2_segment_simulation_low_base_high.csv
segment_base_scenario,base,risk_10_30_low_engagement,478.0,325.04,9.7512,assumption_required_no_profit_claim,claim_with_caution,"Assumption-based scenario output, not experiment result.",park.ingyeom/reports/tables/09_v2_business_simulation/09_v2_segment_simulation_low_base_high.csv
segment_base_scenario,base,risk_10_30_other_review,478.0,267.68,8.0304,assumption_required_no_profit_claim,claim_with_caution,"Assumption-based scenario output, not experiment result.",park.ingyeom/reports/tables/09_v2_business_simulation/09_v2_segment_simulation_low_base_high.csv
segment_base_scenario,base,late_week3_engaged_retention_candidate,1174.0,440.25,6.60375,assumption_required_no_profit_claim,claim_with_caution,"Assumption-based scenario output, not experiment result.",park.ingyeom/reports/tables/09_v2_business_simulation/09_v2_segment_simulation_low_base_high.csv
segment_base_scenario,base,genre_affinity_content_recommendation_pool,1496.0,561.0,8.415,assumption_required_no_profit_claim,claim_with_caution,"Assumption-based scenario output, not experiment result.",park.ingyeom/reports/tables/09_v2_business_simulation/09_v2_segment_simulation_low_base_high.csv
segment_base_scenario,base,low_risk_or_general_maintenance,673.0,94.22,0.0,assumption_required_no_profit_claim,claim_with_caution,"Assumption-based scenario output, not experiment result.",park.ingyeom/reports/tables/09_v2_business_simulation/09_v2_segment_simulation_low_base_high.csv
portfolio_base_scenario,base,high_risk_only,478.0,345.355,10.36065,assumption_required_no_profit_claim,claim_with_caution,Safest presentation scope and smallest contact volume.,park.ingyeom/reports/tables/09_v2_business_simulation/09_v2_portfolio_simulation_summary.csv
portfolio_base_scenario,base,high_risk_plus_low_engagement,956.0,670.395,20.11185,assumption_required_no_profit_claim,claim_with_caution,"Still focused, but requires onboarding execution capacity.",park.ingyeom/reports/tables/09_v2_business_simulation/09_v2_portfolio_simulation_summary.csv
portfolio_base_scenario,base,broad_risk,1434.0,938.075,28.14225,assumption_required_no_profit_claim,claim_with_caution,More aggressive high-risk contact; watch contact fatigue.,park.ingyeom/reports/tables/09_v2_business_simulation/09_v2_portfolio_simulation_summary.csv
portfolio_base_scenario,base,maintenance_light,4104.0,1939.325,43.161,assumption_required_no_profit_claim,claim_with_caution,Largest scope; maintenance and recommendation effects are more assumption-sensitive.,park.ingyeom/reports/tables/09_v2_business_simulation/09_v2_portfolio_simulation_summary.csv
