membership_row_id,USER_KEY,is_repurchase,target_repurchase,repurchase_score,churn_risk_score,sample_role
2,4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef4594ee72306b661c43d19086f82f85f02bbb5716280f52bb7f0fde823a0656a830a0e6e41f,N,0,0.13529036578931697,0.864709634210683,primary_conservative_holdout_interpretation_sample
4,d2f2278c38ea110d35afb55fa20ccf96d735e1254c1fd40b7d236216701246044bf1e2d6efb1a7b6024230cb6d821e4ad21718d3e20a9695ce38937d843f7414,Y,1,0.8984577916107955,0.10154220838920447,primary_conservative_holdout_interpretation_sample
38,54175736d7329ec748fa16d244827714a36cab9941d37903ac2f898f9a6d71b1cde808b211e884c837cf8ecd3a0b1c927b4e9fcbbd754445d4849340003d20cc,N,0,0.40201166932845145,0.5979883306715486,primary_conservative_holdout_interpretation_sample
54,c494c7c9bdec198be2723c4fd300084e8edb2bb32932731b449106cb4171a41920a05f23e4a92c44d5ecc5adf5f4dd6defa9a8203ea7bdbff8d2a63134fa86bf,N,0,0.6700147184737384,0.3299852815262616,primary_conservative_holdout_interpretation_sample
72,beb0ace233b0f7097c2b10da13120685fe555476e4969f24731e5ec652456d2fecf9f678eb0280b1cb7d25aff62a82a6ab4f7b2df6c0f394613e76a1e6bd8168,Y,1,0.6587115861385398,0.34128841386146025,primary_conservative_holdout_interpretation_sample
123,50ab814f4ed1779d6695a1c25bcbe8de8efae7bceb5bab853acfcd5308e01ca5b89a5a33535abe2884f47913556241456cdd5a7bacdbaa0653bb8aa8f39dda2d,N,0,0.8084402265199827,0.1915597734800173,primary_conservative_holdout_interpretation_sample
126,8c96b989d719017342dc20643075f48ef659bc298b55f8990dc3eb5251b273d134cdbe0f49af96a8d1af05c4737adf9c1b1ffdc06ba69737b99264d4eac11099,Y,1,0.92190067945104,0.07809932054895996,primary_conservative_holdout_interpretation_sample
143,2697fe2a7799a58d07c2001c7e3bd7ef31bbfcd6dc9d6dfafa15b591a97831d685d3bb6ccfc6beff2370173fec9d4d344c5051e3a37f8f0030501efcc318c897,N,0,0.20448388587979666,0.7955161141202034,primary_conservative_holdout_interpretation_sample
145,076f6278c207ac0a9717ca3dbb656fb41975c3b5a98fbd905af6f3caea72017649979cffa7d94bd6f5adb302d5e4abf40f5809ed0b93a58323bc044018b959f6,N,0,0.9794310321231253,0.020568967876874678,primary_conservative_holdout_interpretation_sample
146,489089df04cffa0bdee0ef3d59eb349da5b6bf8b06b5ebdd29045873518a24b3a719ddb22e6e55365dc49b59e8274862abd785a1f83fb679d0b28189bd9b9505,Y,1,0.8929376840482658,0.10706231595173421,primary_conservative_holdout_interpretation_sample
153,d427e1a3b914a272681b982e3c6e2078fe05595913e175148f3b7e49992e988a08a6be88ae4a95153ff2e514a452400bc0ad13777ddccc34751a1948c024efe9,N,0,0.4415707979097351,0.5584292020902649,primary_conservative_holdout_interpretation_sample
161,0e5f2d3c3fd319d6d721106a5fded2d87d8d276e13d9a6c789d7834f3fe26280ab7157997ec3d80ca5972b77edcc8d47e920702f165f189c01c226162e86268a,N,0,0.34535848285359266,0.6546415171464073,primary_conservative_holdout_interpretation_sample
165,e0fc3e22e6562c8fc6cc281e5f9ea381cc2039949d4351ad48734b34cc6a847b0f028cf422503365a1612fe4d1ce1debe605e2ba8b3d5647563cb97ec70e432b,N,0,0.9134192614394698,0.08658073856053017,primary_conservative_holdout_interpretation_sample
170,6f1a8947da0f5a9913f22813ec66d492291eedaaa0c418f04652d44e835d0d88999c30456f142bc6adbfa34f98334dd7f69b7f65b61ea44cfd5f1aba14bd50d9,Y,1,0.9244019804226271,0.07559801957737289,primary_conservative_holdout_interpretation_sample
201,1aa63129628d64f3c8aabb427b62e6f9e11bafef6d0d4b547e87847685831ea4a5422532fd05edc43844b763f2d8d7a4384fe329a3449acc5fdf82e1ca54aa9f,N,0,0.7150496924353572,0.2849503075646428,primary_conservative_holdout_interpretation_sample
205,240d6a32e6241b82ad5b01cb830d856874d6563e97e45006f8d1edc38035ba262ef59eb569e7e17c74b00e257dedbf2133706b893f6fdb8dff3b36b1b6c297a1,Y,1,0.9530772630942608,0.046922736905739226,primary_conservative_holdout_interpretation_sample
