segment,movie_title,viewers,repurchase_count,repurchase_rate_pct
S3,저스트프렌드,17,16,94.1
S3,더테이블,38,31,81.6
S3,주먹왕랄프2:인터넷속으로,10,8,80.0
S3,겨울왕국2,30,23,76.7
S3,개구쟁이스머프2[2D],16,12,75.0
S3,마스터(2016),98,73,74.5
S3,디파이언스(2008),39,29,74.4
S3,죽여주는여자(2016),62,46,74.2
S3,13구역:크로스파이어,15,11,73.3
S3,잭스나이더의저스티스리그,11,8,72.7
S3,테스(1979),33,24,72.7
S3,경주,18,13,72.2
S3,어벤져스:엔드게임,14,10,71.4
S3,굿바이레닌,17,12,70.6
S3,최후의카운트다운,34,24,70.6
S3,가족(2004),27,19,70.4
S3,궁(2013),74,52,70.3
S3,에이미,13,9,69.2
S3,무뢰한,56,38,67.9
S3,박화영,49,33,67.3
S3,모아나,12,8,66.7
S3,블레이드러너2049,15,10,66.7
S3,스머프:비밀의숲,12,8,66.7
S3,온리더브레이브(2018),27,18,66.7
S3,애정중독,17,11,64.7
S3,존라베-난징대학살,48,31,64.6
S3,론서바이버,39,25,64.1
S3,과속스캔들(2008),44,28,63.6
S3,법정스님의의자,11,7,63.6
S3,아뉴스데이,19,12,63.2
S3,론서바이버:아미오브원,13,8,61.5
S3,인스트루먼트오브워,18,11,61.1
S3,오네긴,46,28,60.9
S3,해바라기,15,9,60.0
S3,스페셜포스:블러드마운틴,52,31,59.6
S3,기담,19,11,57.9
S3,사일런싱,19,11,57.9
S3,타임라인(2003),23,13,56.5
S3,울지마톤즈(2010),16,9,56.2
S3,해피엔드,20,11,55.0
S3,몽골,11,6,54.5
S3,투러버스,11,6,54.5
S3,어니스트씨프,46,25,54.3
S3,전장의묵시록(2008),24,13,54.2
S3,두근두근내인생(2014),26,14,53.8
S3,리틀포레스트2:겨울과봄,13,7,53.8
S3,미녀는괴로워(2006),13,7,53.8
S3,미션파서블,13,7,53.8
S3,수상한가족,13,7,53.8
S3,퓨리어스,15,8,53.3
S3,스푸트닉,17,9,52.9
S3,버닝(2018),55,29,52.7
S3,블랙호크다운,23,12,52.2
S3,파커,49,25,51.0
S3,미이라:비밀의문,59,30,50.8
S3,언더더선,12,6,50.0
S3,콜미바이유어네임,18,9,50.0
S3,피터래빗,18,9,50.0
S3,이모티:더무비,19,9,47.4
S3,지금만나러갑니다(2018),13,6,46.2
S3,뱅가드,37,17,45.9
S3,겨울왕국,11,5,45.5
S3,작전명반데라스,33,15,45.5
S3,사생결단_SD,43,19,44.2
S3,차이나타운,14,6,42.9
S3,한나(2018),26,11,42.3
S3,나이스가이즈,36,15,41.7
S3,헝거게임:판엠의불꽃,12,5,41.7
S3,씨피버,10,4,40.0
S3,어느날,10,4,40.0
S3,어벤져스:인피니티워,10,4,40.0
S3,아마겟돈2046,18,7,38.9
S3,우상,19,7,36.8
S3,나폴리:위험한유혹,11,4,36.4
S3,스파이더맨:홈커밍,12,4,33.3
S3,운봉,24,8,33.3
S3,레지던트이블3:인류의멸망(2007),10,3,30.0
S3,호라이즌라인,11,3,27.3
S3,초이스,11,2,18.2
S3,원더우먼1984,12,2,16.7
S6,고백(2020),10,9,90.0
S6,마이걸(1991),10,9,90.0
S6,암고양이들,10,9,90.0
S6,애프터어스,12,10,83.3
S6,토이스토리4,18,15,83.3
S6,아티스트봉만대,11,9,81.8
S6,무뢰한,45,35,77.8
S6,초이스,17,13,76.5
S6,가족(2004),12,9,75.0
S6,모아나,12,9,75.0
S6,천사의사랑,12,9,75.0
S6,해피엔드,52,39,75.0
S6,이웃의아내,35,26,74.3
S6,오네긴,58,43,74.1
S6,애정중독,54,38,70.4
S6,고질라:킹오브몬스터,10,7,70.0
S6,미녀와야수(2017),10,7,70.0
S6,저스트프렌드,10,7,70.0
S6,케이크메이커,10,7,70.0
S6,럭키(2016),13,9,69.2
S6,백엔의사랑,13,9,69.2
S6,잭스나이더의저스티스리그,13,9,69.2
S6,겨울왕국열기,16,11,68.8
S6,서핑업(2007),16,11,68.8
S6,테스(1979),31,21,67.7
S6,죽여주는여자(2016),49,33,67.3
S6,보이콰이어,21,14,66.7
S6,여배우는오늘도,18,12,66.7
S6,타임랩스,18,12,66.7
S6,이모티:더무비,29,19,65.5
S6,해피이벤트,20,13,65.0
S6,마스터(2016),54,35,64.8
S6,우상,17,11,64.7
S6,박화영,56,36,64.3
S6,국제수사,11,7,63.6
S6,두근두근내인생(2014),11,7,63.6
S6,마리오네트,22,14,63.6
S6,겨울왕국2,72,45,62.5
S6,디파이언스(2008),16,10,62.5
S6,더임파서블,13,8,61.5
S6,콜미바이유어네임,13,8,61.5
S6,호라이즌라인,44,27,61.4
S6,리틀포레스트,18,11,61.1
S6,베티블루37.2디오리지널,18,11,61.1
S6,존라베-난징대학살,23,14,60.9
S6,피터래빗,33,20,60.6
S6,"안녕,형아",10,6,60.0
S6,애프터:그후,10,6,60.0
S6,펠리니를찾아서,10,6,60.0
S6,세자매,32,19,59.4
S6,투러버스,22,13,59.1
S6,기생충,17,10,58.8
S6,론서바이버,29,17,58.6
S6,더테이블,60,35,58.3
S6,론서바이버:아미오브원,24,14,58.3
S6,스머프:비밀의숲,24,14,58.3
S6,헝거게임:판엠의불꽃,12,7,58.3
S6,타임라인(2003),19,11,57.9
S6,개구쟁이스머프2[2D],21,12,57.1
S6,발몽,14,8,57.1
S6,영주,14,8,57.1
S6,알라딘(2019),23,13,56.5
S6,주먹왕랄프2:인터넷속으로,23,13,56.5
S6,큰엄마의미친봉고,23,13,56.5
S6,600결사대,48,27,56.2
S6,레컨,16,9,56.2
S6,블랙호크다운,16,9,56.2
S6,파이널포트레이트,29,16,55.2
S6,아이,31,17,54.8
S6,7번째내가죽던날,11,6,54.5
S6,너의췌장을먹고싶어,11,6,54.5
S6,베를린천사의시,11,6,54.5
S6,철의심장을가진남자,11,6,54.5
S6,시라노:연애조작단,24,13,54.2
S6,신용문객잔:피안화의저주,13,7,53.8
S6,어느날,15,8,53.3
S6,오케이마담,15,8,53.3
S6,토미리스:전쟁의여신,15,8,53.3
S6,궁(2013),47,25,53.2
S6,도굴,19,10,52.6
S6,밀리언달러트러블,47,24,51.1
S6,스푸트닉,53,27,50.9
S6,메가스네이크,26,13,50.0
S6,백조공주:왕가의비밀(2014),16,8,50.0
S6,사생결단_SD,22,11,50.0
S6,새해전야,38,19,50.0
S6,인스트루먼트오브워,12,6,50.0
S6,인턴게임,10,5,50.0
S6,지금만나러갑니다(2018),10,5,50.0
S6,히트맨(2020),10,5,50.0
S6,온리더브레이브(2018),29,14,48.3
S6,미션파서블,119,57,47.9
S6,세상의모든디저트:러브사라,23,11,47.8
S6,소울,40,19,47.5
S6,더터널,17,8,47.1
S6,겨울왕국,30,14,46.7
S6,라이어트:기계들의역습,15,7,46.7
S6,서유기:월광보합,15,7,46.7
S6,언더더선,15,7,46.7
S6,퓨리어스,71,33,46.5
S6,보스베이비,13,6,46.2
S6,주토피아,13,6,46.2
S6,남극의쉐프,24,11,45.8
S6,나이스가이즈,35,16,45.7
S6,담보,11,5,45.5
S6,백두산,11,5,45.5
S6,송가인더드라마,11,5,45.5
S6,씨피버,33,15,45.5
S6,아뉴스데이,23,10,43.5
S6,과속스캔들(2008),33,14,42.4
S6,최후의카운트다운,26,11,42.3
S6,간이역,19,8,42.1
S6,다만악에서구하소서,12,5,41.7
S6,드론전쟁:굿킬,12,5,41.7
S6,원더우먼1984,41,17,41.5
S6,후궁:제왕의첩,17,7,41.2
S6,워위드그랜파,27,11,40.7
S6,어벤져스:엔드게임,32,13,40.6
S6,뱅가드,79,32,40.5
S6,난그녀와키스했다,15,6,40.0
S6,봉마전,10,4,40.0
S6,아마겟돈2046,30,12,40.0
S6,작전명반데라스,25,10,40.0
S6,스페셜포스:블러드마운틴,48,19,39.6
S6,전장의묵시록(2008),23,9,39.1
S6,나폴리:위험한유혹,13,5,38.5
S6,사일런싱,39,15,38.5
S6,어벤져스:인피니티워,13,5,38.5
S6,버닝(2018),58,22,37.9
S6,그대이름은장미,24,9,37.5
S6,몬스터헌터,80,30,37.5
S6,"오늘밤,로맨스극장에서",40,15,37.5
S6,동감,19,7,36.8
S6,리틀포레스트2:겨울과봄,19,7,36.8
S6,한나(2018),19,7,36.8
S6,바바야가:숲의악령,11,4,36.4
S6,프리즌브레이커스,11,4,36.4
S6,천녀유혼(1987),14,5,35.7
S6,해리포터와마법사의돌,14,5,35.7
S6,블레이드러너2049,17,6,35.3
S6,어니스트씨프,136,48,35.3
S6,분노,20,7,35.0
S6,스파이더맨:홈커밍,41,14,34.1
S6,검객,27,9,33.3
S6,마이펫의이중생활2,12,4,33.3
S6,미이라:비밀의문,39,13,33.3
S6,원타치,12,4,33.3
S6,파커,45,15,33.3
S6,운봉,41,13,31.7
S6,코코,19,6,31.6
S6,퍼펙트케어,29,9,31.0
S6,도둑들:비트코인전쟁,13,4,30.8
S6,올마이라이프,23,7,30.4
S6,12번째솔저,10,3,30.0
S6,이웃사촌,10,3,30.0
S6,두잇![리마스터링],11,3,27.3
S6,국두,15,4,26.7
S6,오목소녀(2018),14,3,21.4
S6,명탐정피카츄,10,2,20.0
S6,나이브스아웃,11,2,18.2
S6,청년경찰,10,1,10.0
