item,value
w4 날짜 범위,"Day 21~27 (day_offset between 21 and 27, 포함)"
조인 키,06x USER_KEY → Membership USER_KEY → User_Mapping USER_NUM → View_History USER_NUM
날짜 조건,"watch_day - reg_date = day_offset, 21<=day_offset<=27"
06x 프로모션 이벤트 수,11904
User_Mapping 전체 행 수,23720
USER_KEY에 USER_NUM 2개 이상 매핑,41
조인 후 전체 행 수 (before w4 filter),173583
Day21~27 시청 행 수,15885
w4 있는 프로모션 이벤트,3005
w4 없는 프로모션 이벤트,8899
S4 w4 격차 재계산,"있음:5         True
20       False
27        True
28       False
33       False
         ...  
11870    False
11874    False
11889    False
11898    False
11901    False
Name: has_w4, Length: 1681, dtype: bool"
S4 w4있음 분자/분모/비율,42/468/8.97%
S4 w4없음 분자/분모/비율,151/1213/12.45%
S4 격차 (분모기준),3.47%p
S4 HTML 표기,S4:3.5%p / S6:31.4%p
S6 w4있음 분자/분모/비율,289/955/30.26%
S6 w4없음 분자/분모/비율,1386/2246/61.71%
S6 격차 (분모기준),31.45%p
S6 HTML 표기,S4:3.5%p / S6:31.4%p
