segment,category,viewers,repurchase_count,repurchase_rate_pct
S3,Action/Adventure,349,168,48.1
S3,Animation/Family,223,137,61.4
S3,Comedy,306,177,57.8
S3,Documentary,97,60,61.9
S3,Drama,501,320,63.9
S3,Historical/War,241,134,55.6
S3,Horror,111,55,49.5
S3,Other,58,33,56.9
S3,Romance,310,200,64.5
S3,SF/Fantasy,284,151,53.2
S3,Thriller/Crime,365,178,48.8
S6,Action/Adventure,653,262,40.1
S6,Animation/Family,530,290,54.7
S6,Comedy,561,289,51.5
S6,Documentary,135,61,45.2
S6,Drama,852,470,55.2
S6,Historical/War,327,157,48.0
S6,Horror,201,88,43.8
S6,Other,131,71,54.2
S6,Romance,585,331,56.6
S6,SF/Fantasy,630,281,44.6
S6,Thriller/Crime,691,274,39.7
