window,column,missing_count,missing_rate
w1_3,membership_row_id,0,0.0
w1_3,USER_KEY,0,0.0
w1_3,is_repurchase,0,0.0
w1_3,price,0,0.0
w1_3,product_code,0,0.0
w1_3,max_screen,74,0.003092
w1_3,is_promotion,11768,0.491706
w1_3,is_user_verified,768,0.03209
w1_3,gender,203,0.008482
w1_3,age,203,0.008482
w1_3,payment_device,0,0.0
w1_3,billing_method,0,0.0
w1_3,is_churn_prevented,19634,0.820374
w1_3,w1_3_has_watch_obs,0,0.0
w1_3,w1_3_no_watch_obs_flag,0,0.0
w1_3,w1_3_total_watch_time,0,0.0
w1_3,w1_3_total_sessions,0,0.0
w1_3,w1_3_unique_contents,0,0.0
w1_3,w1_3_unique_watch_days,0,0.0
w1_3,w1_3_avg_watch_time_per_session,0,0.0
w1_3,w1_3_sessions_per_active_day,0,0.0
w1_3,w1_3_active_span_days,0,0.0
w1_3,w1_3_first_watch_rel_day,1498,0.062591
w1_3,w1_3_last_watch_rel_day,1498,0.062591
w1_3,w1_3_week1_watch_time,0,0.0
w1_3,w1_3_week2_watch_time,0,0.0
w1_3,w1_3_week3_watch_time,0,0.0
w1_3,w1_3_week1_sessions,0,0.0
w1_3,w1_3_week2_sessions,0,0.0
w1_3,w1_3_week3_sessions,0,0.0
w1_3,w1_3_week1_ratio,0,0.0
w1_3,w1_3_week2_ratio,0,0.0
w1_3,w1_3_week3_ratio,0,0.0
w1_3,w1_3_w2_minus_w1_watch_time,0,0.0
w1_3,w1_3_w3_minus_w1_watch_time,0,0.0
w1_3,w1_3_max_daily_watch_time,0,0.0
w1_3,w1_3_max_day_share,0,0.0
w1_3,w1_3_one_minute_watch_count,0,0.0
w1_3,w1_3_short_watch_count_le5,0,0.0
w1_3,w1_3_short_watch_time_le5,0,0.0
w1_3,w1_3_content_has_watch_obs,0,0.0
w1_3,w1_3_genre_covered_watch_time,0,0.0
w1_3,w1_3_genre_missing_watch_time,0,0.0
w1_3,w1_3_genre_covered_watch_ratio,0,0.0
w1_3,w1_3_genre_missing_watch_ratio,0,0.0
w1_3,w1_3_genre_unique_count,0,0.0
w1_3,w1_3_top_genre,1498,0.062591
w1_3,w1_3_top_genre_watch_time,0,0.0
w1_3,w1_3_top_genre_watch_ratio,0,0.0
w1_3,w1_3_genre_entropy,0,0.0
w1_3,w1_3_genre_ratio_drama,0,0.0
w1_3,w1_3_genre_watch_time_drama,0,0.0
w1_3,w1_3_genre_session_count_drama,0,0.0
w1_3,w1_3_genre_ratio_thriller_crime,0,0.0
w1_3,w1_3_genre_watch_time_thriller_crime,0,0.0
w1_3,w1_3_genre_session_count_thriller_crime,0,0.0
w1_3,w1_3_genre_ratio_sf_fantasy,0,0.0
w1_3,w1_3_genre_watch_time_sf_fantasy,0,0.0
w1_3,w1_3_genre_session_count_sf_fantasy,0,0.0
w1_3,w1_3_genre_ratio_action_adventure,0,0.0
w1_3,w1_3_genre_watch_time_action_adventure,0,0.0
w1_3,w1_3_genre_session_count_action_adventure,0,0.0
w1_3,w1_3_genre_ratio_animation_family,0,0.0
w1_3,w1_3_genre_watch_time_animation_family,0,0.0
w1_3,w1_3_genre_session_count_animation_family,0,0.0
w1_3,w1_3_genre_ratio_romance,0,0.0
w1_3,w1_3_genre_watch_time_romance,0,0.0
w1_3,w1_3_genre_session_count_romance,0,0.0
w1_3,w1_3_genre_ratio_comedy,0,0.0
w1_3,w1_3_genre_watch_time_comedy,0,0.0
w1_3,w1_3_genre_session_count_comedy,0,0.0
w1_3,w1_3_genre_ratio_historical_war,0,0.0
w1_3,w1_3_genre_watch_time_historical_war,0,0.0
w1_3,w1_3_genre_session_count_historical_war,0,0.0
w1_3,w1_3_genre_ratio_horror,0,0.0
w1_3,w1_3_genre_watch_time_horror,0,0.0
w1_3,w1_3_genre_session_count_horror,0,0.0
w1_3,w1_3_genre_ratio_other,0,0.0
w1_3,w1_3_genre_watch_time_other,0,0.0
w1_3,w1_3_genre_session_count_other,0,0.0
w1_3,w1_3_release_month_covered_watch_ratio,0,0.0
w1_3,w1_3_avg_ott_release_month_weighted,1498,0.062591
w1_3,w1_3_recent_content_watch_ratio,0,0.0
w1_3,w1_3_old_content_watch_ratio,0,0.0
w1_4,membership_row_id,0,0.0
w1_4,USER_KEY,0,0.0
w1_4,is_repurchase,0,0.0
w1_4,price,0,0.0
w1_4,product_code,0,0.0
w1_4,max_screen,74,0.003092
w1_4,is_promotion,11768,0.491706
w1_4,is_user_verified,768,0.03209
w1_4,gender,203,0.008482
w1_4,age,203,0.008482
w1_4,payment_device,0,0.0
w1_4,billing_method,0,0.0
w1_4,is_churn_prevented,19634,0.820374
w1_4,w1_4_has_watch_obs,0,0.0
w1_4,w1_4_no_watch_obs_flag,0,0.0
